"","sample_name","fastq_fwd_file_name","fastq_rev_file_name","sample_type","host_phylum","host_class","host_order","host_family","host_genus","host_species","coral species","collection_latitude","collection_longitude","collection_date","collection_depth","coral_tag","site_name","Sequencing_run","expedition","ID","Disturbance","Disturbance_cat","El_nino","ID2","Porites_compare","DisturbanceFish","...27"
"1","4_2014","OR4_S333_L001_R1_001.fastq.gz","OR4_S333_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","1.89428 N","157.54276 W","2014 Aug","10-12 m","4",35,"run1","2014",467,1212.82818968762,"Medium","Before",2022,"NA",1212.82818968762,NA
"2","4_2015b","2015b-002_S27_L001_R1_001.fastq.gz","2015b-002_S27_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","1.89428 N","157.54276 W","2015 May","10-12 m","4",35,"run1","2015b",1615,1212.82818968762,"Medium","Before",2025,"NA",1212.82818968762,NA
"3","4_2015c","BG3_S117_L001_R1_001.fastq.gz","BG3_S117_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","1.89428 N","157.54276 W","2015 July","10-12 m","4",35,"run1","2015c",1410,1212.82818968762,"Medium","During",2026,"NA",1212.82818968762,NA
"4","19_2014","OR19_S307_L001_R1_001.fastq.gz","OR19_S307_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.04559 N","157.43419 W","2014 Aug","10-12 m","19",38,"run1","2014",441,808.552126458412,"Low","Before",2488,"NA",808.552126458412,NA
"5","29_2014","OR29_S317_L001_R1_001.fastq.gz","OR29_S317_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","halicora","Favites halicora","2.04559 N","157.43419 W","2014 Aug","10-12 m","29",38,"run1","2014",451,808.552126458412,"Low","Before",2443,"NA",808.552126458412,NA
"6","29_2015b","BG190_S103_L001_R1_001.fastq.gz","BG190_S103_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","halicora","Favites halicora","2.04559 N","157.43419 W","2015 May","10-12 m","29",38,"run1","2015b",1628,808.552126458412,"Low","Before",2444,"NA",808.552126458412,NA
"7","29_2016a","BL190_S187_L001_R1_001.fastq.gz","BL190_S187_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","halicora","Favites halicora","2.04559 N","157.43419 W","2016 March","10-12 m","29",38,"run1","2016a",1930,808.552126458412,"Low","During",2445,"NA",808.552126458412,NA
"8","34_2014","34-14_S228_L001_R1_001.fastq.gz","34-14_S228_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","halicora","Favites halicora","2.04559 N","157.43419 W","2014 Aug","10-12 m","34",38,"Bleaching3_run","2014",400,808.552126458412,"Low","Before",2446,"NA",808.552126458412,NA
"9","34_2015c","194-15C_S87_L001_R1_001.fastq.gz","194-15C_S87_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","halicora","Favites halicora","2.04559 N","157.43419 W","2015 July","10-12 m","34",38,"Bleaching3_run","2015c",1171,808.552126458412,"Low","During",2447,"NA",808.552126458412,NA
"10","148_2014","OR148_S305_L001_R1_001.fastq.gz","OR148_S305_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.02555 N","157.49788 W","2014 Aug","10-12 m","148",30,"run1","2014",439,5085.684783,"Very High","Before",1370,"NA",2021,NA
"11","KI17FQ65","358_S358_L001_run4_R1_001.fastq.gz","358_S358_L001_run4_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.05162 N","157.45544 W","2017 July","10-12 m","157",3,"run4","2017",2554,808.552126458412,"Low","After",58,"NA",808.552126458412,NA
"12","157_2017","65_S65_L001_run4_R1_001.fastq.gz","65_S65_L001_run4_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.05162 N","157.45544 W","2017 July","10-12 m","157",3,"run4","2017",2613,808.552126458412,"Low","After",59,"NA",808.552126458412,NA
"13","54_2018","54-2018_S46_L001_R1_001.fastq.gz","54-2018_S46_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.05162 N","157.45544 W","43275","10-12 m","157",3,"Starko_Shedd","2018",46,808.552126458412,"Low","After",60,"NA",808.552126458412,NA
"14","37_2019","37-2019_S197_L001_R1_001.fastq.gz","37-2019_S197_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.05162 N","157.45544 W","43665","10-12 m","157",3,"Starko_Shedd","2019",207,808.552126458412,"Low","After",62,"NA",808.552126458412,NA
"15","157_2014","OR157_S306_L001_R1_001.fastq.gz","OR157_S306_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.05162 N","157.45544 W","2014 Aug","10-12 m","157",3,"run1","2014",440,808.552126458412,"Low","Before",57,"NA",808.552126458412,NA
"16","157_2015c","BG161_S102_L001_R1_001.fastq.gz","BG161_S102_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.05162 N","157.45544 W","2015 July","10-12 m","157",3,"run1","2015c",1396,808.552126458412,"Low","During",61,"NA",808.552126458412,NA
"17","161_2014","2014-161_S3_L001_R1_001.fastq.gz","2014-161_S3_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.05162 N","157.45544 W","2014 Aug","10-12 m","161",3,"run1","2014",412,808.552126458412,"Low","Before",63,"NA",808.552126458412,NA
"18","161_2015c","BG159_S101_L001_R1_001.fastq.gz","BG159_S101_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.05162 N","157.45544 W","2015 July","10-12 m","161",3,"run1","2015c",1395,808.552126458412,"Low","During",64,"NA",808.552126458412,NA
"19","176_2014","176-14_S276_L001_R1_001.fastq.gz","176-14_S276_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","halicora","Favites halicora","2.05162 N","157.45544 W","2015 July","10-12 m","176",3,"Bleaching3_run","2015c",1159,808.552126458412,"Low","During",20,"NA",808.552126458412,NA
"20","192_2014","2014-192_S5_L001_R1_001.fastq.gz","2014-192_S5_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","2.04559 N","157.43419 W","2014 Aug","10-12 m","192",38,"run1","2014",414,808.552126458412,"Low","Before",2450,"NA",808.552126458412,NA
"21","192_2015c","2015c-200_S47_L001_R1_001.fastq.gz","2015c-200_S47_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","2.04559 N","157.43419 W","2015 July","10-12 m","192",38,"run1","2015c",1353,808.552126458412,"Low","During",2451,"NA",808.552126458412,NA
"22","223_2017","72_S72_L001_run4_R1_001.fastq.gz","72_S72_L001_run4_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.05162 N","157.45544 W","2017 July","10-12 m","223",3,"run4","2017",2621,808.552126458412,"Low","After",69,"NA",808.552126458412,NA
"23","223_2014","OR223_S308_L001_R1_001.fastq.gz","OR223_S308_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.05162 N","157.45544 W","2014 Aug","10-12 m","223",3,"run1","2014",442,808.552126458412,"Low","Before",68,"NA",808.552126458412,NA
"24","223_2015c","2015c-171_S44_L001_R1_001.fastq.gz","2015c-171_S44_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.05162 N","157.45544 W","2015 July","10-12 m","223",3,"run1","2015c",1350,808.552126458412,"Low","During",70,"NA",808.552126458412,NA
"25","231_2014","OR231_S309_L001_R1_001.fastq.gz","OR231_S309_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","2.05162 N","157.45544 W","2014 Aug","10-12 m","231",3,"run1","2014",443,808.552126458412,"Low","Before",21,"NA",808.552126458412,NA
"26","231_2015c","2015c-178_S45_L001_R1_001.fastq.gz","2015c-178_S45_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","2.05162 N","157.45544 W","2015 July","10-12 m","231",3,"run1","2015c",1351,808.552126458412,"Low","During",23,"NA",808.552126458412,NA
"27","KI17FQ147","363_S363_L001_run4_R1_001.fastq.gz","363_S363_L001_run4_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","2.05162 N","157.45544 W","2017 July","10-12 m","231",3,"run4","2017",2560,808.552126458412,"Low","After",22,"NA",808.552126458412,NA
"28","231_2017","147_S147_L001_run4_R1_001.fastq.gz","147_S147_L001_run4_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favities pentagona","2.05162 N","157.45544 W","2017 July","10-12 m","231",3,"run4","2017",2321,808.552126458412,"Low","After",29,"NA",808.552126458412,NA
"29","234_2014","2014-234_S8_L001_R1_001.fastq.gz","2014-234_S8_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.05162 N","157.45544 W","2014 Aug","10-12 m","234",3,"run1","2014",417,808.552126458412,"Low","Before",71,"NA",808.552126458412,NA
"30","234_2015c","2015c-180_S46_L001_R1_001.fastq.gz","2015c-180_S46_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.05162 N","157.45544 W","2015 July","10-12 m","234",3,"run1","2015c",1352,808.552126458412,"Low","During",72,"NA",808.552126458412,NA
"31","242_2014_1","2014-242_S9_L001_R1_001.fastq.gz","2014-242_S9_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.88600 N","157.55200 W","2014 Aug","10-12 m","242",8,"run1","2014",418,1212.82818968762,"Medium","Before",460,"NA",1213,NA
"32","242_2014","KI14FF164_S8_L001_R1_001.fastq.gz","KI14FF164_S8_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.88600 N","157.55200 W","2014 Aug","10-12 m","242",8,"run5","2014",607,1212.82818968762,"Medium","Before",461,"NA",1213,NA
"33","245_2014","2014-245_S10_L001_R1_001.fastq.gz","2014-245_S10_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","1.88600 N","157.55200 W","2014 Aug","10-12 m","245",8,"run1","2014",419,1212.82818968762,"Medium","Before",381,"NA",1213,NA
"34","249_2014","OR249_S311_L001_R1_001.fastq.gz","OR249_S311_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","1.88600 N","157.55200 W","2014 Aug","10-12 m","249",8,"run1","2014",445,1212.82818968762,"Medium","Before",382,"NA",1213,NA
"35","249_2015b","c-037_S37_L001_R1_001.fastq.gz","c-037_S37_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","1.88600 N","157.55200 W","2015 May","10-12 m","249",8,"run3","2015b",1850,1212.82818968762,"Medium","Before",383,"NA",1213,NA
"36","253_2014","OR253_S312_L001_R1_001.fastq.gz","OR253_S312_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.88600 N","157.55200 W","2014 Aug","10-12 m","253",8,"run1","2014",446,1212.82818968762,"Medium","Before",463,"NA",1213,NA
"37","253_2015a","P113_S352_L001_R1_001.fastq.gz","P113_S352_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.88600 N","157.55200 W","2015 Jan","10-12 m","253",8,"run1","2015a",935,1212.82818968762,"Medium","Before",464,"NA",1213,NA
"38","253_2015b","G164_S259_L001_R1_001.fastq.gz","G164_S259_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.88600 N","157.55200 W","2015 May","10-12 m","253",8,"run1","2015b",1641,1212.82818968762,"Medium","Before",465,"NA",1213,NA
"39","253_2015c","BG365_S125_L001_R1_001.fastq.gz","BG365_S125_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.88600 N","157.55200 W","2015 July","10-12 m","253",8,"run1","2015c",1418,1212.82818968762,"Medium","During",466,"NA",1213,NA
"40","258_2014","OR258_S313_L001_R1_001.fastq.gz","OR258_S313_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.00877 N","157.48886 W","2014 Aug","10-12 m","258",27,"run1","2014",447,7275.90836468762,"Very High","Before",1151,"NA",3233.82818968762,NA
"41","266_2014","OR266_S314_L001_R1_001.fastq.gz","OR266_S314_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.00877 N","157.48886 W","2014 Aug","10-12 m","266",27,"run1","2014",448,7275.90836468762,"Very High","Before",1152,"NA",3233.82818968762,NA
"42","271_2014","OR271_S315_L001_R1_001.fastq.gz","OR271_S315_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","2.00877 N","157.48886 W","2014 Aug","10-12 m","271",27,"run1","2014",449,7275.90836468762,"Very High","Before",1092,"NA",3233.82818968762,NA
"43","271_2015a","P163_S361_L001_R1_001.fastq.gz","P163_S361_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","2.00877 N","157.48886 W","2015 Jan","10-12 m","271",27,"run1","2015a",944,7275.90836468762,"Very High","Before",1093,"NA",3233.82818968762,NA
"44","271_2015b","G197_S268_L001_R1_001.fastq.gz","G197_S268_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","2.00877 N","157.48886 W","2015 May","10-12 m","271",27,"run1","2015b",1650,7275.90836468762,"Very High","Before",1094,"NA",3233.82818968762,NA
"45","271_2015c","BG90_S161_L001_R1_001.fastq.gz","BG90_S161_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","2.00877 N","157.48886 W","2015 July","10-12 m","271",27,"run1","2015c",1453,7275.90836468762,"Very High","During",1095,"NA",3233.82818968762,NA
"46","273_2014","2014-273_S11_L001_R1_001.fastq.gz","2014-273_S11_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","01.87482 N","157.56383 W","2014 Aug","10-12 m","273",14,"run1","2014",420,1159.552126,"Medium","Before",635,"NA",809,NA
"47","278_2014","2014-278_S12_L001_R1_001.fastq.gz","2014-278_S12_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","01.87482 N","157.56383 W","2014 Aug","10-12 m","278",14,"run1","2014",421,1159.551748,"Medium","Before",656,"NA",809,NA
"48","285_2014","2014-285_S13_L001_R1_001.fastq.gz","2014-285_S13_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","01.87482 N","157.56383 W","2014 Aug","10-12 m","285",14,"run1","2014",422,1159.550992,"Medium","Before",636,"NA",809,NA
"49","285_2016a","BL107_S167_L001_R1_001.fastq.gz","BL107_S167_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","01.87482 N","157.56383 W","2016 March","10-12 m","285",14,"run1","2016a",1910,1159.54569999999,"Medium","During",637,"NA",809,NA
"50","289_2014","OR289_S316_L001_R1_001.fastq.gz","OR289_S316_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","01.87482 N","157.56383 W","2014 Aug","10-12 m","289",14,"run1","2014",450,1159.550488,"Medium","Before",657,"NA",809,NA
"51","289_2016a","BL108_S168_L001_R1_001.fastq.gz","BL108_S168_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","01.87482 N","157.56383 W","2016 March","10-12 m","289",14,"run1","2016a",1911,1159.54557399999,"Medium","During",658,"NA",809,NA
"52","290_2014","290-14_S237_L001_R1_001.fastq.gz","290-14_S237_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","halicora","Favites halicora","01.87482 N","157.56383 W","2014 Aug","10-12 m","290",14,"Bleaching3_run","2014",398,1159.550362,"Medium","Before",633,"NA",809,NA
"53","298_2014","OR298_S318_L001_R1_001.fastq.gz","OR298_S318_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","01.87482 N","157.56383 W","2014 Aug","10-12 m","298",14,"run1","2014",452,1159.54948,"Medium","Before",638,"NA",809,NA
"54","299_2014","OR299_S319_L001_R1_001.fastq.gz","OR299_S319_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","01.87482 N","157.56383 W","2014 Aug","10-12 m","299",14,"run1","2014",453,1159.549354,"Medium","Before",659,"NA",809,NA
"55","302_2014","302-14_S245_L001_R1_001.fastq.gz","302-14_S245_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","halicora","Favites halicora","01.87482 N","157.56383 W","2014 Aug","10-12 m","302",14,"Bleaching3_run","2014",399,1159.548976,"Medium","Before",634,"NA",809,NA
"56","306_2014","OR306_S320_L001_R1_001.fastq.gz","OR306_S320_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","01.87482 N","157.56383 W","2014 Aug","10-12 m","306",14,"run1","2014",454,1159.548472,"Medium","Before",660,"NA",809,NA
"57","311_2014","2014-311_S14_L001_R1_001.fastq.gz","2014-311_S14_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.91002 N","157.54276 W","2014 Aug","10-12 m","311",34,"run1","2014",423,1212.82818968762,"Medium","Before",1818,"NA",1212.82818968762,NA
"58","328_2017","228_S228_L001_run4_R1_001.fastq.gz","228_S228_L001_run4_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.91002 N","157.54276 W","2017 July","10-12 m","328",34,"run4","2017",2410,1212.82818968762,"Medium","After",1821,"NA",1212.82818968762,NA
"59","KI17FQ228","360_S360_L001_run4_R1_001.fastq.gz","360_S360_L001_run4_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.91002 N","157.54276 W","2017 July","10-12 m","328",34,"run4","2017",2557,1212.82818968762,"Medium","After",1822,"NA",1212.82818968762,NA
"60","328_2016b","c-375_S375_L001_R1_001.fastq.gz","c-375_S375_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.91002 N","157.54276 W","2016 November","10-12 m","328",34,"run3","2016b",2258,1212.82818968762,"Medium","After",1826,"NA",1212.82818968762,NA
"61","328_2014","OR328_S321_L001_R1_001.fastq.gz","OR328_S321_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.91002 N","157.54276 W","2014 Aug","10-12 m","328",34,"run1","2014",455,1212.82818968762,"Medium","Before",1820,"NA",1212.82818968762,NA
"62","328_2015b","BL255_S205_L001_R1_001.fastq.gz","BL255_S205_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.91002 N","157.54276 W","2015 May","10-12 m","328",34,"run1","2015b",1630,1212.82818968762,"Medium","Before",1823,"NA",1212.82818968762,NA
"63","328_2015c","BG488_S144_L001_R1_001.fastq.gz","BG488_S144_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.91002 N","157.54276 W","2015 July","10-12 m","328",34,"run1","2015c",1436,1212.82818968762,"Medium","During",1824,"NA",1212.82818968762,NA
"64","328_2016a","BL116_S171_L001_R1_001.fastq.gz","BL116_S171_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.91002 N","157.54276 W","2016 March","10-12 m","328",34,"run1","2016a",1914,1212.82818968762,"Medium","During",1825,"NA",1212.82818968762,NA
"65","334_2014","OR334_S322_L001_R1_001.fastq.gz","OR334_S322_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","1.91002 N","157.54276 W","2014 Aug","10-12 m","334",34,"run1","2014",456,1212.82818968762,"Medium","Before",1741,"NA",1212.82818968762,NA
"66","341_2014","OR341_S324_L001_R1_001.fastq.gz","OR341_S324_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","1.91002 N","157.54276 W","2014 Aug","10-12 m","341",34,"run1","2014",458,1212.82818968762,"Medium","Before",1742,"NA",1212.82818968762,NA
"67","341_2015c_1","BG494_S146_L001_R1_001.fastq.gz","BG494_S146_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","1.91002 N","157.54276 W","2015 July","10-12 m","341",34,"run1","2015c",1438,1212.82818968762,"Medium","During",1743,"NA",1212.82818968762,NA
"68","341_2015c","BG509_S153_L001_R1_001.fastq.gz","BG509_S153_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","1.91002 N","157.54276 W","2015 July","10-12 m","341",34,"run1","2015c",1445,1212.82818968762,"Medium","During",1744,"NA",1212.82818968762,NA
"69","351_2014","OR351_S325_L001_R1_001.fastq.gz","OR351_S325_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.91002 N","157.54276 W","2014 Aug","10-12 m","351",34,"run1","2014",459,1212.82818968762,"Medium","Before",1828,"NA",1212.82818968762,NA
"70","352_2014","OR352_S326_L001_R1_001.fastq.gz","OR352_S326_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","1.91002 N","157.54276 W","2014 Aug","10-12 m","352",34,"run1","2014",460,1212.82818968762,"Medium","Before",1745,"NA",1212.82818968762,NA
"71","353_2014","OR353_S327_L001_R1_001.fastq.gz","OR353_S327_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.91002 N","157.54276 W","2014 Aug","10-12 m","353",34,"run1","2014",461,1212.82818968762,"Medium","Before",1829,"NA",1212.82818968762,NA
"72","353_2015b","BL263_S210_L001_R1_001.fastq.gz","BL263_S210_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.91002 N","157.54276 W","2015 May","10-12 m","353",34,"run1","2015b",1631,1212.82818968762,"Medium","Before",1830,"NA",1212.82818968762,NA
"73","353_2015c","BG496_S147_L001_R1_001.fastq.gz","BG496_S147_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","1.91002 N","157.54276 W","2015 July","10-12 m","353",34,"run1","2015c",1439,1212.82818968762,"Medium","During",1831,"NA",1212.82818968762,NA
"74","371_2014","2014-371_S16_L001_R1_001.fastq.gz","2014-371_S16_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.04969 N","157.48590 W","2014 Aug","10-12 m","371",25,"run1","2014",425,1616.72393677079,"Medium","Before",1008,"NA",1616.72393677079,NA
"75","373_2014","OR373_S328_L001_R1_001.fastq.gz","OR373_S328_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","2.04969 N","157.48590 W","2014 Aug","10-12 m","373",25,"run1","2014",462,1616.72393677079,"Medium","Before",964,"NA",1616.72393677079,NA
"76","373_2015c","BG399_S128_L001_R1_001.fastq.gz","BG399_S128_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","2.04969 N","157.48590 W","2015 July","10-12 m","373",25,"run1","2015c",1421,1616.72393677079,"Medium","During",965,"NA",1616.72393677079,NA
"77","376_2014","376-14_S253_L001_R1_001.fastq.gz","376-14_S253_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","halicora","Favites halicora","2.04969 N","157.48590 W","2014 Aug","10-12 m","376",25,"Bleaching3_run","2014",401,1616.72393677079,"Medium","Before",961,"NA",1616.72393677079,NA
"78","376_2015c","402-15C_S127_L001_R1_001.fastq.gz","402-15C_S127_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","halicora","Favites halicora","2.04969 N","157.48590 W","2015 July","10-12 m","376",25,"Bleaching3_run","2015c",1275,1616.72393677079,"Medium","During",962,"NA",1616.72393677079,NA
"79","379_2017","52_S52_L001_run4_R1_001.fastq.gz","52_S52_L001_run4_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.04969 N","157.48590 W","2017 July","10-12 m","379",25,"run4","2017",2599,1616.72393677079,"Medium","After",1010,"NA",1616.72393677079,NA
"80","84_2018","84-2018_S66_L001_R1_001.fastq.gz","84-2018_S66_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.04969 N","157.48590 W","43278","10-12 m","379",25,"Starko_Shedd","2018",73,1616.72393677079,"Medium","After",1011,"NA",1616.72393677079,NA
"81","379_2014","OR379_S329_L001_R1_001.fastq.gz","OR379_S329_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.04969 N","157.48590 W","2014 Aug","10-12 m","379",25,"run1","2014",463,1616.72393677079,"Medium","Before",1009,"NA",1616.72393677079,NA
