"","sample_name","Symbiodinium_reads","Brevolium_reads","Cladocopium_reads","Durisdinium_read","F_reads","G_reads","Symbiodinium_proportion","Brevolium_proportion","Cladocopium_proportion","Durisdinium_proportion","Sequence_count"
"65","302_2019",11383,0,0,23568,0,0,0.32568452977025,0,0,0.67431547022975,34951
"66","89_2018",0,0,0,34699,0,0,0,0,0,1,34699
"67","72_2019",1427,0,0,32568,0,0,0.0419767612884248,0,0,0.958023238711575,33995
"68","178_2019",1557,0,0,32357,0,0,0.045910243557233,0,0,0.954089756442767,33914
"69","175_2019",313,0,718,32498,0,0,0.00933520236213427,0,0.0214142980703272,0.969250499567539,33529
"70","36_2019",0,0,0,33469,0,0,0,0,0,1,33469
"71","268_2019",6736,0,0,26187,0,0,0.204598608875254,0,0,0.795401391124746,32923
"72","696_2015c",0,0,32897,0,0,0,0,0,1,0,32897
"73","185_2019",4629,0,508,27627,0,0,0.141283115614699,0,0.0155048223660115,0.843212062019289,32764
"74","249_2014",0,0,32429,0,0,0,0,0,1,0,32429
"75","248_2014",0,0,32196,0,0,0,0,0,1,0,32196
"76","1022_2016b",0,0,0,32022,0,0,0,0,0,1,32022
"77","911_2016a",0,0,751,30880,0,0,0,0,0.0237425310613006,0.976257468938699,31631
"78","500_2015c",0,0,31460,0,0,0,0,0,1,0,31460
"79","285_2014",0,0,31009,0,0,0,0,0,1,0,31009
"80","470_2015b",0,0,0,30976,0,0,0,0,0,1,30976
"81","592_2015b",0,0,30756,0,0,0,0,0,1,0,30756
"82","11_2019",442,0,0,30308,0,0,0.0143739837398374,0,0,0.985626016260163,30750
"83","85_2018",1537,0,0,29181,0,0,0.0500358096230223,0,0,0.949964190376978,30718
"84","121_2019",0,0,0,30425,0,0,0,0,0,1,30425
"85","605_2015a",0,0,30038,316,0,0,0,0,0.989589510443434,0.0104104895565659,30354
"86","183_2019",10890,0,0,19421,0,0,0.359275510540728,0,0,0.640724489459272,30311
"87","53_2018",0,0,0,30190,0,0,0,0,0,1,30190
"88","289_2019",0,0,0,29402,0,0,0,0,0,1,29402
"89","119_2019",655,0,0,28414,0,0,0.0225325948605043,0,0,0.977467405139496,29069
"90","142_2019",0,0,736,28131,0,0,0,0,0.025496241382894,0.974503758617106,28867
"91","62_2016b",0,0,0,28762,0,0,0,0,0,1,28762
"92","727_2015c",0,0,28556,0,0,0,0,0,1,0,28556
"93","328_2015b",0,0,28520,0,0,0,0,0,1,0,28520
"94","244_2018",0,0,0,28423,0,0,0,0,0,1,28423
"95","341_2014",0,0,28348,0,0,0,0,0,1,0,28348
"96","435_2015c",0,0,22174,6120,0,0,0,0,0.783699724323178,0.216300275676822,28294
"97","1040_2016b",0,0,0,28286,0,0,0,0,0,1,28286
"98","1032_2016b",0,0,671,27486,0,0,0,0,0.0238306637781014,0.976169336221899,28157
"99","29_2014",0,0,28121,0,0,0,0,0,1,0,28121
"100","215_2019",1015,0,0,26962,0,0,0.0362798012653251,0,0,0.963720198734675,27977
"101","583_2015a",0,0,27925,0,0,0,0,0,1,0,27925
"102","594_2015c",0,0,27880,0,0,0,0,0,1,0,27880
"103","820_2015c",0,0,27768,0,0,0,0,0,1,0,27768
"104","232_2019",0,0,203,27554,0,0,0,0,0.00731347047591599,0.992686529524084,27757
"105","247_2018",0,0,0,27655,0,0,0,0,0,1,27655
"106","770_2015b",0,0,0,27295,0,0,0,0,0,1,27295
"107","30_2018",4828,0,0,22431,0,0,0.177115814960197,0,0,0.822884185039803,27259
"108","132_2019",3990,0,583,22528,0,0,0.147227039592635,0,0.0215121213239364,0.831260839083429,27101
"109","592_2015c",0,0,27031,0,0,0,0,0,1,0,27031
"110","285_2016a",0,0,19177,7802,0,0,0,0,0.710812113125023,0.289187886874977,26979
"111","637_2015b",0,0,26857,0,0,0,0,0,1,0,26857
"112","631b_2015c",0,0,26696,0,0,0,0,0,1,0,26696
"113","78_2018",0,0,0,26656,0,0,0,0,0,1,26656
"114","628_2015a",0,0,26183,193,0,0,0,0,0.992682741886564,0.00731725811343646,26376
"115","1013_2016b",0,0,0,26136,0,0,0,0,0,1,26136
"116","788_2015c",0,0,26041,0,0,0,0,0,1,0,26041
"117","177_2018",251,0,4702,21054,0,0,0.00965124774099281,0,0.180797477602184,0.809551274656823,26007
"118","856_2015b",0,0,26000,0,0,0,0,0,1,0,26000
"119","1022_2017",12633,0,0,13176,0,0,0.489480413809136,0,0,0.510519586190864,25809
"120","856_2015c",0,0,25746,0,0,0,0,0,1,0,25746
"121","161_2014",0,0,25018,485,0,0,0,0,0.980982629494569,0.0190173705054307,25503
"122","722_2015b",0,0,0,25460,0,0,0,0,0,1,25460
"123","792_2015c",0,0,25061,363,0,0,0,0,0.985722152297042,0.0142778477029578,25424
"124","1024_2016b",1686,0,0,23604,0,0,0.0666666666666667,0,0,0.933333333333333,25290
"125","24_2018",0,0,0,25185,0,0,0,0,0,1,25185
"126","454_2014",0,0,0,25145,0,0,0,0,0,1,25145
"127","42_2018",950,0,150,23979,0,0,0.0378802982575063,0,0.00598109972486941,0.956138602017624,25079
"128","719_2015b",0,0,24972,0,0,0,0,0,1,0,24972
"129","43_2018",819,0,2332,21811,0,0,0.032809871003926,0,0.0934220014421921,0.873768127553882,24962
"130","719_2015c",0,0,24960,0,0,0,0,0,1,0,24960
"131","482_2014",0,0,0,24710,0,0,0,0,0,1,24710
"132","792_2016b",502,0,2076,21905,0,0,0.0205040231997713,0,0.0847935302046318,0.894702446595597,24483
"133","74_2018",0,0,10223,14138,0,0,0,0,0.419646155740733,0.580353844259267,24361
"134","857_2015c",9976,0,14317,0,0,0,0.410653274605854,0,0.589346725394146,0,24293
"135","783_2015b",0,0,24071,210,0,0,0,0,0.991351262303859,0.00864873769614102,24281
"136","487_2015c",0,0,165,23750,0,0,0,0,0.00689943550073176,0.993100564499268,23915
"137","470_2014",0,0,247,23432,0,0,0,0,0.0104311837493137,0.989568816250686,23679
"138","810_2015b",0,0,23548,0,0,0,0,0,1,0,23548
"139","412_2014",0,0,23537,0,0,0,0,0,1,0,23537
"140","824_2015b",0,0,23384,0,0,0,0,0,1,0,23384
"141","373_2014",0,0,23374,0,0,0,0,0,1,0,23374
"142","400_2015c",0,0,23144,0,0,0,0,0,1,0,23144
"143","103_2018",0,0,0,22883,0,0,0,0,0,1,22883
"144","62_2015c",0,0,726,21976,0,0,0,0,0.0319795612721346,0.968020438727865,22702
"145","235_2019",1107,0,0,21502,0,0,0.0489628024238135,0,0,0.951037197576186,22609
"146","34_2015c",0,0,22584,0,0,0,0,0,1,0,22584
