Coral_Species,Coral_Tag,Site,Disturbance_Level,ProportionD_before,ProportionD_2015c,ProportionD_truebefore,Switch?,Survival_Status_conservative,ProposedSurvival_Status,Survival_Status_liberal,Bleached,Bleached_2015C,Bleached_2016A,ProportionC_before,ProportionC_after,Disturbance,Disturbance_sqrt
Favites,631b,15,VeryLow,0,0,NA,NA,NA,NA,NA,1,1,NA,1,NA,0,0
Platygyra,19,38,Low,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,808.5521265,28.43505102
Platygyra,62,8,Medium,NA,0.96,0,NA,1,1,1,1,1,1,0.03,0,1212.82819,34.8256829
Platygyra,99,35,Medium,0,0,0,1,1,1,1,1,1,1,1,0,1212.82819,34.8256829
Platygyra,148,30,VeryHigh,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,5085.684783,71.31398729
Platygyra,157,3,Low,0,0,0,NA,1,1,1,1,1,NA,1,0,808.5521265,28.43505102
Platygyra,161,3,Low,0,0,0.02,NA,NA,NA,NA,1,1,NA,1,NA,808.5521265,28.43505102
Platygyra,164,3,Low,0.51,0.51,0.51,NA,1,1,1,NA,NA,NA,0.01,0,808.5521265,28.43505102
Platygyra,223,3,Low,0,0,0,NA,1,1,1,0,0,NA,1,0,808.5521265,28.43505102
Platygyra,234,3,Low,0,0,0,NA,0,0,0,1,1,NA,0.99,NA,808.5521265,28.43505102
Platygyra,242,8,Medium,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,1212.82819,34.8256829
Platygyra,253,8,Medium,0,0,0,NA,NA,0,0,NA,NA,NA,1,NA,1212.82819,34.8256829
Platygyra,258,27,VeryHigh,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,7275.908365,85.29893531
Platygyra,266,27,VeryHigh,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,0.7,NA,7275.908365,85.29893531
Platygyra,278,14,Medium,0,0,0,NA,NA,0,0,NA,NA,NA,1,NA,809,28.43505102
Platygyra,289,14,Medium,0.15,0.15,0.15,1,1,1,1,NA,NA,0,0.85,0,809,28.43505102
Platygyra,299,14,Medium,0,0,0,NA,NA,NA,0,NA,NA,NA,1,NA,809,28.43505102
Platygyra,306,14,Medium,0,0,0,NA,NA,NA,0,0,NA,NA,1,NA,809,28.43505102
Platygyra,311,34,Medium,0.295,0.295,0.295,NA,NA,NA,NA,NA,NA,NA,0.7,NA,1212.82819,34.8256829
Platygyra,328,34,Medium,0,0,0,1,1,1,1,1,1,0,1,0,1212.82819,34.8256829
Platygyra,351,34,Medium,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1212.82819,34.8256829
Platygyra,353,34,Medium,0,0,0,NA,NA,0,0,1,1,NA,0.56,NA,1212.82819,34.8256829
Platygyra,371,25,High,0,0,0,NA,NA,NA,0,0,NA,NA,1,NA,0,0
Platygyra,379,25,High,0.03,0.03,0,NA,1,1,1,1,1,NA,1,0,0,0
Platygyra,389,30,Very High,0,0,0,NA,NA,NA,NA,0,0,NA,1,NA,5085.684783,71.31398729
Platygyra,402,25,High,0,0,0,NA,NA,NA,0,1,1,NA,1,NA,0,0
Platygyra,442,30,VeryHigh,1,1,1,NA,NA,0,0,0,0,NA,0,NA,5085.684783,71.31398729
Platygyra,447,27,VeryHigh,0.11,0.11,0.11,NA,NA,NA,NA,NA,NA,NA,0.89,NA,7275.908365,85.29893531
Platygyra,455,27,VeryHigh,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,7275.908365,85.29893531
Platygyra,461,27,VeryHigh,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,7275.908365,85.29893531
Platygyra,466,27,VeryHigh,0.93,0.93,1,NA,0,0,0,1,1,NA,0,NA,7275.908365,85.29893531
Platygyra,470,27,VeryHigh,1,1,1,NA,NA,0,0,0,0,NA,0,NA,7275.908365,85.29893531
Platygyra,479,32,VeryHigh,0.96,0.96,0.96,NA,NA,NA,NA,NA,NA,NA,0.04,NA,4860.745702,69.71904834
Platygyra,504,14,Medium,1,1,1,NA,NA,0,0,NA,NA,NA,0,NA,809,28.43505102
Platygyra,594,15,VeryLow,0,0,0,0,1,1,1,1,1,1,1,1,0,0
Platygyra,618,15,VeryLow,0,0,0,1,1,1,1,1,1,1,1,0,0,0
Platygyra,637,35,Medium,0,0,0,1,1,1,1,1,1,1,1,0,1212.82819,34.8256829
Platygyra,727,27,VeryHigh,0,0,0,NA,NA,0,0,1,1,NA,1,NA,7275.908365,85.29893531
Platygyra,735,27,VeryHigh,1,1,1,NA,NA,0,0,NA,NA,NA,0,NA,7275.908365,85.29893531
Platygyra,742,32,VeryHigh,0.96,0.96,1,NA,0,0,0,NA,0,NA,0,NA,4860.745702,69.71904834
Platygyra,762,32,VeryHigh,1,1,1,NA,0,0,0,NA,0,NA,0,NA,4860.745702,69.71904834
Platygyra,766,32,VeryHigh,1,1,1,NA,0,0,0,1,0,NA,0,NA,4860.745702,69.71904834
Platygyra,768,32,VeryHigh,1,1,1,NA,0,0,0,0,0,NA,0,NA,4860.745702,69.71904834
Platygyra,783,34,Medium,0.07,0.07,0.01,1,1,1,1,NA,NA,0,0.99,0,1212.82819,34.8256829
Platygyra,788,5,VeryLow,0,0,0,1,1,1,1,1,1,1,1,0.1,0,0
Platygyra,792,5,VeryLow,0.01,0.01,0,NA,1,1,1,1,1,0,0.99,0,0,0
Platygyra,797,5,VeryLow,0,0,0,1,1,1,1,1,0,1,1,0,0,0
Platygyra,807,5,VeryLow,0,0,0,1,1,1,1,1,1,0,1,0,0,0
Platygyra,813,5,VeryLow,0,0,0,1,1,1,1,1,0,1,1,0,0,0
Platygyra,820,5,VeryLow,0,0,0,1,1,1,1,1,1,0,1,0,0,0
Platygyra,824,5,VeryLow,0,0,0,1,1,1,1,0,0,0,1,0,0,0
Platygyra,850,34,Medium,0.62,0.62,0,1,1,1,1,1,1,0,0.38,0,1212.82819,34.8256829
Platygyra,857,34,Medium,0,0,0,1,1,1,1,1,1,0,0.6,0,1212.82819,34.8256829
Platygyra,906,8,Medium,NA,NA,NA,NA,1,1,1,0,NA,0,NA,0,1212.82819,34.8256829
Platygyra,909,8,Medium,NA,NA,NA,NA,1,1,1,0,NA,0,NA,0,1212.82819,34.8256829
Platygyra,914,8,Medium,NA,NA,NA,NA,1,1,1,0,NA,0,NA,0,1212.82819,34.8256829
Platygyra,919,8,Medium,NA,NA,NA,NA,1,1,1,NA,NA,0,NA,,1212.82819,34.8256829
Platygyra,925,35,Medium,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,0,1212.82819,34.8256829
Platygyra,928,35,Medium,NA,NA,NA,NA,1,1,1,NA,NA,0,NA,0,1212.82819,34.8256829
Platygyra,933,35,Medium,NA,NA,NA,NA,1,1,1,NA,NA,0,NA,0,1212.82819,34.8256829
Platygyra,1008,37,VeryLow,NA,NA,NA,NA,1,1,1,0,NA,0,NA,0,0,0
Platygyra,1013,37,VeryLow,NA,NA,NA,NA,1,1,1,0,NA,0,NA,1,0,0
Platygyra,1017,37,VeryLow,NA,NA,NA,NA,1,1,1,0,NA,0,NA,1,0,0
Platygyra,1020,37,VeryLow,NA,NA,NA,NA,1,1,1,NA,NA,0,NA,0,0,0
Platygyra,1022,37,VeryLow,NA,NA,NA,NA,1,1,1,0,NA,0,NA,0,0,0
Platygyra,1023,37,VeryLow,NA,NA,NA,NA,1,1,1,0,NA,0,NA,0,0,0
Platygyra,1024,37,VeryLow,NA,NA,NA,NA,1,1,1,0,NA,0,NA,0,0,0
Platygyra,1028,37,VeryLow,NA,NA,NA,NA,1,1,1,NA,NA,0,NA,0,0,0
Platygyra,1030,37,VeryLow,NA,NA,NA,NA,1,1,1,NA,NA,0,NA,0,0,0
Platygyra,1031,37,VeryLow,NA,NA,NA,NA,1,1,1,0,NA,0,NA,0,0,0
Platygyra,1036,40,High,NA,NA,NA,NA,1,1,1,NA,NA,0,NA,0,0,0
Platygyra,1049,40,High,NA,NA,NA,NA,1,1,1,NA,NA,0,NA,0,0,0
Platygyra,1055,40,High,NA,NA,NA,NA,1,1,1,NA,NA,0,NA,0,0,0
Platygyra,1011b,37,VeryLow,NA,NA,NA,NA,1,1,1,0,NA,0,NA,1,0,0
Platygyra,248_696,8,Medium,0,0,0,1,1,1,1,1,1,0,1,0,1212.82819,34.8256829
Platygyra,338_1168,34,Medium,0,0,0,NA,1,1,1,1,1,,1,NA,1212.82819,34.8256829
Platygyra,410_893,25,High,0.56,0.56,0.04,NA,NA,NA,NA,1,1,NA,0.44,NA,0,0
Platygyra,486_740,32,VeryHigh,0.93,NA,0.93,NA,NA,NA,NA,NA,NA,NA,0.08,NA,4860.745702,69.71904834
Platygyra,612_1270,15,VeryLow,0,0,0,1,1,1,1,1,0,1,1,0,0,0
Platygyra,754_899,32,VeryHigh,0.97,0.97,0.97,0,1,1,1,0,0,0,0.03,0,4860.745702,69.71904834
