Tag,2014_FSYM,2014_FQ,2014_FMD,2014_FF,2015a_FSYM,2015a_FQ,2015a_FMD,2015a_FF,2015a_FSYM,2015a_FQ,2015a_FMD,2015a_FF,2015b_FSYM,2015b_FQ,2015b_FMD,2015b_FF,2015c_FSYM,2015c_FQ,2015c_FMD,2015c_FF,2016a_FSYM,2016a_FQ,2016a_FMD,2016a_FF,2016a_FL,2016b_FSYM,2016b_FQ,2016b_FMD,2016b_FF,2016b_FL,2017a_FSYM,2017a_FQ,2017a_FMD,2017a_FF,2017a_FL
410_893,KI14FSYM410,KI14FQ271,KI14FMD271,KI14FF271,,,,,,,,,,,,,KI15cFSYM428,KI15cFQ428,KI15cFMD428,KI15cFF428,,,,,,,,,,,,,,,
442,KI14FSYM442,KI14FQ284,KI14FMD284,KI14FF284,,,,,,,,,KI15bFSYM069,KI15bFQ069,KI15bFMD069,KI15bFF069,KI15cFSYM348,KI15cFQ348,KI15cFMD348,KI15cFF348,,,,,,,,,,,,,,,
447,KI14FSYM447,KI14FQ286,KI14FMD286,KI14FF286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,KI14FSYM455,KI14FQ292,KI14FMD292,KI14FF292,,,,,KI2015a160,KI15aFQ160,KI15aFMD160,KI15aFF160,,,,,,,,,,,,,,,,,,,,,,,
461,KI14FSYM461,KI14FQ297,KI14FMD297,KI14FF297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,KI14FSYM466,KI14FQ300,KI14FMD300,KI14FF300,,,,,KI2015a156,KI15aFQ156,KI15aFMD156,KI15aFF156,KI15bFSYM140,KI15bFQ140,KI15bFMD140,KI15bFF140,KI15cFSYM064,KI15cFQ064,KI15cFMD064,KI15cFF064,,,,,,,,,,,,,,,
470,KI14FSYM470,KI14FQ301,KI14FMD301,KI14FF301,,,,,KI2015a150,KI15aFQ150,KI15aFMD150,KI15aFF150,KI15bFSYM138,KI15bFQ138,KI15bFMD138,KI15bFF138,KI15cFSYM072,KI15cFQ072,KI15cFMD072,KI15cFF072,,,,,,,,,,,,,,,
479,KI14FSYM479,KI14FQ305,KI14FMD305,KI14FF305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486_740,KI14FSYM486,KI14FQ310,KI14FMD310,KI14FF310,,,,,,,,,KI15bFSYM188,KI15bFQ188,KI15bFMD188,KI15bFF188,,,,,,,,,,,,,,,,,,,
504,KI14FSYM504,KI14FQ323,KI14FMD323,KI14FF323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,,,,,KI15aFSYM043,KI15aFQ043,KI15aFMD043,KI15aFF043,,,,,,,,,KI15cFSYM114,KI15cFQ114,KI15cFMD114,KI15cFF114,KI16aFSYM158,KI16aFQ158,KI16aFMD158,KI16aFF158,KI16aFL135,KI16bFSYM109,KI16bFQ109,KI16bFMD109,KI16bFF109,KI16bFL082,KI17aFSYM312,KI17aFQ312,KI17aFMD312,KI17aFF312,KI17aFL295
612,,,,,KI15aFSYM052,KI15aFQ052,KI15aFMD052,KI15aFF052,,,,,,,,,KI15cFSYM126,KI15cFQ126,KI15cFMD126,KI15cFF126,KI16aFSYM164,KI16aFQ164,KI16aFMD164,KI16aFF164,KI16aFL139,KI16bFSYM106,KI16bFQ106,KI16bFMD106,KI16bFF106,KI16bFL079,KI17aFSYM314,KI17aFQ314,KI17aFMD314,KI17aFF314,KI17aFL297
618,,,,,KI15aFSYM067,KI15aFQ067,KI15aFMD067,KI15aFF067,,,,,,,,,KI15cFSYM129,KI15cFQ129,KI15cFMD129,KI15cFF129,KI16aFSYM160,KI16aFQ160,KI16aFMD160,KI16aFF160,KI16aFL140,KI16bFSYM104,KI16bFQ104,KI16bFMD104,KI16bFF104,KI16bFL077,KI17aFSYM316,KI17aFQ316,KI17aFMD316,KI17aFF316,KI17aFL299
637,,,,,,,,,KI2015a97,KI15aFQ97,KI15aFMD97,KI15aFF97,KI15bFSYM020,KI15bFQ020,KI15bFMD020,KI15bFF020,,,,,KI16aFSYM047,KI16aFQ047,KI16aFMD047,KI16aFF047,KI16aFL042,,,,,,,,,,
727,,,,,,,,,,,,,KI15bFSYM205,KI15bFQ205,KI15bFMD205,KI15bFF205,KI15cFSYM083,KI15cFQ083,KI15cFMD083,KI15cFF83,,,,,,,,,,,,,,,
735,,,,,,,,,,,,,KI15bFSYM213,KI15bFQ213,KI15bFMD213,KI15bFF213,KI15cFSYM065,KI15cFQ065,KI15cFMD065,KI15cFF65,,,,,,,,,,,,,,,
742,,,,,,,,,,,,,KI15bFSYM219,KI15bFQ219,KI15bFMD219,KI15bFF219,KI15cFSYM436,KI15cFQ436,KI15cFMD436,KI15cFF436,,,,,,,,,,,,,,,
