SampleID	coral_tag	SampleType	field_season	Coral_Species	site	Status	ref	Year_Pre_Post	colony_width1	colony_width2	colony_area	binary_tissue_loss	binary_disease	cyanobacteria_contact	binary_algal_contact	turf_contact	binary_macroalgae_contact	type_of_macroalgae	binary_CCA_contact	sediment_contact	binary_coral_contact	binary_bleaching	bleaching_proportion	notes_bleaching
128	KI14FSYM492	492	coral	KI2014	Favites_pentagona	32	dead	2014.tag.492	2014	19.004	17.339	223.873	n	n	n	y	y	n	NONE	n	y	y	y	2	3 patches > 5 cm
129	KI15bFSYM191	492	coral	KI2015b	Favites_pentagona	32	dead	2015May.tag.492	2015May	15.549	15.172	130.288	n	n	n	y	y	n	NONE	y	y	n	y	1	two smal bleach patches
130	KI15cFSYM439	492	coral	KI2015c	Favites_pentagona	32	dead	2015July.tag.492	2015July	13.502	14.672	133.941	n	n	n	y	y	n	NONE	n	y	y	n	NONE	Scale 12 cm
131	KI14FSYM504	504	coral	KI2014	Platygyra_sp	14	dead_or_gone	2014.tag.504	2014	15.146	14.936	167.603	n	n	n	y	y	n	NONE	y	y	y	n	NONE	
132	KI15aFSYM032	583	coral	KI2015a	Favites_pentagona	15	UK	2015Jan_Pre.tag.583	2015Jan_Pre	21.622	11.772	175.303	n	n	n	y	y	n	NONE	y	n	n	n	NONE	
133	KI15bFSYM080	583	coral	KI2015b	Favites_pentagona	15	UK	2015May.tag.583	2015May	31.399	16.13	358.156	n	n	n	y	y	n	NONE	y	n	y	y	2	much bleaching on the top of the coral, some of the sides are okay 
134	KI15cFSYM101	583	coral	KI2015c	Favites_pentagona	15	UK	2015July.tag.583	2015July	30.495	16.96	340.379	n	n	n	y	y	n	NONE	y	y	y	y	3	entire coral severely bleached
135	KI16aFSYM151	583	coral	KI2016a	Favites_pentagona	15	UK	2016March.tag.583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
136	KI15aFSYM037	588	coral	KI2015a	Favites_pentagona	15	alive	2015Jan_Pre.tag.588	2015Jan_Pre	38.503	34.345	886.367	n	n	n	y	y	n	NONE	y	y	n	n	NONE	no bleaching? No picture
137	KI15bFSYM084	588	coral	KI2015b	Favites_pentagona	15	alive	2015May.tag.588	2015May	28.7	26.776	520.621	n	n	n	y	y	n	NONE	y	y	y	y	1	some slightly lighter coloured patches
138	KI15cFSYM104	588	coral	KI2015c	Favites_pentagona	15	alive	2015July.tag.588	2015July	25.876	22.314	335.485	n	n	n	y	y	n	NONE	y	y	n	y	1	a few small patches, some areas are lighter in colour  
139	KI15cFSYM104	588	coral	KI2015c	Favites_pentagona	15	alive	2015July.tag.588	2015July	36.291	35.248	872.039	n	n	n	y	y	n	NONE	y	n	n	y	2	large patches of severe bleaching on the tops of mounds, many areas on the sides and bottom still have colour (F. pentagona)
140	KI16aFSYM153	588	coral	KI2016a	Favites_pentagona	15	alive	2016March.tag.588	2016March	34.046	32.687	751.119	n	n	n	y	y	n	NONE	y	y	y	y	2	large patches of bleach and some algae growth
141	KI15aFSYM041	592	coral	KI2015a	Favites_pentagona	15	alive	2015Jan_Pre.tag.592	2015Jan_Pre	33.952	31.805	676.056	n	n	n	y	y	n	NONE	y	y	y	y	1	patches of severe bleaching along tops of mounds and around an algal patch, less than 5cm
142	KI15bFSYM088	592	coral	KI2015b	Favites_pentagona	15	alive	2015May.tag.592	2015May	32.451	29.2	656.975	n	n	n	y	y	n	NONE	y	n	y	y	1	starting to bleach a small amount at centre of coral
143	KI15cFSYM112	592	coral	KI2015c	Favites_pentagona	15	alive	2015July.tag.592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
144	KI16aFSYM155	592	coral	KI2016a	Favites_pentagona	15	alive	2016March.tag.592	2016March	35.55	34.325	751.7	n	n	n	y	y	n	NONE	y	y	y	y	3	completely bleached
145	KI15aFSYM043	594	coral	KI2015a	Platygyra_sp	15	alive	2015Jan_Pre.tag.594	2015Jan_Pre	33.181	30.075	749.895	n	n	n	y	y	n	NONE	y	y	y	y	1	several small bleached patches, some severely bleached, others starting to bleach
146	KI15cFSYM114	594	coral	KI2015c	Platygyra_sp	15	alive	2015July.tag.594	2015July	34.713	31.673	808.882	n	n	n	y	y	n	NONE	n	y	y	y	2	most of coral is bleaching, top portion of coral is severly bleached, some areas still have a bit of colour ~2/3-3/4 bleached
147	KI16aFSYM158	594	coral	KI2016a	Platygyra_sp	15	alive	2016March.tag.594	2016March	25.892	22.888	521.106	n	n	n	y	y	n	NONE	y	y	y	y	3	algae growing but mostly bleached
148	KI15aFSYM046	597	coral	KI2015a	Favites_pentagona	15	alive	2015Jan_Pre.tag.597	2015Jan_Pre	35.736	23.746	562.29	n	n	n	y	y	n	NONE	y	n	y	n	NONE	
149	KI15bFSYM092	597	coral	KI2015b	Favites_pentagona	15	alive	2015May.tag.597	2015May	29.549	23.434	413.265	n	n	n	y	y	n	NONE	y	y	y	n	NONE	
150	KI15cFSYM116	597	coral	KI2015c	Favites_pentagona	15	alive	2015July.tag.597	2015July	35.751	29.422	789.484	n	n	n	y	y	n	NONE	n	y	y	y	3	over 80% of coral severely bleached, but not completely white 
151	KI16aFSYM159	597	coral	KI2016a	Favites_pentagona	15	alive	2016March.tag.597	2016March	31.351	19.271	404.609	n	n	n	y	y	n	NONE	y	y	y	y	3	completely bleached and overgrown
152	KI15aFSYM057	605	coral	KI2015a	Favites_pentagona	15	gone	2015Jan_Pre.tag.605	2015Jan_Pre	28.125	26.01	519.247	n	n	n	y	y	n	NONE	y	y	y	n	NONE	
153	KI15cFSYM125	605	coral	KI2015c	Favites_pentagona	15	gone	2015July.tag.605	2015July	39.117	32.086	783.556	n	n	n	y	y	n	NONE	y	y	n	y	2	large portion 1/3-2/3 is severely bleached, rest of coral is normal in colour
154	KI15aFSYM052	612	coral	KI2015a	Platygyra_sp	15	alive	2015Jan_Pre.tag.612	2015Jan_Pre	19.156	18.672	269.652	n	n	n	y	y	n	NONE	y	y	n	n	NONE	bleaching? 
155	KI15cFSYM126	612	coral	KI2015c	Platygyra_sp	15	alive	2015July.tag.612	2015July	24.696	18.39	376.403	n	n	n	y	y	n	NONE	n	y	n	y	1	one small patch <5cm
156	KI16aFSYM164	612	coral	KI2016a	Platygyra_sp	15	alive	2016March.tag.612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
157	KI15aFSYM067	618	coral	KI2015a	Platygyra_sp	15	alive	2015Jan_Pre.tag.618	2015Jan_Pre	30.028	28.432	598.108	n	n	n	y	y	n	NONE	y	y	y	n	NONE	
158	KI15cFSYM129	618	coral	KI2015c	Platygyra_sp	15	alive	2015July.tag.618	2015July	37.719	34.759	921.111	n	n	n	y	y	n	NONE	n	y	y	y	3	entire coral is severely bleached
159	KI16aFSYM160	618	coral	KI2016a	Platygyra_sp	15	alive	2016March.tag.618	2016March	28.747	27.236	612.9	n	n	n	y	y	n	NONE	y	y	y	y	2	many large bleached patches
160	KI15aFSYM072	623	coral	KI2015a	Favites_pentagona	15	gone	2015Jan_Pre.tag.623	2015Jan_Pre	28.995	17.942	390.671	n	n	n	y	y	n	NONE	y	y	n	n	NONE	
161	KI15cFSYM145	623	coral	KI2015c	Favites_pentagona	15	gone	2015July.tag.623	2015July	37.713	25.604	713.212	n	n	n	y	y	n	NONE	y	y	n	y	3	entire coral severely bleached 
162	KI15aFSYM077	628	coral	KI2015a	Favites_pentagona	15	gone	2015Jan_Pre.tag.628	2015Jan_Pre	57.319	39.51	1416.184	n	n	n	y	y	n	NONE	y	y	y	n	NONE	
163	KI15cFSYM142	628	coral	KI2015c	Favites_pentagona	15	gone	2015July.tag.628	2015July	50.652	46.266	1554.789	n	n	n	y	y	n	NONE	y	y	y	y	2	large portion of coral is bleached but <80%
164	KI15cFSYM144	631	coral	KI2015c	Favites_pentagona	15	dead	2015July.tag.631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
165	KI15aFSYM097	637	coral	KI2015a	Platygyra_sp	35	alive	2015Jan_Post.tag.637	2015Jan_Post	10.094	9.446	73.227	n	n	n	y	y	n	NONE	y	y	n	y	1	five small bleached spots around algae patches
166	KI15bFSYM020	637	coral	KI2015b	Platygyra_sp	35	alive	2015May.tag.637	2015May	10.713	8.647	74.676	n	n	n	y	y	n	NONE	n	y	n	y	2	large area bleached
167	KI16aFSYM047	637	coral	KI2016a	Platygyra_sp	35	alive	2016March.tag.637	2016March	10.16	9.188	69.53	n	n	n	y	y	n	NONE	n	y	y	y	3	large area bleach and much starting to bleach
168	KI15bFSYM102	656	coral	KI2015b	Favites_pentagona	19	UK	2015May.tag.656	2015May	30.804	22.799	537.956	n	n	n	y	y	n	NONE	y	n	y	y	2	many patches starting to bleach
169	KI15cFSYM025	656	coral	KI2015c	Favites_pentagona	19	UK	2015July.tag.656	2015July	24.047	20.671	473.454	n	n	n	y	y	n	NONE	y	n	y	y	3	Most of coral bleached
170	KI15bFSYM147	685	coral	KI2015b	Favites_pentagona	27	UK	2015May.tag.685	2015May	10.714	8.558	68.43	n	n	n	y	y	n	NONE	n	y	y	y	2	patch in centre >5cm and other areas starting to bleach
171	KI15bFSYM179	696	coral	KI2015b	Platygyra_sp	8	UK	2015May.tag.696	2015May	13.598	12.658	123.536	n	n	n	y	y	n	NONE	y	y	y	y	1	bleaching around algal patches *wrong photo
172	KI15cFSYM385	696	coral	KI2015c	Platygyra_sp	8	UK	2015July.tag.696	2015July	15.811	15.239	179.918	n	n	n	y	y	n	NONE	n	y	n	y	2	bleaching over most of coral <80% 
173	KI16aFSYM004	696	coral	KI2016a	Platygyra_sp	8	UK	2016March.tag.696	2016March	16.056	14.863	173.108	n	n	n	y	y	n	NONE	y	y	y	y	1	some areas starting to bleach, algae
174	KI15bFSYM184	719	coral	KI2015b	Favites_pentagona	8	dead	2015May.tag.719	2015May	26.218	18.039	273.358	n	n	n	y	y	n	NONE	y	y	y	y	1	two bleached patches <5cm
175	KI15cFSYM373	719	coral	KI2015c	Favites_pentagona	8	dead	2015July.tag.719	2015July	34.457	23.061	641.893	n	n	n	y	y	y	Halimeda	n	y	y	y	1	Small patches
176	KI15bFSYM200	722	coral	KI2015b	Favites_pentagona	27	gone	2015May.tag.722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
177	KI15cFSYM077	722	coral	KI2015c	Favites_pentagona	27	gone	2015July.tag.722	2015July	27.538	15.931	256.864	n	n	n	y 	y	n	NONE	n	y	n	y	2	majority of coral is bleaching, middle parts still dark
178	KI15bFSYM204	726	coral	KI2015b	Favites_pentagona	27	gone	2015May.tag.726	2015May	11.944	9.982	80.036	n	n	n	y	y	n	NONE	n	y	y	n	NONE	
179	KI15cFSYM082	726	coral	KI2015c	Favites_pentagona	27	gone	2015July.tag.726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
180	KI15bFSYM205	727	coral	KI2015b	Platygyra_sp	27	gone	2015May.tag.727	2015May	18.879	13.867	195.383	n	n	n	y	y	n	NONE	y	y	n	y	1	several small bleached spots
181	KI15cFSYM083	727	coral	KI2015c	Platygyra_sp	27	gone	2015July.tag.727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
182	KI15bFSYM207	729	coral	KI2015b	Favites_pentagona	27	alive	2015May.tag.729	2015May	14.907	13.14	143.309	n	n	n	y	y	n	NONE	y	y	y	n	NONE	
183	KI15cFSYM094	729	coral	KI2015c	Favites_pentagona	27	alive	2015July.tag.729	2015July	15.506	14.975	181.117	n	n	n	n	y	n	NONE	n	y	n	y	1	portions of coral are starting to bleach, middle parts are not 
184	KI16aFSYM066	729	coral	KI2016a	Favites_pentagona	27	alive	2016March.tag.729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
185	KI15bFSYM213	735	coral	KI2015b	Platygyra_sp	27	gone	2015May.tag.735	2015May	12.547	9.346	113.264	n	n	n	y	y	n	NONE	n	y	n	y	NONE	
186	KI15cFSYM065	735	coral	KI2015c	Platygyra_sp	27	gone	2015July.tag.735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
187	KI15bFSYM214	736	coral	KI2015b	Favites_pentagona	27	gone	2015May.tag.736	2015May	11.902	10.601	99.513	n	n	n	y	y	n	NONE	n	y	n	y	1	few small patches bleached
188	KI15cFSYM063	736	coral	KI2015c	Favites_pentagona	27	gone	2015July.tag.736	2015July	13.827	13.799	158.73	n	n	n	n	n	n	NONE	n	y	n	y	1	Entire coral is starting to bleach, middle parts are still dark (Favia matthai)
189	KI15bFSYM219	742	coral	KI2015b	Platygyra_sp	32	dead	2015May.tag.742	2015May	10.798	10.382	85.011	n	n	n	y	y	n	NONE	n	y	y	n	NONE	
190	KI15cFSYM436	742	coral	KI2015c	Platygyra_sp	32	dead	2015July.tag.742	2015July	19.867	19.87	317.871	n	n	n	y	y	n	NONE	n	y	n	n	NONE	
191	KI15bFSYM231	754	coral	KI2015b	Platygyra_sp	32	alive	2015May.tag.754	2015May	15.038	14.335	164.541	n	n	n	y	y	n	NONE	y	y	n	y	1	a few blaeched spots around algal patches 
192	KI15cFSYM468	754	coral	KI2015c	Platygyra_sp	32	alive	2015July.tag.754	2015July	16.384	12.883	178.142	n	n	n	y	y	n	NONE	n	y	n	y	1	a few spots <5cm 
193	KI15bFSYM239	762	coral	KI2015b	Platygyra_sp	32	dead	2015May.tag.762	2015May	10.758	9.336	81.041	n	n	m	y	y	n	NONE	n	y	y	n	NONE	
194	KI15cFSYM474	762	coral	KI2015c	Platygyra_sp	32	dead	2015July.tag.762	2015July	13.594	13.039	143.675	n	n	n	y	y	n	NONE	n	y	n	y	1	two main patches <5cm 
195	KI15bFSYM243	766	coral	KI2015b	Platygyra_sp	32	dead	2015May.tag.766	2015May	16.615	16.555	205.054	n	n	n	y	y	n	NONE	n	y	y	y	2	centre of coral bleaching
196	KI15cFSYM472	766	coral	KI2015c	Platygyra_sp	32	dead	2015July.tag.766	2015July	23.427	21.575	384.659	n	n	n	y	y	n	NONE	n	y	n	y	1	one prominent spot <5cm, a few lighter areas 
197	KI15bFSYM245	768	coral	KI2015b	Platygyra_sp	32	dead	2015May.tag.768	2015May	13.079	12.948	122.799	n	n	n	y	y	n	NONE	n	y	n	y	1	a few small spots
198	KI15cFSYM460	768	coral	KI2015c	Platygyra_sp	32	dead	2015July.tag.768	2015July	16.501	14.93	204.927	n	n	n	n	n	n	NONE	n	y	n	y	1	several patches <5cm
199	KI15bFSYM247	770	coral	KI2015b	Favites_pentagona	32	alive	2015May.tag.770	2015May	10.328	9.758	87.637	n	n	n	y	y	n	NONE	y	y	y	y	1	a couple spots starting to bleach
200	KI15cFSYM461	770	coral	KI2015c	Favites_pentagona	32	alive	2015July.tag.770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
201	KI16aFSYM013	770	coral	KI2016a	Favites_pentagona	32	alive	2016March.tag.770	2016March	10.553	7.779	60.421	n	n	y	y	y	n	NONE	y	y	n	y	1	small patches starting to bleach 
202	KI15bFSYM249	772	coral	KI2015b	Favites_pentagona	32	dead	2015May.tag.772	2015May	17.667	15.592	189.852	n	n	n	y	y	n	NONE	y	y	n	y	1	a couple areas on top starting to bleach
203	KI15cFSYM448	772	coral	KI2015c	Favites_pentagona	32	dead	2015July.tag.772	2015July	26.505	20.269	353.405	n	n	n	y	y	n	NONE	y	y	n	y	2	most of corel s lighter in color, some larger patches of more obious bleaching*
204	KI15bFSYM277	781	coral	KI2015b	Favites_pentagona	34	UK	2015May.tag.781	2015May	32.91	19.768	345.362	n	n	n	y	y	n	NONE	y	y	y	y	1	a few small bleached spots, one around algal patch 
205	KI15cFSYM499	781	coral	KI2015c	Favites_pentagona	34	UK	2015July.tag.781	2015July	21.283	15.039	247.929	n	n	n	y	y	n	NONE	y	y	n	y	3	 entire coral is severely bleaching (almost completely white), a few patches have still retained some colour 
206	KI15bFSYM279	783	coral	KI2015b	Platygyra_sp	34	alive	2015May.tag.783	2015May	20.063	13.923	190.304	n	n	n	y	y	n	NONE	y	y	y	n	NONE	
207	KI16aFSYM118	783	coral	KI2016a	Platygyra_sp	34	alive	2016March.tag.783	2016March	20.63	16.079	226.487	n	n	n	y	y	n	NONE	y	y	n	y	1	small patches starting to bleach
208	KI15bFSYM282	786	coral	KI2015b	Favites_pentagona	34	alive	2015May.tag.786	2015May	30.358	15.603	278.52	n	n	n	y	y	n	NONE	y	y	y	n	NONE	* photo very blurry
209	KI15cFSYM502	786	coral	KI2015c	Favites_pentagona	34	alive	2015July.tag.786	2015July	41.113	21.744	635.324	n	n	n	y	y	n	NONE	y	y	y	y	2	a large portion of the coral Is severely bleaching (tops of lumps/parts closer to surface), some areas still have a bit of colour. 
210	KI16aFSYM119	786	coral	KI2016a	Favites_pentagona	34	alive	2016March.tag.786	2016March	24.274	21.711	355.033	n	n	n	y	y	n	NONE	y	y	y	n	NONE	
211	KI15bFSYM284	788	coral	KI2015b	Platygyra_sp	5	alive	2015May.tag.788	2015May	16.353	12.765	156.354	n	n	n	y	y	n	NONE	y	y	y	y	1	a few small bleached spots 
212	KI15cFSYM253	788	coral	KI2015c	Platygyra_sp	5	alive	2015July.tag.788	2015July	33.819	27.862	858.226	n	n	n	y	y	n	NONE	n	y	n	y	2	widespread but not completely bleached
213	KI16aFSYM088	788	coral	KI2016a	Platygyra_sp	5	alive	2016March.tag.788	2016March	34.442	34.224	883.711	n	n	n	y	y	n	NONE	y	y	y	y	3	most of coral bleached or starting to bleach
214	KI15bFSYM288	792	coral	KI2015b	Platygyra_sp	5	alive	2015May.tag.792	2015May	18.074	17.316	246.693	n	n	n	n	n	n	NONE	y	y	y	y	1	some small areas
215	KI15cFSYM254	792	coral	KI2015c	Platygyra_sp	5	alive	2015July.tag.792	2015July	33.266	29.339	824.397	n	n	n	y	y	n	NONE	y	y	y	y	2	large proportion of coral bleached but not severe
216	KI16aFSYM089	792	coral	KI2016a	Platygyra_sp	5	alive	2016March.tag.792	2016March	32.789	31.958	760.42	n	n	n	y	y	y	Halimeda	y	y	n	y	1	small bleached patches
217	KI15bFSYM293	797	coral	KI2015b	Platygyra_sp	5	alive	2015May.tag.797	2015May	22.923	20.339	325.753	n	n	n	y	y	n	NONE	y	y	n	y	1	small bleached patch towards bottom of coral
218	KI15cFSYM261	797	coral	KI2015c	Platygyra_sp	5	alive	2015July.tag.797	2015July	19.946	17.076	397.059	n	n	n	y	y	n	NONE	n	y	n	y	1	most of coral is lighter in colour
219	KI16aFSYM091	797	coral	KI2016a	Platygyra_sp	5	alive	2016March.tag.797	2016March	29.133	28.132	626.296	n	n	n	y	y	n	NONE	n	y	y	y	3	coral bleached and overgrown with turf in centre
220	KI15bFSYM296	800	coral	KI2015b	Favites_pentagona	5	gone	2015May.tag.800	2015May	17.723	15.674	168.539	n	n	n	y	y	h	NONE	y	y	y	y	1	a few bleached spots smaller than 5cm 
221	KI15cFSYM265	800	coral	KI2015c	Favites_pentagona	5	gone	2015July.tag.800	2015July	24.531	20.465	343.377	n	n	n	y	y	y	Halimeda	y	y	n	y	2	~2/3 of coral is severely bleaching, top surface is almost completely bleached
222	KI15bFSYM303	807	coral	KI2015b	Platygyra_sp	5	alive	2015May.tag.807	2015May	51.946	34.705	1375.952	n	n	n	y	y	y	Halimeda	y	y	n	n	NONE	
223	KI15cFSYM273	807	coral	KI2015c	Platygyra_sp	5	alive	2015July.tag.807	2015July	70.995	55.266	2960.407	n	n	n	y	y	n	NONE	y	y	y	y	2	portions of coral are lighter, a few small bleached spots 
224	KI16aFSYM104	807	coral	KI2016a	Platygyra_sp	5	alive	2016March.tag.807	2016March	76.548	54.002	2953.651	n	n	n	y	y	y	Halimeda, Peysson_brown?	y	y	n	y	1	small patches starting to bleach
225	KI15bFSYM306	810	coral	KI2015b	Favites_pentagona	5	dead	2015May.tag.810	2015May	23.186	21.153	281.824	n	n	n	y	y	n	NONE	y	y	y	n	NONE	
226	KI15cFSYM275	810	coral	KI2015c	Favites_pentagona	5	dead	2015July.tag.810	2015July	23.163	18.597	358.517	n	n	n	y	y	n	NONE	y	n	y	y	2	General paling of most of the colony
227	KI15bFSYM309	813	coral	KI2015b	Platygyra_sp	5	alive	2015May.tag.813	2015May	16.361	15.124	196.08	n	n	n	y	y	n	NONE	y	y	n	n	NONE	
228	KI15cFSYM277	813	coral	KI2015c	Platygyra_sp	5	alive	2015July.tag.813	2015July	18.269	15.33	222.845	n	n	n	y	y	n	NONE	y	n	n	n	NONE	
229	KI16aFSYM095	813	coral	KI2016a	Platygyra_sp	5	alive	2016March.tag.813	2016March	18.179	15.13	22.988	n	n	n	y	y	n	NONE	y	y	y	y	3	most of coral bleached or starting to bleach
230	KI15bFSYM316	820	coral	KI2015b	Platygyra_sp	5	alive	2015May.tag.820	2015May	29.031	26.736	605.214	n	n	n	y	y	y	Halimeda	y	y	y	y	1	a few small bleached patches
231	KI15cFSYM278	820	coral	KI2015c	Platygyra_sp	5	alive	2015July.tag.820	2015July	37.164	31.562	924.473	n	n	n	y	y	y	Halimeda, Peysson_red	y	n	y	y	2	Variable, patchy bleaching: some spots completely some just lighter in colour
232	KI16aFSYM096	820	coral	KI2016a	Platygyra_sp	5	alive	2016March.tag.820	2016March	41.762	37.858	1181.053	n	n	n	y	y	y	Halimeda	n	y	y	y	1	a few small spots
233	KI15bFSYM320	824	coral	KI2015b	Platygyra_sp	5	alive	2015May.tag.824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
234	KI15cFSYM283	824	coral	KI2015c	Platygyra_sp	5	alive	2015July.tag.824	2015July	15.91	15.052	190.021	n	n	n	y	y	n	NONE	n	n	y	y	1	A few lighter spots, algae growing in sampled area
235	KI16aFSYM101	824	coral	KI2016a	Platygyra_sp	5	alive	2016March.tag.824	2016March	22.168	20.556	338.759	n	n	n	y	y	n	NONE	y	y	y	y	1	a few small spots
236	KI16aFSYM101	824	coral	KI2016a	Platygyra_sp	5	alive	2016March.tag.824	2016March	23.146	21.582	370.455	n	n	n	y	y	n	NONE	y	y	y	y	1	a few small areas bleached and larger areas starting
237	KI15bFSYM340	844	coral	KI2015b	Favites_pentagona	34	alive	2015May.tag.844	2015May	31.199	26.718	452.334	n	n	n	y	y	n	NONE	y	y	y	n	NONE	
238	KI15cFSYM519	844	coral	KI2015c	Favites_pentagona	34	alive	2015July.tag.844	2015July	48.027	36.05	1105.266	n	n	n	y	y	n	NONE	y	y	y	y	2	two patches >5cm, most of coral is lighter in colour, portions of coral are severely bleaching
239	KI16aFSYM123	844	coral	KI2016a	Favites_pentagona	34	alive	2016March.tag.844	2016March	33.62	26.238	345.466	n	n	n	y	y	n	NONE	y	y	n	y	1	small patches starting to bleach towards the right of the coral
240	KI15bFSYM346	850	coral	KI2015b	Platygyra_sp	34	alive	2015May.tag.850	2015May	15.29	14.812	174.219	n	n	n	y	y	n	NONE	y	y	n	y	1	one side tops of ridges are bleaching 
241	KI15cFSYM506	850	coral	KI2015c	Platygyra_sp	34	alive	2015July.tag.850	2015July	16.807	15.759	213.15	n	n	n	y	y	y	Caulerpa	n	y	n	y	2	one large, completely bleached patch, rest of coral is lighter in colour 
242	KI16aFSYM120	850	coral	KI2016a	Platygyra_sp	34	alive	2016March.tag.850	2016March	14.08	13.499	148.162	n	n	n	y	y	n	NONE	n	y	n	y	1	small patches starting to bleach, some near algal colonies; used 5 point scale
243	KI15bFSYM352	856	coral	KI2015b	Favites_pentagona	34	dead	2015May.tag.856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
244	KI15cFSYM503	856	coral	KI2015c	Favites_pentagona	34	dead	2015July.tag.856	2015July	18.688	15.504	188.387	n	n	n	y	y	n	NONE	y	y	n	y	1	entire coral is starting to bleach, a few compleely bleached patches 
245	KI15bFSYM353	857	coral	KI2015b	Platygyra_sp	34	alive	2015May.tag.857	2015May	25.307	23.841	445.9	n	n	n	y	y	n	NONE	y	y	y	y	1	a few small bleached patches
246	KI15cFSYM504	857	coral	KI2015c	Platygyra_sp	34	alive	2015July.tag.857	2015July	31.555	30.172	680.516	n	n	n	y	y	n	NONE	y	y	n	y	3	over 80% of coral is completely, severely bleached 
247	KI16aFSYM113	857	coral	KI2016a	Platygyra_sp	34	alive	2016March.tag.857	2016March	27.438	25.383	241.341	n	n	n	y	y	n	NONE	n	y	n	n	NONE	
248	KI16aFSYM018	900	coral	KI2016a	Platygyra_sp	32	alive	2016March.tag.900	2016March	12.078	11.754	111.355	n	n	n	y	y	n	NONE	n	y	n	n	NONE	
249	KI16aFSYM020	902	coral	KI2016a	Favites_pentagona	32	alive	2016March.tag.902	2016March	16.328	15.525	159.812	n	n	n	y	y	n	NONE	n	y	n	y	1	small patches starting to bleach
250	KI16aFSYM024	906	coral	KI2016a	Platygyra_sp	8	alive	2016March.tag.906	2016March	34.148	31.906	707.208	n	n	n	y	y	n	NONE	n	y	y	n	NONE	paling in a few areas
251	KI16aFSYM027	909	coral	KI2016a	Platygyra_sp	8	alive	2016March.tag.909	2016March	17.874	14.61	197.765	n	n	n	y	y	n	NONE	n	y	y	y	1	some areas starting to bleach
252	KI16aFSYM029	911	coral	KI2016a	Favites_pentagona	8	alive	2016March.tag.911	2016March	34.865	28.16	405.905	n	n	n	y	y	n	NONE	y	y	y	n	NONE	
253	KI16aFSYM033	914	coral	KI2016a	Platygyra_sp	8	alive	2016March.tag.914	2016March	11.852	9.784	82.018	n	n	n	y	y	y	Halimeda	n	y	y	n	NONE	
254	KI16aFSYM038	919	coral	KI2016a	Platygyra_sp	8	alive	2016March.tag.919	2016March	15.532	15.532	175.602	n	n	n	y	y	y	Halimeda	n	y	y	y	1	a few small areas 
255	KI16aFSYM054	925	coral	KI2016a	Platygyra_sp	35	alive	2016March.tag.925	2016March	30.586	28.875	692.604	n	n	n	y	y	n	NONE	n	y	y	y	2	much of coral starting to bleach
256	KI16aFSYM057	928	coral	KI2016a	Platygyra_sp	35	alive	2016March.tag.928	2016March	40.635	29.205	953.444	n	n	n	y	y	n	NONE	n	y	y	y	1	large patches starting to bleach, measurements not accurate as image cut off
257	KI16aFSYM058	929	coral	KI2016a	Favites_pentagona	35	alive	2016March.tag.929	2016March	16.075	14.284	139.719	n	n	n	y	y	n	NONE	n	y	y	y	1	small spots bleached
258	KI16aFSYM062	933	coral	KI2016a	Platygyra_sp	35	alive	2016March.tag.933	2016March	19.4	18.076	267.529	n	n	n	y	n	n	NONE	n	y	n	n	NONE	
259	KI16aFSYM069	936	coral	KI2016a	Platygyra_sp	27	alive	2016March.tag.936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
260	KI16aFSYM070	937	coral	KI2016a	Favites_pentagona	27	alive	2016March.tag.937	2016March	14.899	11.838	137.676	n	n	n	y	y	n	NONE	y	y	n	y	1	few small patches starting to bleach
261	KI16aFSYM072	939	coral	KI2016a	Platygyra_sp	27	alive	2016March.tag.939	2016March	8.554	8.043	51.086	n	n	n	y	y	n	NONE	n	y	n	y	2	tops of ridges are bleaching over the entire coral but not completely bleached
262	KI16aFSYM074	941	coral	KI2016a	Platygyra_sp	27	alive	2016March.tag.941	2016March	11.083	10.094	85.901	n	n	n	y	y	n	NONE	n	y	n	y	1	small bleached patches 
