SampleID	coral_tag	SampleType	field_season	Coral_Species	site	Status	ref	Year_Pre_Post	colony_width1	colony_width2	colony_area	binary_tissue_loss	binary_disease	cyanobacteria_contact	binary_algal_contact	turf_contact	binary_macroalgae_contact	type_of_macroalgae	binary_CCA_contact	sediment_contact	binary_coral_contact	binary_bleaching	bleaching_proportion	notes_bleaching
29	KI15cFSYM216	213	coral	KI2015c	Favites_pentagona	38	UK	2015July.tag.213	2015July	34.796	23.173	418.393	n	n	n	y	y	n	NONE	y	y	n	y	1	top surfaces  bleaching, rest of coral is lightly bleaching or not bleaching at all. 
30	KI14FSYM223	223	coral	KI2014	Platygyra_sp	3	UK	2014.tag.223	2014	31.083	26.684	584.323	n	n	n	y	y	n	NONE	y	n	y	y	1	a few small bleached spots 
31	KI15cFSYM171	223	coral	KI2015c	Platygyra_sp	3	UK	2015July.tag.223	2015July	29.02	28.088	594.321	n	n	n	y	y	n	NONE	y	y	y	y	1	coral is lighter in colour, a few small bleached spots 
32	KI14FSYM231	231	coral	KI2014	Favites_pentagona	3	UK	2014.tag.231	2014	21.155	18.435	244.349	n	n	n	y	y	n	NONE	n	y	y	y	2	some larger areas bleached
33	KI15cFSYM178	231	coral	KI2015c	Favites_pentagona	3	UK	2015July.tag.231	2015July	24.215	14.523	305.96	n	n	n	y	y	n	NONE	y	y	y	n	NONE	
34	KI14FSYM234	234	coral	KI2014	Platygyra_sp	3	UK	2014.tag.234	2014	21.273	20.003	114.798	n	n	n	y	y	n	NONE	y	y	y	y	1	patchy bleaching on tops of ridges
35	KI15cFSYM180	234	coral	KI2015c	Platygyra_sp	3	UK	2015July.tag.234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	KI14FSYM242	242	coral	KI2014	Platygyra_sp	8	UK	2014.tag.242	2014	16.239	13.14	164.898	n	n	n	y	y	y	Halimeda	n	y	y	n	NONE	
37	KI14FSYM245	245	coral	KI2014	Favites_pentagona	8	UK	2014.tag.245	2014	23.472	18.693	295.696	n	n	n	y	y	y	Caulerpa, Peysson_red	n	y	y	y	2	a few patches >5cm
38	KI14FSYM248	248	coral	KI2014	Platygyra_sp	8	UK	2014.tag.248	2014	15.028	13.525	142.653	n	n	n	y	y	n	NONE	y	y	n	y	1	small area starting to bleach 
39	KI14FSYM249	249	coral	KI2014	Favites_pentagona	8	UK	2014.tag.249	2014	14.228	12.228	114.908	n	n	n	y	y	n	NONE	y	y	n	y	1	a few small bleached spots 
40	KI14FSYM253	253	coral	KI2014	Platygyra_sp	8	gone	2014.tag.253	2014	23.05	16.397	262.59	n	n	n	y	y	n	NONE	y	n	y	y	1	a few small spots
41	KI15aFSYM113	253	coral	KI2015a	Platygyra_sp	8	gone	2015Jan_Post.tag.253	2015Jan_Post	27.21	20.28	109.027	n	n	n	y	y	n	NONE	y	y	y	y	1	small bleached patches on top of coral
42	KI15bFSYM164	253	coral	KI2015b	Platygyra_sp	8	gone	2015May.tag.253	2015May	20.013	16.514	187.261	n	n	n	y	y	n	NONE	y	y	y	y	1	few small patches bleached
43	KI15cFSYM365	253	coral	KI2015c	Platygyra_sp	8	gone	2015July.tag.253	2015July	27.708	21.005	374.508	y	y	n	y	y	n	NONE	y	n	y	y	1	Small very white spots
44	KI14FSYM258	258	coral	KI2014	Platygyra_sp	27	UK	2014.tag.258	2014	12.72	10.597	112.834	n	n	n	y	y	n	NONE	n	y	y	y	2	large area on top of coral bleaching, > 5 cm
45	KI14FSYM266	266	coral	KI2014	Platygyra_sp	27	UK	2014.tag.266	2014	9.953	7.647	62.733	n	n	n	y	y	n	NONE	n	y	n	y	3	much of coral bleached
46	KI14FSYM271	271	coral	KI2014	Favites_pentagona	27	dead	2014.tag.271	2014	10.453	5.093	32.15	n	n	n	y	y	n	NONE	y	y	n	y	1	the tops of some of the ridges are bleaching (Platygyra)
47	KI14FSYM271	271	coral	KI2014	Favites_pentagona	27	dead	2014.tag.271	2014	10.316	7.604	52	n	n	n	y	y	n	NONE	n	y	n	n	NONE	
48	KI15aFSYM163	271	coral	KI2015a	Favites_pentagona	27	dead	2015Jan_Post.tag.271	2015Jan_Post	12.01	10.435	88.555	n	n	n	y	y	n	NONE	n	y	n	n	NONE	7.5cm scale was used 
49	KI15bFSYM197	271	coral	KI2015b	Favites_pentagona	27	dead	2015May.tag.271	2015May	12.619	9.45	85.956	n	n	n	y	n	y	Halimeda	n	y	y	y	1	small spot on centre
50	KI15cFSYM090	271	coral	KI2015c	Favites_pentagona	27	dead	2015July.tag.271	2015July	16.553	10.135	123.115	n	n	n	y	y	n	NONE	n	y	n	y	1	two main patches <5cm 
51	KI14FSYM273	273	coral	KI2014	Favites_pentagona	14	gone	2014.tag.273	2014	29.898	18.999	377.746	n	n	n	y	y	n	NONE	y	y	y	n	NONE	no bleaching- lighter colours are within natural variation
52	KI14FSYM278	278	coral	KI2014	Platygyra_sp	14	dead_or_gone	2014.tag.278	2014	29.689	24.829	441.862	n	n	n	y	y	n	NONE	y	y	y	y	1	a few small bleached areas 
53	KI14FSYM285	285	coral	KI2014	Favites_pentagona	14	alive	2014.tag.285	2014	28.057	23.639	507.484	n	n	n	y	y	y	Halimeda, Peysson_red	y	y	y	n	NONE	
54	KI16aFSYM107	285	coral	KI2016a	Favites_pentagona	14	alive	2016March.tag.285	2016March	31.682	30.395	371.012	n	n	n	y	y	n	NONE	y	y	n	n	NONE	
55	KI14FSYM289	289	coral	KI2014	Platygyra_sp	14	alive	2014.tag.289	2014	15.527	14.673	148.141	n	n	n	y	y	n	NONE	n	y	y	y	1	left side starting to bleach
56	KI16aFSYM108	289	coral	KI2016a	Platygyra_sp	14	alive	2016March.tag.289	2016March	16	14.863	157.824	n	n	n	y	y	n	NONE	y	y	n	y	1	small bleached patch to lower right 
57	KI14FSYM298	298	coral	KI2014	Favites_pentagona	14	dead	2014.tag.298	2014	35.857	24.878	506.728	n	n	n	n	n	n	NONE	y	y	y	n	NONE	
58	KI14FSYM299	299	coral	KI2014	Platygyra_sp	14	dead_or_gone	2014.tag.299	2014	14.866	11.638	144.122	n	n	n	y	y	n	NONE	y	y	y	y	2	bleaching patch > 5 cm
59	KI14FSYM306	306	coral	KI2014	Platygyra_sp	14	dead_or_gone	2014.tag.306	2014	23.29	16.289	301.23	n	n	n	y	y	n	NONE	n	y	n	y	1	a few small patches where the tops of ridges are bleaching 
60	KI14FSYM311	311	coral	KI2014	Platygyra_sp	34	alive	2014.tag.311	2014	43.45	34.454	1119.352	n	n	n	y	y	n	NONE	n	y	y	n	NONE	
61	KI14FSYM328	328	coral	KI2014	Platygyra_sp	34	alive	2014.tag.328	2014	12.593	11.786	223.934	n	n	n	y	y	n	NONE	y	y	n	n	NONE	
62	KI15bFSYM255	328	coral	KI2015b	Platygyra_sp	34	alive	2015May.tag.328	2015May	13.835	11.354	116.7	n	n	n	y	y	n	NONE	y	y	y	y	1	few small bleached spots
63	KI15cFSYM488	328	coral	KI2015c	Platygyra_sp	34	alive	2015July.tag.328	2015July	17.347	16.209	208.612	n	n	n	y	y	n	NONE	n	y	n	y	3	entire coral is severeley bleached (completely white) except for the edges that contact the ground, which are normal colour
64	KI16aFSYM116	328	coral	KI2016a	Platygyra_sp	34	alive	2016March.tag.328	2016March	14.025	12.206	76.608	n	n	n	y	y	n	NONE	n	y	n	n	NONE	bleaching?
65	KI14FSYM334	334	coral	KI2014	Favites_pentagona	34	UK	2014.tag.334	2014	30.184	14.633	239.507	n	n	n	y	y	n	NONE	n	y	n	y	3	extensive bleaching
