"","ref","SampleID","coral_tag","SampleType","field_season","Coral_Species","site","Status","field_season","site","coral_tag","before.after","annotator","date_annotated","colony_width1","colony_width2","colony_area","binary_tissue_loss","binary_disease","cyanobacteria_contact","binary_algal_contact","turf_contact","binary_macroalgae_contact","type_of_macroalgae","binary_CCA_contact","sediment_contact","binary_coral_contact","binary_bleaching","bleaching_proportion","notes_bleaching","notes","Year_Pre_Post","Sample.Name","File.Name","C.CT.mean","D.CT.mean","PaxC.CT.mean","Pax-C.CT.mean","C.CT.sd","D.CT.sd","PaxC.CT.sd","Pax-C.CT.sd","C.reps","D.reps","PaxC.reps","Pax-C.reps","C.PaxC","D.PaxC","fail","S.H","Tag","field_season","Sample.Num","Pre.Post","S.H"
"108","KI2014.tag466","KI14FSYM466","466","coral","KI2014","Platygyra_sp",27,"dead","KI2014","27","466","","JL","19-02-2016","9.216","7.113","161.831","n","n","n","y","y","y","peysson_brown","n","y","n","y","2","ridges are bleaching over most of coral (platygyra) ","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","KI2015a_Post.tag466","KI15aFSYM156","466","coral","KI2015a_Post","Platygyra_sp",27,"dead","KI2015a","27","466","_Post","JL","22-03-2016","8.509","7.238","47.758","n","n","n","y","y","n","NONE","n","y","n","y","1","one patch where tops of ridges are severely bleaching or starting to bleach","","KI2015a_Post",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","KI2015b.tag466","KI15bFSYM140","466","coral","KI2015b","Platygyra_sp",27,"dead","KI2015b","27","466","","HD","6/5/2016","12.456","10.338","96.233","n","n","n","y","y","n","NONE","n","y","y","y","3",">80% of coral bleaching","","KI2015b","KI15bFMD140","KIPlaty_plate2_data.txt",29.6684,24.4618,17.8318,NA,NA,0.34902790719368,0.133501760288021,NA,1,2,2,0,0,0.0121952882811156,FALSE,0.0121952882811156,"466","KI2015b",140,NA,0.0121952882811156
"111","KI2015c.tag466","KI15cFSYM064","466","coral","KI2015c","Platygyra_sp",27,"dead","KI2015c","27","466","","JL","20-11-2015","8.79","8.775","63.406","n","n","n","y","y","n","NONE","n","y","n","y","2","one pactch >5cm","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","KI2014.tag470","KI14FSYM470","470","coral","KI2014","Platygyra_sp",27,"gone","KI2014","27","470","","JL","19-02-2016","12.296","9.617","96.513","n","n","n","y","y","n","NONE","n","y","n","y","1","a few small patches where ridges are bleaching ","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","KI2015a_Post.tag470","KI15aFSYM150","470","coral","KI2015a_Post","Platygyra_sp",27,"gone","KI2015a","27","470","_Post","JL","22-03-2016","11.822","8.726","87.804","n","n","n","y","y","n","NONE","n","y","n","y","1","patches where ridges are bleaching on top of coral ","","KI2015a_Post",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","KI2015b.tag470","KI15bFSYM138","470","coral","KI2015b","Platygyra_sp",27,"gone","KI2015b","27","470","","HD","6/5/2016","10.455","8.053","65.825","n","n","n","y","y","n","NONE","y","y","y","y","2","many small areas are bleached or starting to","","KI2015b","KI15bFMD138","KIPlaty_plate2_data.txt",34.1921,25.1092,18.5978,NA,5.4253474893319,0.162493138316669,0.0786302740679442,NA,2,2,2,0,4.88313663533857e-06,0.0132401903367205,FALSE,0.0132450734733558,"470","KI2015b",138,NA,0.0132450734733558
"115","KI2015c.tag470","KI15cFSYM072","470","coral","KI2015c","Platygyra_sp",27,"gone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KI15cFMD072","KIPlaty_plate2_data.txt",36.59865,25.672,19.98455,NA,0.627981532371774,0.322016428152354,0.0666801694658918,NA,2,2,2,0,2.40828836165752e-06,0.0234383963136032,FALSE,0.0234408046019649,"470","KI2015c",72,NA,0.0234408046019649
"117","KI2014.tag479","KI14FSYM479","479","coral","KI2014","Platygyra_sp",32,"UK","KI2014","32","479","","HD","15-02-2016","30.199","28.227","646.765","n","n","n","y","y","n","NONE","n","y","n","y","1","a few bleached patches","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","KI2014.tag486","KI14FSYM486","486","coral","KI2014","Platygyra_sp",32,"UK","KI2014","32","486","","JL","15-01-2016","13.056","12.194","122.691","n","n","n","y","y","n","NONE","n","y","n","y","2","entire coral bleaching, sides of the ridges are still dark (Platygyra) ","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","KI2015b.tag486","KI15bFSYM188","486","coral","KI2015b","Platygyra_sp",32,"UK","KI2015b","32","486","","JM","25-05-2016","12.23","11.642","102.076","n","n","n","y","y","n","NONE","n","y","n","y","1","one bleached patch and most of coral is paling","","KI2015b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","KI2014.tag504","KI14FSYM504","504","coral","KI2014","Platygyra_sp",14,"dead_or_gone","KI2014","14","504","","HD","19-01-2016","15.146","14.936","167.603","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","KI2015a_Pre.tag594","KI15aFSYM043","594","coral","KI2015a_Pre","Platygyra_sp",15,"alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KI15aFQ043","KIPlaty_plate6_data.txt",23.81235,NA,18.6596,NA,0.14149206691543,NA,0.320036529165032,NA,2,0,2,0,0.00679076384431577,0,FALSE,0.00679076384431577,"594","KI2015a_Pre",43,"Pre",0.00679076384431577
"144","KI2015c.tag594","KI15cFSYM114","594","coral","KI2015c","Platygyra_sp",15,"alive","KI2015c","15","594","","JL","11/12/2015","34.713","31.673","808.882","n","n","n","y","y","n","NONE","n","y","y","y","2","most of coral is bleaching, top portion of coral is severly bleached, some areas still have a bit of colour ~2/3-3/4 bleached","","KI2015c","KI15cFMD114","KIPlaty_plate1_data.txt",27.63695,NA,19.806,NA,0.0061518289963237,NA,0.121198102295373,NA,2,0,2,0,0.00106096264509367,0,FALSE,0.00106096264509367,"594","KI2015c",114,NA,0.00106096264509367
"145","KI2016a.tag594","KI16aFSYM158","594","coral","KI2016a","Platygyra_sp",15,"alive","KI2016a","15","594","","HD","10/6/2016","25.892","22.888","521.106","n","n","n","y","y","n","NONE","y","y","y","y","3","algae growing but mostly bleached","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","KI2015a_Pre.tag612","KI15aFSYM052","612","coral","KI2015a_Pre","Platygyra_sp",15,"alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","KI2015c.tag612","KI15cFSYM126","612","coral","KI2015c","Platygyra_sp",15,"alive","KI2015c","15","612","","JL","2/12/2015","24.696","18.39","376.403","n","n","n","y","y","n","NONE","n","y","n","y","1","one small patch <5cm","","KI2015c","KI15cFMD126","KIPlaty_plate2_data.txt",27.59275,NA,22.76345,NA,0.239072802719172,NA,0.00516187950266233,NA,2,0,2,0,0.00849741403707709,0,FALSE,0.00849741403707709,"612","KI2015c",126,NA,0.00849741403707709
"154","KI2016a.tag612","KI16aFSYM164","612","coral","KI2016a","Platygyra_sp",15,"alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","KI2015a_Pre.tag618","KI15aFSYM067","618","coral","KI2015a_Pre","Platygyra_sp",15,"alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KI15aFQ067","KIPlaty_plate7_data.txt",23.92015,NA,17.259,NA,0.0959543902070144,NA,0.552533238819167,NA,2,0,2,0,0.0023869591258659,0,FALSE,0.0023869591258659,"618","KI2015a_Pre",67,"Pre",0.0023869591258659
"156","KI2015c.tag618","KI15cFSYM129","618","coral","KI2015c","Platygyra_sp",15,"alive","KI2015c","15","618","","JL","3/12/2015","37.719","34.759","921.111","n","n","n","y","y","n","NONE","n","y","y","y","3","entire coral is severely bleached","","KI2015c","KI15cFMD129","KIPlaty_plate2_data.txt",29.55155,NA,18.7604,NA,0.00827314933988342,NA,0.0394565583902078,NA,2,0,2,0,0.000136329894976771,0,FALSE,0.000136329894976771,"618","KI2015c",129,NA,0.000136329894976771
"157","KI2016a.tag618","KI16aFSYM160","618","coral","KI2016a","Platygyra_sp",15,"alive","KI2016a","15","618","","HD","16-09-2016","28.747","27.236","612.9","n","n","n","y","y","n","NONE","y","y","y","y","2","many large bleached patches","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","KI2015a_Post.tag637","KI15aFSYM097","637","coral","KI2015a_Post","Platygyra_sp",35,"alive","KI2015a","35","637","_Post","JL","22-03-2016","10.094","9.446","73.227","n","n","n","y","y","n","NONE","y","y","n","y","1","five small bleached spots around algae patches","","KI2015a_Post",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","KI2015b.tag637","KI15bFSYM020","637","coral","KI2015b","Platygyra_sp",35,"alive","KI2015b","35","637","","HD","5/8/2016","10.713","8.647","74.676","n","n","n","y","y","n","NONE","n","y","n","y","2","large area bleached","","KI2015b","KI15bFMD020","KIPlaty_plate2_data.txt",27.42325,NA,20.8245,NA,0.254629151905275,NA,0.0408707719525827,NA,2,0,2,0,0.0024924660642974,0,FALSE,0.0024924660642974,"637","KI2015b",20,NA,0.0024924660642974
"165","KI2016a.tag637","KI16aFSYM047","637","coral","KI2016a","Platygyra_sp",35,"alive","KI2016a","35","637","","HD","12/7/2016","10.16","9.188","69.53","n","n","n","y","y","n","NONE","n","y","y","y","3","large area bleach and much starting to bleach","","KI2016a","KI16aFMD047","KIPlaty_plate1_data.txt",31.4032,23.28415,17.23895,NA,3.38930422358336,0.412596806822351,0.264811489554363,NA,2,2,2,0,1.31579072815168e-05,0.0182908720782055,FALSE,0.018304029985487,"637","KI2016a",47,NA,0.018304029985487
"166","KI2016a.tag637","KI16aFSYM047","637","coral","KI2016a","Platygyra_sp",35,"alive","KI2016a","35","637","","HD","12/7/2016","10.16","9.188","69.53","n","n","n","y","y","n","NONE","n","y","y","y","3","large area bleach and much starting to bleach","","KI2016a","KI16aFMD047","KIPlaty_plate1_data.txt",31.4032,23.28415,17.23895,NA,3.38930422358336,0.412596806822351,0.264811489554363,NA,2,2,2,0,1.31579072815168e-05,0.0182908720782055,FALSE,0.018304029985487,"637","KI2016a",47,NA,0.0207739255621554
"167","KI2016a.tag637","KI16aFSYM047","637","coral","KI2016a","Platygyra_sp",35,"alive","KI2016a","35","637","","HD","12/7/2016","10.16","9.188","69.53","n","n","n","y","y","n","NONE","n","y","y","y","3","large area bleach and much starting to bleach","","KI2016a","KI16aFMD047","KIPlaty_plate7_data.txt",29.3336,23.86335,18.0018,NA,NA,0.231294628126121,0.0172534054609517,NA,1,2,2,0,0,0.0207739255621554,FALSE,0.0207739255621554,"637","KI2016a",47,NA,0.018304029985487
"168","KI2016a.tag637","KI16aFSYM047","637","coral","KI2016a","Platygyra_sp",35,"alive","KI2016a","35","637","","HD","12/7/2016","10.16","9.188","69.53","n","n","n","y","y","n","NONE","n","y","y","y","3","large area bleach and much starting to bleach","","KI2016a","KI16aFMD047","KIPlaty_plate7_data.txt",29.3336,23.86335,18.0018,NA,NA,0.231294628126121,0.0172534054609517,NA,1,2,2,0,0,0.0207739255621554,FALSE,0.0207739255621554,"637","KI2016a",47,NA,0.0207739255621554
"172","KI2015b.tag696","KI15bFSYM179","696","coral","KI2015b","Platygyra_sp",8,"UK","KI2015b","8","696","","JM","1/6/2016","13.598","12.658","123.536","n","n","n","y","y","n","NONE","y","y","n","y","1","small patchy bleaching","","KI2015b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","KI2015c.tag696","KI15cFSYM385","696","coral","KI2015c","Platygyra_sp",8,"UK","KI2015c","8","696","","JL","27-11-2015","15.811","15.239","179.918","n","n","n","y","y","n","NONE","n","y","n","y","2","bleaching over most of coral <80% ","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","KI2016a.tag696","KI16aFSYM004","696","coral","KI2016a","Platygyra_sp",8,"UK","KI2016a","8","696","","HD","24-06-2016","16.056","14.863","173.108","n","n","n","y","y","n","NONE","y","y","y","y","1","some areas starting to bleach, algae","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","KI2015b.tag727","KI15bFSYM205","727","coral","KI2015b","Platygyra_sp",27,"gone","KI2015b","27","727","","JM","25-05-2016","18.879","13.867","195.383","n","n","n","y","y","n","NONE","y","y","n","y","1","several small bleached spots","","KI2015b","KI15bFMD205","KIPlaty_plate2_data.txt",24.46985,NA,18.91895,NA,0.0324562012564623,NA,0.124380082810715,NA,2,0,2,0,0.00515304025249932,0,FALSE,0.00515304025249932,"727","KI2015b",205,NA,0.00515304025249932
"182","KI2015c.tag727","KI15cFSYM083","727","coral","KI2015c","Platygyra_sp",27,"gone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KI15cFMD083","KIPlaty_plate2_data.txt",26.45675,34.8198,20.4814,NA,0.303702362519623,NA,2.77440416666354,NA,2,1,2,0,0.0038396474788235,0,FALSE,0.0038396474788235,"727","KI2015c",83,NA,0.0038396474788235
"186","KI2015b.tag735","KI15bFSYM213","735","coral","KI2015b","Platygyra_sp",27,"gone","KI2015b","27","735","","JM","25-05-2016","12.547","9.346","113.264","n","n","n","y","y","n","NONE","n","y","n","y","NONE","","","KI2015b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","KI2015c.tag735","KI15cFSYM065","735","coral","KI2015c","Platygyra_sp",27,"gone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KI15cFMD065","KIPlaty_plate1_data.txt",34.02835,25.1548,19.2476,NA,4.32233162135901,1.25695301423721,0.350300699399816,NA,2,2,2,0,8.58226320287161e-06,0.0201268843815096,FALSE,0.0201354666447125,"735","KI2015c",65,NA,0.0201354666447125
"190","KI2015b.tag742","KI15bFSYM219","742","coral","KI2015b","Platygyra_sp",32,"dead","KI2015b","32","742","","JM","26-05-2016","10.798","10.382","85.011","n","n","n","y","y","n","NONE","n","y","y","n","NONE","","","KI2015b","KI15bFMD219","KIPlaty_plate2_data.txt",34.87615,24.98805,18.68995,NA,0.00318198051533958,0.369180450457495,0.428011734652217,NA,2,2,2,0,3.23980761630427e-06,0.0153498425999268,FALSE,0.0153530824075431,"742","KI2015b",219,NA,0.0153530824075431
"191","KI2015c.tag742","KI15cFSYM436","742","coral","KI2015c","Platygyra_sp",32,"dead","KI2015c","32","742","","HD","22-10-2015","19.867","19.87","317.871","n","n","n","y","y","n","NONE","n","y","n","n","NONE","","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","KI2015b.tag754","KI15bFSYM231","754","coral","KI2015b","Platygyra_sp",32,"alive","KI2015b","32","754","","JM","26-05-2016","15.038","14.335","164.541","n","n","n","y","y","n","NONE","y","y","n","y","1","a few blaeched spots around algal patches ","","KI2015b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","KI2015c.tag754","KI15cFSYM468","754","coral","KI2015c","Platygyra_sp",32,"alive","KI2015c","32","754","","JL","12/11/2015","16.384","12.883","178.142","n","n","n","y","y","n","NONE","n","y","n","y","1","a few spots <5cm ","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","KI2015b.tag762","KI15bFSYM239","762","coral","KI2015b","Platygyra_sp",32,"dead","KI2015b","32","762","","HD","27-05-2016","10.758","9.336","81.041","n","n","m","y","y","n","NONE","n","y","y","n","NONE","","","KI2015b","KI15bFMD239","KIPlaty_plate1_data.txt",34.5573,23.45555,17.89245,NA,NA,0.133431049609902,0.112783531599255,NA,1,2,2,0,0,0.0255482391793602,FALSE,0.0255482391793602,"762","KI2015b",239,NA,0.0255482391793602
"195","KI2015b.tag762","KI15bFSYM239","762","coral","KI2015b","Platygyra_sp",32,"dead","KI2015b","32","762","","HD","27-05-2016","10.758","9.336","81.041","n","n","m","y","y","n","NONE","n","y","y","n","NONE","","","KI2015b","KI15bFMD239","KIPlaty_plate1_data.txt",34.5573,23.45555,17.89245,NA,NA,0.133431049609902,0.112783531599255,NA,1,2,2,0,0,0.0255482391793602,FALSE,0.0255482391793602,"762","KI2015b",239,NA,0.017465052869005
"196","KI2015b.tag762","KI15bFSYM239","762","coral","KI2015b","Platygyra_sp",32,"dead","KI2015b","32","762","","HD","27-05-2016","10.758","9.336","81.041","n","n","m","y","y","n","NONE","n","y","y","n","NONE","","","KI2015b","KI15bFMD239","KIPlaty_plate7_data.txt",29.41675,23.8193,17.7015,NA,0.280084996027992,0.318198051533946,0.165180144085177,NA,2,2,2,0,7.18471062820561e-05,0.0173932057627229,FALSE,0.017465052869005,"762","KI2015b",239,NA,0.0255482391793602
"197","KI2015b.tag762","KI15bFSYM239","762","coral","KI2015b","Platygyra_sp",32,"dead","KI2015b","32","762","","HD","27-05-2016","10.758","9.336","81.041","n","n","m","y","y","n","NONE","n","y","y","n","NONE","","","KI2015b","KI15bFMD239","KIPlaty_plate7_data.txt",29.41675,23.8193,17.7015,NA,0.280084996027992,0.318198051533946,0.165180144085177,NA,2,2,2,0,7.18471062820561e-05,0.0173932057627229,FALSE,0.017465052869005,"762","KI2015b",239,NA,0.017465052869005
"198","KI2015c.tag762","KI15cFSYM474","762","coral","KI2015c","Platygyra_sp",32,"dead","KI2015c","32","762","","JL","12/11/2015","13.594","13.039","143.675","n","n","n","y","y","n","NONE","n","y","n","y","1","two main patches <5cm ","","KI2015c","KI15cFMD474","KIPlaty_plate8_data.txt",32.4535,24.4474,18.0514,NA,NA,0.177766644790298,0.311126983722082,NA,1,2,2,0,0,0.014342771842196,FALSE,0.014342771842196,"762","KI2015c",474,NA,0.014342771842196
"199","KI2015b.tag766","KI15bFSYM243","766","coral","KI2015b","Platygyra_sp",32,"dead","KI2015b","32","766","","HD","27-05-2016","16.615","16.555","205.054","n","n","n","y","y","n","NONE","n","y","y","y","2","centre of coral bleaching","","KI2015b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","KI2015c.tag766","KI15cFSYM472","766","coral","KI2015c","Platygyra_sp",32,"dead","KI2015c","32","766","","JL","12/11/2015","23.427","21.575","384.659","n","n","n","y","y","n","NONE","n","y","n","y","1","one prominent spot <5cm, a few lighter areas ","","KI2015c","KI15cFMD472","KIPlaty_plate8_data.txt",34.0917,23.75495,17.1498,NA,5.47951186877079,0.568018877327154,0.0643467170879766,NA,2,2,2,0,1.91880505674027e-06,0.0124071680992707,FALSE,0.0124090869043275,"766","KI2015c",472,NA,0.0124090869043275
"201","KI2015b.tag768","KI15bFSYM245","768","coral","KI2015b","Platygyra_sp",32,"dead","KI2015b","32","768","","HD","27-05-2016","13.079","12.948","122.799","n","n","n","y","y","n","NONE","n","y","n","y","1","a few small spots","","KI2015b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","KI2015c.tag768","KI15cFSYM460","768","coral","KI2015c","Platygyra_sp",32,"dead","KI2015c","32","768","","JL","13-11-2015","16.501","14.93","204.927","n","n","n","n","n","n","NONE","n","y","n","y","1","several patches <5cm","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","KI2015b.tag783","KI15bFSYM279","783","coral","KI2015b","Platygyra_sp",34,"alive","KI2015b","34","783","","JM","27-05-2016","20.063","13.923","190.304","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","KI2016a.tag783","KI16aFSYM118","783","coral","KI2016a","Platygyra_sp",34,"alive","KI2016a","34","783","","JM","16-06-2016","20.63","16.079","226.487","n","n","n","y","y","n","NONE","y","y","n","y","1","small patches starting to bleach","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","KI2015b.tag788","KI15bFSYM284","788","coral","KI2015b","Platygyra_sp",5,"alive","KI2015b","5","788","","JL","5/4/2016","16.353","12.765","156.354","n","n","n","y","y","n","NONE","y","y","y","y","1","a few small bleached spots ","","KI2015b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","KI2015c.tag788","KI15cFSYM253","788","coral","KI2015c","Platygyra_sp",5,"alive","KI2015c","5","788","","JL","25-11-2015","33.819","27.862","858.226","n","n","n","y","y","n","NONE","n","y","n","y","2","widespread but not completely bleached","","KI2015c","KI15cFMD253","KIPlaty_plate5_data.txt",24.7097,NA,17.7467,NA,0.208455079093793,NA,0.245083210359259,NA,2,0,2,0,0.00193632867989136,0,FALSE,0.00193632867989136,"788","KI2015c",253,NA,0.00193632867989136
"217","KI2016a.tag788","KI16aFSYM088","788","coral","KI2016a","Platygyra_sp",5,"alive","KI2016a","5","788","","HD","3/6/2016","34.442","34.224","883.711","n","n","n","y","y","n","NONE","y","y","y","y","3","most of coral bleached or starting to bleach","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","KI2015b.tag792","KI15bFSYM288","792","coral","KI2015b","Platygyra_sp",5,"alive","KI2015b","5","792","","HD","5/8/2016","18.074","17.316","246.693","n","n","n","n","n","n","NONE","y","y","y","y","1","some small areas","","KI2015b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","KI2015c.tag792","KI15cFSYM254","792","coral","KI2015c","Platygyra_sp",5,"alive","KI2015c","5","792","","JL","25-11-2015","33.266","29.339","824.397","n","n","n","y","y","n","NONE","y","y","y","y","2","large proportion of coral bleached but not severe","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","KI2016a.tag792","KI16aFSYM089","792","coral","KI2016a","Platygyra_sp",5,"alive","KI2016a","5","792","","JM","8/6/2016","32.789","31.958","760.42","n","n","n","y","y","y","Halimeda","y","y","n","y","1","small bleached patches","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","KI2015b.tag797","KI15bFSYM293","797","coral","KI2015b","Platygyra_sp",5,"alive","KI2015b","5","797","","JM","1/6/2016","22.923","20.339","325.753","n","n","n","y","y","n","NONE","y","y","n","y","1","small bleached patch towards bottom of coral","","KI2015b","KI15bFMD293","KIPlaty_plate2_data.txt",25.27415,NA,21.6272,NA,0.000777817459305902,NA,0.0576999133448209,NA,2,0,2,0,0.0192845538187505,0,FALSE,0.0192845538187505,"797","KI2015b",293,NA,0.0192845538187505
"222","KI2015c.tag797","KI15cFSYM261","797","coral","KI2015c","Platygyra_sp",5,"alive","KI2015c","5","797","","JL","25-11-2015","19.946","17.076","397.059","n","n","n","y","y","n","NONE","n","y","n","y","1","most of coral is lighter in colour","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","KI2016a.tag797","KI16aFSYM091","797","coral","KI2016a","Platygyra_sp",5,"alive","KI2016a","5","797","","HD","3/6/2016","29.133","28.132","626.296","n","n","n","y","y","n","NONE","n","y","y","y","3","coral bleached and overgrown with turf in centre","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","KI2015b.tag807","KI15bFSYM303","807","coral","KI2015b","Platygyra_sp",5,"alive","KI2015b","5","807","","JM","3/6/2016","51.946","34.705","1375.952","n","n","n","y","y","y","Halimeda","y","y","n","n","NONE","","","KI2015b","KI15bFMD303","KIPlaty_plate2_data.txt",25.887,37.6936,23.35945,NA,0.16291740238538,NA,0.0791252488147762,NA,2,1,2,0,0.0418969658041431,0,FALSE,0.0418969658041431,"807","KI2015b",303,NA,0.0418969658041431
"227","KI2015c.tag807","KI15cFSYM273","807","coral","KI2015c","Platygyra_sp",5,"alive","KI2015c","5","807","","JL","27-11-2015","70.995","55.266","2960.407","n","n","n","y","y","n","NONE","y","y","y","y","2","portions of coral are lighter, a few small bleached spots ","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","KI2016a.tag807","KI16aFSYM104","807","coral","KI2016a","Platygyra_sp",5,"alive","KI2016a","5","807","","JM","8/6/2016","76.548","54.002","2953.651","n","n","n","y","y","y","Halimeda, Peysson_brown?","y","y","n","y","1","small patches starting to bleach","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
