"","ref","SampleID","coral_tag","SampleType","field_season","Coral_Species","site","Status","field_season","site","coral_tag","before.after","annotator","date_annotated","colony_width1","colony_width2","colony_area","binary_tissue_loss","binary_disease","cyanobacteria_contact","binary_algal_contact","turf_contact","binary_macroalgae_contact","type_of_macroalgae","binary_CCA_contact","sediment_contact","binary_coral_contact","binary_bleaching","bleaching_proportion","notes_bleaching","notes","Year_Pre_Post","Sample.Name","File.Name","C.CT.mean","D.CT.mean","PaxC.CT.mean","Pax-C.CT.mean","C.CT.sd","D.CT.sd","PaxC.CT.sd","Pax-C.CT.sd","C.reps","D.reps","PaxC.reps","Pax-C.reps","C.PaxC","D.PaxC","fail","S.H","Tag","field_season","Sample.Num","Pre.Post","S.H"
"20","KI2014.tag161","KI14FSYM161","161","coral","KI2014","Platygyra_sp",3,"UK","KI2014","3","161","","JL","15-01-2016","17.433","16.82","217.694","n","n","n","y","y","n","NONE","y","y","n","y","1","large portion of coral is starting to pale, one almost white patch <5cm *double check bleaching","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","KI2015c.tag161","KI15cFSYM159","161","coral","KI2015c","Platygyra_sp",3,"UK","KI2015c","3","161","","HD","1/10/2015","21.292","18.43","302.198","n","y","y","y","y","n","NONE","y","n","y","y","3","Majority of the coral has some loss in colour","","KI2015c","KI15cFMD159","KIPlaty_plate1_data.txt",24.2463,NA,21.22,NA,0.313813989490589,NA,0.407434927319689,NA,2,0,2,0,0.0296513084057561,0,FALSE,0.0296513084057561,"161","KI2015c",159,NA,0.0296513084057561
"22","KI2014.tag164","KI14FSYM164","164","coral","KI2014","Platygyra_sp",3,"UK","KI2014","3","164","","JL","15-01-2016","28.558","24.345","520.248","n","n","n","y","y","y","Halimeda, Peysson_red","y","y","n","y","1","a few small patches where the ridges are bleaching (platygyra)","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","KI2014.tag223","KI14FSYM223","223","coral","KI2014","Platygyra_sp",3,"UK","KI2014","3","223","","JL","28-01-2016","31.083","26.684","584.323","n","n","n","y","y","n","NONE","y","n","y","y","1","a few small bleached spots ","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","KI2015c.tag223","KI15cFSYM171","223","coral","KI2015c","Platygyra_sp",3,"UK","KI2015c","3","223","","JL","20-11-2015","29.02","28.088","594.321","n","n","n","y","y","n","NONE","y","y","y","y","1","coral is lighter in colour, a few small bleached spots ","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","KI2014.tag234","KI14FSYM234","234","coral","KI2014","Platygyra_sp",3,"UK","KI2014","3","234","","DL","28-01-2016","21.273","20.003","114.798","n","n","n","y","y","n","NONE","y","y","y","y","1","patchy bleaching on tops of ridges","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","KI2015c.tag234","KI15cFSYM180","234","coral","KI2015c","Platygyra_sp",3,"UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","KI2014.tag242","KI14FSYM242","242","coral","KI2014","Platygyra_sp",8,"UK","KI2014","8","242","","DL","1/3/2016","16.239","13.14","164.898","n","n","n","y","y","y","Halimeda","n","y","y","n","NONE","","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","KI2014.tag248","KI14FSYM248","248","coral","KI2014","Platygyra_sp",8,"UK","KI2014","8","248","","DL","1/3/2016","15.028","13.525","142.653","n","n","n","y","y","n","NONE","y","y","n","y","1","small area starting to bleach ","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","KI2014.tag253","KI14FSYM253","253","coral","KI2014","Platygyra_sp",8,"gone","KI2014","8","253","","DL","17-03-2016","23.05","16.397","262.59","n","n","n","y","y","n","NONE","y","n","y","y","1","a few small spots","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
