SampleID	InputFileName	CoralTag	SampleType	Year	TubeNumber	Coral_Species	Site	Status	Year_Pre_Post
KI15bFSYM255	KI15bFSYM255.fasta	328	coral	2015May	255	Platygyra_sp	34	alive	2015May
KI15cFSYM488	KI15cFSYM488.fasta	328	coral	2015July	488	Platygyra_sp	34	alive	2015July
KI16aFSYM116	KI16aFSYM116.fasta	328	coral	2016March	116	Platygyra_sp	34	alive	2016March
KI14FSYM334	KI14FSYM334.fasta	334	coral	2014	334	Favites_pentagona	34	UK	2014
KI14FSYM338	KI14FSYM338.fasta	338	coral	2014	338	Platygyra_sp	34	UK	2014
KI14FSYM341	KI14FSYM341.fasta	341	coral	2014	341	Favites_pentagona	34	gone	2014
KI15cFSYM494	KI15cFSYM494.fasta	341	coral	2015July	494	Favites_pentagona	34	gone	2015July
KI15cFSYM509	KI15cFSYM509.fasta	341	coral	2015July	509	Favites_pentagona	34	gone	2015July
KI14FSYM351	KI14FSYM351.fasta	351	coral	2014	351	Platygyra_sp	34	UK	2014
KI14FSYM352	KI14FSYM352.fasta	352	coral	2014	352	Favites_pentagona	34	UK	2014
KI14FSYM353	KI14FSYM353.fasta	353	coral	2014	353	Platygyra_sp	34	gone	2014
KI15bFSYM263	KI15bFSYM263.fasta	353	coral	2015May	263	Platygyra_sp	34	gone	2015May
KI15cFSYM496	KI15cFSYM496.fasta	353	coral	2015July	496	Platygyra_sp	34	gone	2015July
KI14FSYM371	KI14FSYM371.fasta	371	coral	2014	371	Platygyra_sp	25	UK	2014
KI14FSYM373	KI14FSYM373.fasta	373	coral	2014	373	Favites_pentagona	25	UK	2014
KI15cFSYM399	KI15cFSYM399.fasta	373	coral	2015July	399	Favites_pentagona	25	UK	2015July
KI14FSYM379	KI14FSYM379.fasta	379	coral	2014	379	Platygyra_sp	25	UK	2014
KI15cFSYM404	KI15cFSYM404.fasta	379	coral	2015July	404	Platygyra_sp	25	UK	2015July
KI14FSYM386	KI14FSYM386.fasta	386	coral	2014	386	Favites_pentagona	30	alive	2014
KI15aFSYM145	KI15aFSYM145.fasta	386	coral	2015Jan	145	Favites_pentagona	30	alive	2015Jan_Post
KI15bFSYM057	KI15bFSYM057.fasta	386	coral	2015May	57	Favites_pentagona	30	alive	2015May
KI15cFSYM336	KI15cFSYM336.fasta	386	coral	2015July	336	Favites_pentagona	30	alive	2015July
KI16aFSYM082	KI16aFSYM082.fasta	386	coral	2016March	82	Favites_pentagona	30	alive	2016March
KI14FSYM389	KI14FSYM389.fasta	389	coral	2014	389	Platygyra_sp	30	UK	2014
KI15bFSYM131	KI15bFSYM131.fasta	389	coral	2015May	131	Platygyra_sp	30	UK	2015May
KI14FSYM400	KI14FSYM400.fasta	400	coral	2014	400	Favites_pentagona	25	UK	2014
KI15cFSYM411	KI15cFSYM411.fasta	400	coral	2015July	411	Favites_pentagona	25	UK	2015July
KI14FSYM402	KI14FSYM402.fasta	402	coral	2014	402	Platygyra_sp	25	UK	2014
KI15cFSYM415	KI15cFSYM415.fasta	402	coral	2015July	415	Platygyra_sp	25	UK	2015July
KI14FSYM410	KI14FSYM410.fasta	410	coral	2014	410	Platygyra_sp	25	UK	2014
KI14FSYM412	KI14FSYM412.fasta	412	coral	2014	412	Favites_pentagona	25	UK	2014
KI14FSYM435	KI14FSYM435.fasta	435	coral	2014	435	Favites_pentagona	30	gone	2014
KI15bFSYM065	KI15bFSYM065.fasta	435	coral	2015May	65	Favites_pentagona	30	gone	2015May
KI15cFSYM345	KI15cFSYM345.fasta	435	coral	2015July	345	Favites_pentagona	30	gone	2015July
KI14FSYM439	KI14FSYM439.fasta	439	coral	2014	439	Favites_pentagona	30	alive	2014
KI15bFSYM068	KI15bFSYM068.fasta	439	coral	2015May	68	Favites_pentagona	30	alive	2015May
KI15cFSYM350	KI15cFSYM350.fasta	439	coral	2015July	350	Favites_pentagona	30	alive	2015July
KI16aFSYM086	KI16aFSYM086.fasta	439	coral	2016March	86	Favites_pentagona	30	alive	2016March
KI14FSYM442	KI14FSYM442.fasta	442	coral	2014	442	Platygyra_sp	30	gone	2014
KI15bFSYM069	KI15bFSYM069.fasta	442	coral	2015May	69	Platygyra_sp	30	gone	2015May
KI15cFSYM348	KI15cFSYM348.fasta	442	coral	2015July	348	Platygyra_sp	30	gone	2015July
KI14FSYM447	KI14FSYM447.fasta	447	coral	2014	447	Platygyra_sp	27	UK	2014
KI14FSYM449	KI14FSYM449.fasta	449	coral	2014	449	Favites_pentagona	27	UK	2014
KI14FSYM454	KI14FSYM454.fasta	454	coral	2014	454	Favites_pentagona	27	UK	2014
KI14FSYM455	KI14FSYM455.fasta	455	coral	2014	455	Platygyra_sp	27	UK	2014
KI15aFSYM160	KI15aFSYM160.fasta	455	coral	2015Jan	160	Platygyra_sp	27	UK	2015Jan_Post
KI14FSYM461	KI14FSYM461.fasta	461	coral	2014	461	Platygyra_sp	27	UK	2014
KI14FSYM466	KI14FSYM466.fasta	466	coral	2014	466	Platygyra_sp	27	dead	2014
KI15aFSYM156	KI15aFSYM156.fasta	466	coral	2015Jan	156	Platygyra_sp	27	dead	2015Jan_Post
KI15bFSYM140	KI15bFSYM140.fasta	466	coral	2015May	140	Platygyra_sp	27	dead	2015May
KI15cFSYM064	KI15cFSYM064.fasta	466	coral	2015July	64	Platygyra_sp	27	dead	2015July
KI14FSYM470	KI14FSYM470.fasta	470	coral	2014	470	Platygyra_sp	27	gone	2014
KI15aFSYM150	KI15aFSYM150.fasta	470	coral	2015Jan	150	Platygyra_sp	27	gone	2015Jan_Post
KI15bFSYM138	KI15bFSYM138.fasta	470	coral	2015May	138	Platygyra_sp	27	gone	2015May
KI15cFSYM072	KI15cFSYM072.fasta	470	coral	2015July	72	Platygyra_sp	27	gone	2015July
KI14FSYM473	KI14FSYM473.fasta	473	coral	2014	473	Favites_pentagona	27	UK	2014
KI14FSYM479	KI14FSYM479.fasta	479	coral	2014	479	Platygyra_sp	32	UK	2014
KI14FSYM482	KI14FSYM482.fasta	482	coral	2014	482	Favites_pentagona	32	alive	2014
KI15bFSYM216	KI15bFSYM216.fasta	482	coral	2015May	216	Favites_pentagona	32	alive	2015May
KI15cFSYM432	KI15cFSYM432.fasta	482	coral	2015July	432	Favites_pentagona	32	alive	2015July
KI16aFSYM010	KI16aFSYM010.fasta	482	coral	2016March	10	Favites_pentagona	32	alive	2016March
KI14FSYM486	KI14FSYM486.fasta	486	coral	2014	486	Platygyra_sp	32	UK	2014
KI15bFSYM188	KI15bFSYM188.fasta	486	coral	2015May	188	Platygyra_sp	32	UK	2015May
KI14FSYM487	KI14FSYM487.fasta	487	coral	2014	487	Favites_pentagona	32	UK	2014
KI15bFSYM187	KI15bFSYM187.fasta	487	coral	2015May	187	Favites_pentagona	32	UK	2015May
KI15cFSYM434	KI15cFSYM434.fasta	487	coral	2015July	434	Favites_pentagona	32	UK	2015July
KI14FSYM492	KI14FSYM492.fasta	492	coral	2014	492	Favites_pentagona	32	dead	2014
KI15bFSYM191	KI15bFSYM191.fasta	492	coral	2015May	191	Favites_pentagona	32	dead	2015May
KI15cFSYM439	KI15cFSYM439.fasta	492	coral	2015July	439	Favites_pentagona	32	dead	2015July
KI14FSYM504	KI14FSYM504.fasta	504	coral	2014	504	Platygyra_sp	14	dead_or_gone	2014
KI15aFSYM032	KI15aFSYM032.fasta	583	coral	2015Jan	32	Favites_pentagona	15	UK	2015Jan_Pre
KI15bFSYM080	KI15bFSYM080.fasta	583	coral	2015May	80	Favites_pentagona	15	UK	2015May
KI15cFSYM101	KI15cFSYM101.fasta	583	coral	2015July	101	Favites_pentagona	15	UK	2015July
KI16aFSYM151	KI16aFSYM151.fasta	583	coral	2016March	151	Favites_pentagona	15	UK	2016March
KI15aFSYM037	KI15aFSYM037.fasta	588	coral	2015Jan	37	Favites_pentagona	15	alive	2015Jan_Pre
KI15bFSYM084	KI15bFSYM084.fasta	588	coral	2015May	84	Favites_pentagona	15	alive	2015May
KI15cFSYM104	KI15cFSYM104.fasta	588	coral	2015July	104	Favites_pentagona	15	alive	2015July
KI16aFSYM153	KI16aFSYM153.fasta	588	coral	2016March	153	Favites_pentagona	15	alive	2016March
KI15aFSYM041	KI15aFSYM041.fasta	592	coral	2015Jan	41	Favites_pentagona	15	alive	2015Jan_Pre
KI15bFSYM088	KI15bFSYM088.fasta	592	coral	2015May	88	Favites_pentagona	15	alive	2015May
KI15cFSYM112	KI15cFSYM112.fasta	592	coral	2015July	112	Favites_pentagona	15	alive	2015July
KI16aFSYM155	KI16aFSYM155.fasta	592	coral	2016March	155	Favites_pentagona	15	alive	2016March
KI15aFSYM043	KI15aFSYM043.fasta	594	coral	2015Jan	43	Platygyra_sp	15	alive	2015Jan_Pre
KI15cFSYM114	KI15cFSYM114.fasta	594	coral	2015July	114	Platygyra_sp	15	alive	2015July
KI16aFSYM158	KI16aFSYM158.fasta	594	coral	2016March	158	Platygyra_sp	15	alive	2016March
KI15aFSYM046	KI15aFSYM046.fasta	597	coral	2015Jan	46	Favites_pentagona	15	alive	2015Jan_Pre
KI15bFSYM092	KI15bFSYM092.fasta	597	coral	2015May	92	Favites_pentagona	15	alive	2015May
KI15cFSYM116	KI15cFSYM116.fasta	597	coral	2015July	116	Favites_pentagona	15	alive	2015July
KI16aFSYM159	KI16aFSYM159.fasta	597	coral	2016March	159	Favites_pentagona	15	alive	2016March
KI15aFSYM057	KI15aFSYM057.fasta	605	coral	2015Jan	57	Favites_pentagona	15	gone	2015Jan_Pre
KI15cFSYM125	KI15cFSYM125.fasta	605	coral	2015July	125	Favites_pentagona	15	gone	2015July
KI15aFSYM052	KI15aFSYM052.fasta	612	coral	2015Jan	52	Platygyra_sp	15	alive	2015Jan_Pre
KI15cFSYM126	KI15cFSYM126.fasta	612	coral	2015July	126	Platygyra_sp	15	alive	2015July
KI16aFSYM164	KI16aFSYM164.fasta	612	coral	2016March	164	Platygyra_sp	15	alive	2016March
KI15aFSYM067	KI15aFSYM067.fasta	618	coral	2015Jan	67	Platygyra_sp	15	alive	2015Jan_Pre
KI15cFSYM129	KI15cFSYM129.fasta	618	coral	2015July	129	Platygyra_sp	15	alive	2015July
KI16aFSYM160	KI16aFSYM160.fasta	618	coral	2016March	160	Platygyra_sp	15	alive	2016March
KI15aFSYM072	KI15aFSYM072.fasta	623	coral	2015Jan	72	Favites_pentagona	15	gone	2015Jan_Pre
KI15cFSYM145	KI15cFSYM145.fasta	623	coral	2015July	145	Favites_pentagona	15	gone	2015July
KI15aFSYM077	KI15aFSYM077.fasta	628	coral	2015Jan	77	Favites_pentagona	15	gone	2015Jan_Pre
KI15cFSYM142	KI15cFSYM142.fasta	628	coral	2015July	142	Favites_pentagona	15	gone	2015July
KI15cFSYM144	KI15cFSYM144.fasta	631	coral	2015July	144	Favites_pentagona	15	dead	2015July
KI15aFSYM097	KI15aFSYM097.fasta	637	coral	2015Jan	97	Platygyra_sp	35	alive	2015Jan_Post
KI15bFSYM020	KI15bFSYM020.fasta	637	coral	2015May	20	Platygyra_sp	35	alive	2015May
KI16aFSYM047	KI16aFSYM047.fasta	637	coral	2016March	47	Platygyra_sp	35	alive	2016March
KI15bFSYM102	KI15bFSYM102.fasta	656	coral	2015May	102	Favites_pentagona	19	UK	2015May
KI15cFSYM025	KI15cFSYM025.fasta	656	coral	2015July	25	Favites_pentagona	19	UK	2015July
KI15bFSYM147	KI15bFSYM147.fasta	685	coral	2015May	147	Favites_pentagona	27	UK	2015May
KI15bFSYM179	KI15bFSYM179.fasta	696	coral	2015May	179	Platygyra_sp	8	UK	2015May
KI15cFSYM385	KI15cFSYM385.fasta	696	coral	2015July	385	Platygyra_sp	8	UK	2015July
KI16aFSYM004	KI16aFSYM004.fasta	696	coral	2016March	4	Platygyra_sp	8	UK	2016March
KI15bFSYM184	KI15bFSYM184.fasta	719	coral	2015May	184	Favites_pentagona	8	dead	2015May
KI15cFSYM373	KI15cFSYM373.fasta	719	coral	2015July	373	Favites_pentagona	8	dead	2015July
KI15bFSYM200	KI15bFSYM200.fasta	722	coral	2015May	200	Favites_pentagona	27	gone	2015May
KI15cFSYM077	KI15cFSYM077.fasta	722	coral	2015July	77	Favites_pentagona	27	gone	2015July
KI15bFSYM204	KI15bFSYM204.fasta	726	coral	2015May	204	Favites_pentagona	27	gone	2015May
KI15cFSYM082	KI15cFSYM082.fasta	726	coral	2015July	82	Favites_pentagona	27	gone	2015July
KI15bFSYM205	KI15bFSYM205.fasta	727	coral	2015May	205	Platygyra_sp	27	gone	2015May
KI15cFSYM083	KI15cFSYM083.fasta	727	coral	2015July	83	Platygyra_sp	27	gone	2015July
KI15bFSYM207	KI15bFSYM207.fasta	729	coral	2015May	207	Favites_pentagona	27	alive	2015May
KI15cFSYM094	KI15cFSYM094.fasta	729	coral	2015July	94	Favites_pentagona	27	alive	2015July
KI16aFSYM066	KI16aFSYM066.fasta	729	coral	2016March	66	Favites_pentagona	27	alive	2016March
KI15bFSYM213	KI15bFSYM213.fasta	735	coral	2015May	213	Platygyra_sp	27	gone	2015May
KI15cFSYM065	KI15cFSYM065.fasta	735	coral	2015July	65	Platygyra_sp	27	gone	2015July
KI15bFSYM214	KI15bFSYM214.fasta	736	coral	2015May	214	Favites_pentagona	27	gone	2015May
KI15cFSYM063	KI15cFSYM063.fasta	736	coral	2015July	63	Favites_pentagona	27	gone	2015July
KI15bFSYM219	KI15bFSYM219.fasta	742	coral	2015May	219	Platygyra_sp	32	dead	2015May
KI15cFSYM436	KI15cFSYM436.fasta	742	coral	2015July	436	Platygyra_sp	32	dead	2015July
KI15bFSYM231	KI15bFSYM231.fasta	754	coral	2015May	231	Platygyra_sp	32	alive	2015May
KI15cFSYM468	KI15cFSYM468.fasta	754	coral	2015July	468	Platygyra_sp	32	alive	2015July
KI15bFSYM239	KI15bFSYM239.fasta	762	coral	2015May	239	Platygyra_sp	32	dead	2015May
KI15cFSYM474	KI15cFSYM474.fasta	762	coral	2015July	474	Platygyra_sp	32	dead	2015July
KI15bFSYM243	KI15bFSYM243.fasta	766	coral	2015May	243	Platygyra_sp	32	dead	2015May
KI15cFSYM472	KI15cFSYM472.fasta	766	coral	2015July	472	Platygyra_sp	32	dead	2015July
KI15bFSYM245	KI15bFSYM245.fasta	768	coral	2015May	245	Platygyra_sp	32	dead	2015May
KI15cFSYM460	KI15cFSYM460.fasta	768	coral	2015July	460	Platygyra_sp	32	dead	2015July
KI15bFSYM247	KI15bFSYM247.fasta	770	coral	2015May	247	Favites_pentagona	32	alive	2015May
KI15cFSYM461	KI15cFSYM461.fasta	770	coral	2015July	461	Favites_pentagona	32	alive	2015July
KI16aFSYM013	KI16aFSYM013.fasta	770	coral	2016March	13	Favites_pentagona	32	alive	2016March
KI15bFSYM249	KI15bFSYM249.fasta	772	coral	2015May	249	Favites_pentagona	32	dead	2015May
KI15cFSYM448	KI15cFSYM448.fasta	772	coral	2015July	448	Favites_pentagona	32	dead	2015July
KI15bFSYM277	KI15bFSYM277.fasta	781	coral	2015May	277	Favites_pentagona	34	UK	2015May
KI15cFSYM499	KI15cFSYM499.fasta	781	coral	2015July	499	Favites_pentagona	34	UK	2015July
KI15bFSYM279	KI15bFSYM279.fasta	783	coral	2015May	279	Platygyra_sp	34	alive	2015May
KI16aFSYM118	KI16aFSYM118.fasta	783	coral	2016March	118	Platygyra_sp	34	alive	2016March
KI15bFSYM282	KI15bFSYM282.fasta	786	coral	2015May	282	Favites_pentagona	34	alive	2015May
KI15cFSYM502	KI15cFSYM502.fasta	786	coral	2015July	502	Favites_pentagona	34	alive	2015July
KI16aFSYM119	KI16aFSYM119.fasta	786	coral	2016March	119	Favites_pentagona	34	alive	2016March
KI15bFSYM284	KI15bFSYM284.fasta	788	coral	2015May	284	Platygyra_sp	5	alive	2015May
KI15cFSYM253	KI15cFSYM253.fasta	788	coral	2015July	253	Platygyra_sp	5	alive	2015July
KI16aFSYM088	KI16aFSYM088.fasta	788	coral	2016March	88	Platygyra_sp	5	alive	2016March
KI15bFSYM288	KI15bFSYM288.fasta	792	coral	2015May	288	Platygyra_sp	5	alive	2015May
