"Field.Season","Site","Quadrat","adj.total.points.quadrat","Cover","Bleached","Substrate","Species","Fish.Level","Field.Season.Cat","adj.total.points.site"
"KI2015b","site35","Q49.9",98,1,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2965
"KI2015b","site35","Q50.3",97,4,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2965
"KI2015b","site35","Q52.2",100,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2965
"KI2015b","site35","Q7.3",100,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2965
"KI2015b","site35","Q7.9",99,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2965
"KI2015b","site35","Q8.9",99,7,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2965
"KI2015b","site35","Q35.2",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q42.2",98,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q42.5",97,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q4.2",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q44.7",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q46.6",98,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q19.1",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q21.3",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q2.2",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q24.6",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q24.8",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q36.7",97,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q38.7",98,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q11.5",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q13.1",98,4,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q14.5",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q15.8",98,1,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q17.3",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q19.1",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q21.3",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q2.2",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q14.5",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q15.8",98,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q17.3",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q47.2",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q55.8",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q56.3",98,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q58.2",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q7.3",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q7.9",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q8.9",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q54.6",100,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2965
"KI2015b","site35","Q55.8",99,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2965
"KI2015b","site35","Q56.3",98,6,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2965
"KI2015b","site35","Q58.2",99,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2965
"KI2015b","site35","Q13.1",98,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q4.8",98,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q54.6",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q24.6",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q24.8",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q35.2",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q36.7",97,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q38.7",98,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q42.2",98,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q11.5",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q49.9",98,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q50.3",97,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q52.2",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q46.6",98,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q47.2",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q4.8",98,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q50.3",97,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q8.9",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q42.5",97,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q49.9",98,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q52.2",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q58.2",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q54.6",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q55.8",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q56.3",98,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q7.3",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q7.9",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q4.2",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site35","Q44.7",99,3,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2965
"KI2015b","site8","Q15.9",100,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q7.8",100,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q21.3",99,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q2.2",100,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q4.8",99,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q14.4",98,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q24.8",100,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q7.3",98,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q14.4",98,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q19.2",99,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q13.1",97,2,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q17.3",98,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q24.6",100,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q11.6",99,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q46.5",99,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q47.1",100,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q42.2",99,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q13.1",97,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q7.3",98,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q21.3",99,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q2.2",100,2,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q24.6",100,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q38.8",100,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q42.5",99,2,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q56.4",99,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q58.3",100,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q11.6",99,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q35.3",100,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q42.2",99,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q44.8",98,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q15.9",100,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q17.3",98,6,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q24.8",100,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q36.8",98,2,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q36.8",98,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q38.8",100,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q19.2",99,1,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q42.5",99,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q4.3",99,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q55.8",97,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q56.4",99,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q58.3",100,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q7.8",100,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q8.8",98,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q35.3",100,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q4.3",99,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q44.8",98,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q46.5",99,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q47.1",100,1,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q4.8",99,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q55.8",97,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q8.8",98,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q49.9",99,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q21.3",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q2.2",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q50.2",100,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q52.1",97,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q54.8",100,0,"Bleaching","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q49.9",99,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q50.2",100,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q52.1",97,3,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q54.8",100,0,"Healthy","HARD.CORAL","Platygyra.spp","Medium","Before",2969
"KI2015b","site8","Q15.9",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q17.3",98,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q19.2",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q21.3",99,4,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q24.6",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q24.8",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q35.3",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q36.8",98,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q52.1",97,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q58.3",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q7.3",98,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q7.8",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q17.3",98,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q19.2",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q24.6",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q24.8",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q35.3",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q36.8",98,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q38.8",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q42.2",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q14.4",98,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
