site,species,photo,bleaching.proportion,cut.off.y.n,status_notes,photo_notes
32,hydno,IMG_9653,0,n,,
32,hydno,IMG_9656,0,n,,
32,f pentagona,IMG_9656,1,n,,
32,favid,IMG_9656,0,n,,
32,platygyra sp.,IMG_9656,1,n,,
32,favia sp. ,IMG_9656,0,n,,
32,platygyra sp.,IMG_9656,0,n,,
32,favid,IMG_9659,2,n,,
32,hydno,IMG_9660,0,n,,
32,hydno,IMG_9662,0,n,,
32,platygyra sp.,IMG_9662,2,n,,
32,favid,IMG_9662,3,n,,
32,platygyra sp.,IMG_9665,0,n,,
32,platygyra sp.,IMG_9665,2,n,,
32,hydno,IMG_9665,0,n,,
32,hydno,IMG_9671,0,y,,
32,platygyra sp.,IMG_9674,0,n,,
32,hydno,IMG_9674,0,n,,
32,platygyra sp.,IMG_9678,1,n,,
32,hydno,IMG_9679,4,n,,
32,favia sp. ,IMG_9679,3,n,,
32,favia sp. ,IMG_9679,1,n,,
32,hydno,IMG_9679,0,n,,
32,hydno,IMG_9681,0,n,,
32,f pentagona,IMG_9681,1,n,,
32,platygyra sp.,IMG_9683,0,n,,
35,hydno,2015-11-13 13.01.38,3,n,,
35,favid,2015-11-13 13.01.38,3,n,,
35,Favia matthai,2015-11-13 13.01.38,3,n,,
35,Favia matthai,2015-11-13 13.01.38,3,n,,
35,Favia matthai,2015-11-13 13.01.38,3,n,,
35,Favia matthai,2015-11-13 13.01.38,3,y,,
35,Favia sp. ,2015-11-13 13.01.38,3,n,,
35,Favid,2015-11-13 13.01.59,1,n,,
35,Favia matthai,2015-11-13 13.01.59,3,n,,
35,Favia sp. ,2015-11-13 13.01.59,1,y,,
35,Favia matthai,2015-11-13 13.01.59,1,n,,
35,hydno,2015-11-13 13.01.59,0,n,,
35,Favid,2015-11-13 13.01.59,3,n,,
35,Favia matthai,2015-11-13 13.02.33,1,n,,
35,Favia matthai,2015-11-13 13.02.33,3,n,,
35,Favid,2015-11-13 13.02.33,3,n,,
35,favid,2015-11-13 13.02.33,3,n,,
35,Favia matthai,2015-11-13 13.02.33,3,n,,
35,hydno,2015-11-13 13.05.14,0,n,,
35,Favia matthai,2015-11-13 13.05.14,3,n,,
35,Favia matthai,2015-11-13 13.05.14,0,n,,
35,hydno,2015-11-13 13.05.14,3,n,,
35,f pentagona,2015-11-13 13.05.14,4,n,,
35,hydno,2015-11-13 13.05.42,3,n,,
35,hydno,2015-11-13 13.06.44,0,n,,
35,Favid,2015-11-13 13.06.44,1,n,,
35,hydno,2015-11-13 13.06.44,3,n,,
35,Favia matthai,2015-11-13 13.06.44,3,n,,
35,Favia matthai,2015-11-13 13.06.44,3,n,,
35,hydno,2015-11-13 13.07.24,3,n,,
35,hydno,2015-11-13 13.07.24,3,y,,
35,hydno,2015-11-13 13.07.24,3,n,,
35,Favia matthai,2015-11-13 13.07.24,3,n,,
35,Favites halicora,2015-11-13 13.07.24,3,n,,
35,hydno,2015-11-13 13.07.24,3,n,,
35,favid,2015-11-13 13.07.24,2,n,,
35,favites sp,2015-11-13 13.07.24,3,n,,
35,Favia matthai,2015-11-13 13.07.24,3,n,,
35,favid,2015-11-13 13.07.24,0,n,,
35,Favid,2015-11-13 13.08.21,3,n,,
35,hydno,2015-11-13 13.08.21,3,n,,
35,Favites halicora,2015-11-13 13.08.21,3,n,,
35,Favia sp. ,2015-11-13 13.08.21,0,n,,
35,hydno,2015-11-13 13.08.21,3,n,,
35,Favites halicora,2015-11-13 13.08.21,2,n,,
35,Favites halicora,2015-11-13 13.08.21,2,n,,
35,F pentagona,2015-11-13 13.08.21,3,n,,
35,hydno,2015-11-13 13.08.21,1,n,,
35,hydno,2015-11-13 13.08.21,0,n,,
35,hydno,2015-11-13 13.08.21,0,n,,
35,Favia matthai,2015-11-13 13.08.21,3,n,,
35,favid,2015-11-13 13.09.36,3,n,,
35,Favia matthai,2015-11-13 13.09.36,3,n,,
35,Favia matthai,2015-11-13 13.09.36,3,n,,
35,hydno,2015-11-13 13.09.36,3,n,,
35,favid,2015-11-13 13.09.36,2,n,,
35,favid,2015-11-13 13.09.36,0,n,,
35,favid,2015-11-13 13.09.36,3,y,,
35,Favia matthai,2015-11-13 13.09.36,2,n,,
35,Favia matthai,2015-11-13 13.09.36,1,n,,
35,hydno,2015-11-13 13.09.36,3,n,,
35,Favia matthai,2015-11-13 13.09.36,3,n,,
35,hydno,2015-11-13 13.09.36,3,n,,
35,hydno,2015-11-13 13.10.00,3,n,,
35,Favites halicora,2015-11-13 13.10.00,1,n,,
35,hydno,2015-11-13 13.16.02,3,n,,
35,hydno,2015-11-13 13.16.02,3,n,,
35,favia matthai,2015-11-13 13.16.02,3,n,,
35,hydno,2015-11-13 13.16.38,2,n,,
35,favid,2015-11-13 13.16.38,3,n,,
35,favia matthai,2015-11-13 14.53.50,3,n,,
35,favia matthai,2015-11-13 14.53.50,3,n,,
35,favites sp,2015-11-13 14.58.39,3,n,,
35,f pentagona,2015-11-13 15.04.06,3,y,,
35,Favia matthai,2015-11-13 15.04.06,3,n,,
35,hydno,2015-11-13 15.10.14,3,n,,
35,favia sp. ,2015-11-13 15.10.14,3,n,,
35,hydno,2015-11-13 15.10.14,3,n,,
35,favid,2015-11-13 15.10.14,3,n,,
35,hydno,2015-11-13 15.10.14,0,n,,
35,Favia matthai,2015-11-13 15.10.14,2,n,,
35,favia sp. ,2015-11-13 15.10.14,0,n,,
35,hydno,2015-11-13 15.10.14,3,n,,
35,Favia matthai,2015-11-13 15.10.14,3,n,,
35,Favites halicora,2015-11-13 15.10.14,1,n,,
35,hydno,2015-11-13 15.10.14,0,y,,
35,f pentagona,2015-11-13 15.13.00,1,n,,
35,Favia matthai,2015-11-13 15.13.00,3,n,,
35,favid,2015-11-13 15.13.00,3,n,,
35,hydno,2015-11-13 15.13.00,3,n,,
35,favid,2015-11-13 15.13.00,3,n,,
35,favid,2015-11-13 15.13.00,3,n,,
35,favid,2015-11-13 15.13.00,2,n,,
35,hydno,2015-11-13 15.13.00,3,n,,
35,f pentagona,2015-11-13 15.13.00,2,n,,
35,Favia matthai,2015-11-13 15.13.10,3,n,,
35,favid,2015-11-13 15.13.10,3,n,,
35,favid,2015-11-13 15.13.10,3,n,,
35,hydno,2015-11-13 15.13.10,3,n,,
35,favid,2015-11-13 15.13.10,3,n,,
35,favid,2015-11-13 15.13.10,3,n,,
35,favid,2015-11-13 15.13.10,3,n,,
35,favid,2015-11-13 15.13.10,3,n,,
35,Favia matthai,2015-11-13 15.16.02,1,n,,
35,Favia matthai,2015-11-13 15.16.02,1,y,,
35,f pentagona,2015-11-13 15.16.02,0,n,,
35,f pentagona,2015-11-13 15.16.02,0,n,,
35,Favia matthai,2015-11-13 15.16.02,1,n,,
35,Favid,2015-11-13 15.16.02,3,n,,
35,favid,2015-11-13 15.16.02,3,n,,
35,Favia matthai,2015-11-13 15.16.02,3,n,,
35,favid,2015-11-13 15.16.02,1,n,,
35,Favia matthai,2015-11-13 15.16.02,3,n,,
35,f pentagona,2015-11-13 15.16.02,2,n,,
35,hydno,2015-11-13 15.16.02,3,y,,
35,Favia matthai,2015-11-13 15.16.10,3,n,,
35,hydno,2015-11-13 15.16.10,4,n,,
35,favid,2015-11-13 15.16.10,3,n,,
35,hydno,2015-11-13 15.16.10,0,n,,
35,hydno,2015-11-13 15.16.10,3,n,,
35,hydno,2015-11-13 15.16.10,3,n,,
35,hydno,2015-11-13 15.16.10,3,n,,
35,favid,2015-11-13 15.16.10,3,n,,
35,hydno,2015-11-13 15.16.10,3,n,,
35,favid,2015-11-13 15.16.10,3,n,,
35,favia sp. ,2015-11-13 15.16.10,3,n,,
35,hydno,2015-11-13 15.16.10,3,n,,
35,favia sp. ,2015-11-13 15.16.10,3,n,,
35,favid,2015-11-13 15.16.10,2,n,,
35,favid,2015-11-13 15.16.10,3,y,,
35,Favia matthai,2015-11-13 15.16.10,3,n,,
35,favites sp,2015-11-13 15.16.10,1,n,,
35,f pentagona,2015-11-13 15.16.10,3,n,,
35,favid,2015-11-13 15.16.10,3,n,,
35,hydno,2015-11-13 15.16.10,3,n,,
35,hydno,2015-11-13 15.16.36,3,n,,
35,f pentagona,2015-11-13 15.16.36,3,y,,
35,hydno,2015-11-13 15.16.36,0,n,,
35,Favites halicora,2015-11-13 15.16.36,3,n,,
35,Favia matthai,2015-11-13 15.16.36,0,n,,
35,Favia matthai,2015-11-13 15.16.36,3,n,,
35,Favia matthai,2015-11-13 15.16.36,3,n,,
35,Favia matthai,2015-11-13 15.16.36,3,n,,
35,hydno,2015-11-13 15.16.36,3,n,,
35,Favia matthai,2015-11-13 15.16.58,3,n,,
35,Favia matthai,2015-11-13 15.16.58,3,y,,
35,favia sp. ,2015-11-13 15.16.58,3,y,,
35,favia sp. ,2015-11-13 15.16.58,3,n,,
35,hydno,2015-11-13 15.16.58,3,n,,
35,hydno,2015-11-13 15.16.58,3,y,,
35,hydno,2015-11-13 15.16.58,3,y,,
35,hydno,2015-11-13 15.17.07,3,n,,
35,favid,2015-11-13 15.17.07,1,n,,
35,hydno,2015-11-13 15.17.07,0,n,,
35,hydno,2015-11-13 15.17.07,3,n,,
35,favid,2015-11-13 15.17.07,2,n,,
35,favid,2015-11-13 15.17.07,2,n,,
35,favid,2015-11-13 15.17.07,2,n,,
35,hydno,2015-11-13 15.17.07,0,n,,
35,hydno,2015-11-13 15.17.07,3,y,,
35,hydno,2015-11-13 15.17.44,3,y,,
35,favid,2015-11-13 15.17.44,3,n,,
35,favid,2015-11-13 15.17.44,3,n,,
35,hydno,2015-11-13 15.17.44,3,y,,
35,hydno,2015-11-13 15.17.44,3,y,,
35,hydno,2015-11-13 15.17.44,3,y,,
35,f pentagona,2015-11-13 15.17.44,3,n,,
35,favia matthai,2015-11-13 15.17.44,1,n,,
35,hydno,2015-11-13 15.17.51,3,n,,
35,favid,2015-11-13 15.17.51,3,n,,
35,hydno,2015-11-13 15.17.51,3,n,,
35,hydno,2015-11-13 15.17.51,3,n,,
35,favid,2015-11-13 15.17.51,3,n,,
35,hydno,2015-11-13 15.17.51,3,n,,
35,favid,2015-11-13 15.17.51,3,y,,
35,Favia matthai,2015-11-13 15.17.51,3,n,,
35,hydno,2015-11-13 15.17.51,3,n,,
35,Favia matthai,2015-11-13 15.17.51,1,n,,
35,hydno,2015-11-13 15.17.51,3,n,,
35,favid,2015-11-13 15.18.45,3,n,,
35,Favia matthai,2015-11-13 15.19.12,3,n,,
35,Favia matthai,2015-11-13 15.19.12,3,n,,
35,Favia matthai,2015-11-13 15.19.12,3,n,,
35,f pentagona,2015-11-13 15.19.12,4,n,,
35,Favia matthai,2015-11-13 15.19.40,3,n,,
35,favia sp. ,2015-11-13 15.20.38,3,n,,
35,Favia matthai,2015-11-13 15.20.49,3,n,,
35,hydno,2015-11-13 15.20.49,0,y,,
35,hydno,2015-11-13 15.21.03,3,y,,
35,hydno,2015-11-13 15.21.44,3,y,,
35,hydno,2015-11-13 15.21.44,3,n,,
35,Favia matthai,2015-11-13 15.21.44,3,n,,
35,Favia matthai,2015-11-13 15.21.44,3,n,,
35,favid,2015-11-13 15.21.44,2,n,,
35,favid,2015-11-13 15.21.44,3,n,,
35,favid,2015-11-13 15.21.44,3,n,,
35,hydno,2015-11-13 15.21.44,3,n,,
35,hydno,2015-11-13 15.21.44,3,n,,
35,f pentagona,2015-11-13 15.21.44,1,n,,
35,hydno,2015-11-13 15.22.09,3,n,,
35,f pentagona,2015-11-13 15.22.09,4,n,,
35,favid,2015-11-13 15.22.09,3,y,,
35,favid,2015-11-13 15.22.17,3,n,,
35,hydno,2015-11-13 15.22.17,3,n,,
35,hydno,2015-11-13 15.30.38,3,y,,
35,hydno,2015-11-13 15.30.38,0,n,,
35,hydno,2015-11-13 15.30.38,0,y,,
35,hydno,2015-11-13 15.30.38,3,n,,
35,f pentagona,2015-11-13 15.30.38,0,y,,
35,hydno,2015-11-13 15.30.46,0,n,,
35,hydno,2015-11-13 15.30.46,0,n,,
35,favid,2015-11-13 15.30.46,3,n,,
35,hydno,2015-11-13 15.30.46,0,n,,
35,favid,2015-11-13 15.30.46,3,n,,
