"fpressure","variable","mean","sd"
"Very high","lat","   2.01  ","    0.016 "
"Very high","long","-157.49  ","    0.0064"
"Very high","nitrate_plus_nitrite_uM_mean","   1.76  ","    0.6   "
"Very high","nitrate_plus_nitrite_uM_se","   0.04  ","    0.018 "
"Very high","npp_interann_sd_sat","  51.6   ","    4.18  "
"Very high","npp_max_sat","1113.73  ","   23.24  "
"Very high","npp_mean_sat"," 902.14  ","   15.65  "
"Very high","npp_min_sat"," 758.01  ","   15.69  "
"Very high","npp_sd_sat","  64.68  ","    3.05  "
"Very high","phosphate_uM_mean","   0.46  ","    0.059 "
"Very high","phosphate_uM_se","   0.048 ","    0.034 "
"Very high","prod_mean_aq","  10.46  ","    6.05  "
"Very high","prod_mean_f","   0.79  ","    0.43  "
"Very high","prod_se_aq","   1.06  ","    0.84  "
"Very high","prod_se_f","   0.058 ","    0.043 "
"Very high","silicate_uM_mean","  10.2   ","    0.81  "
"Very high","silicate_uM_se","   0.95  ","    0.27  "
"Very high","turb_mean_aq","   0.2   ","    0.42  "
"Very high","turb_se_aq","   0.11  ","    0.071 "
"Very high","visibility_m","  12.75  ","    2.38  "
"Very high","wave_interann_sd_sat","   1.18  ","    1.35  "
"Very high","wave_mean_sat","  11.36  ","   13.01  "
"Very high","wave_sd_sat","   3.15  ","    3.61  "
"Very high","ysi_DO_mean_1m","  90.46  ","    3.4   "
"Very high","ysi_DO_mgL_mean_1m","   5.72  ","    0.2   "
"Very high","ysi_DO_mgL_se_1m","   0.033 ","    0.021 "
"Very high","ysi_DO_se_1m","   0.49  ","    0.48  "
"Very high","ysi_pH_mean_1m","   8.03  ","    0.048 "
"Very high","ysi_pH_se_1m","   0.0049","    0.0034"
"Very high","ysi_salinity_mean_1m","  35.92  ","    0.91  "
"Very high","ysi_salinity_se_1m","   0.013 ","    0.013 "
"Very high","ysi_temp_mean_1m","  29.03  ","    0.15  "
"Very high","ysi_temp_se_1m","   0.0067","    0.015 "
"Very low","lat","   1.82  ","    0.015 "
"Very low","long","-157.39  ","    0.099 "
"Very low","nitrate_plus_nitrite_uM_mean","   2.99  ","    0.34  "
"Very low","nitrate_plus_nitrite_uM_se"," NaN     ","   NA     "
"Very low","npp_interann_sd_sat","  61.04  ","   15.78  "
"Very low","npp_max_sat","1014.38  ","   17.39  "
"Very low","npp_mean_sat"," 873.12  ","   17.74  "
"Very low","npp_min_sat"," 760.86  ","   19.86  "
"Very low","npp_sd_sat","  55.43  ","    5.98  "
"Very low","phosphate_uM_mean","   0.59  ","    0.11  "
"Very low","phosphate_uM_se"," NaN     ","   NA     "
"Very low","prod_mean_aq","   3.82  ","    2.48  "
"Very low","prod_mean_f","   0.09  ","    0.018 "
"Very low","prod_se_aq","   0.31  ","    0.21  "
"Very low","prod_se_f","   0.0066","    0.0036"
"Very low","silicate_uM_mean","  10.99  ","    1.06  "
"Very low","silicate_uM_se"," NaN     ","   NA     "
"Very low","turb_mean_aq","  -0.42  ","    0.98  "
"Very low","turb_se_aq","   0.24  ","    0.032 "
"Very low","visibility_m","  26.42  ","    7.04  "
"Very low","wave_interann_sd_sat","   1.34  ","    1.35  "
"Very low","wave_mean_sat","  13.01  ","   13.53  "
"Very low","wave_sd_sat","   3.09  ","    3.16  "
"Very low","ysi_DO_mean_1m","  93.22  ","    8.39  "
"Very low","ysi_DO_mgL_mean_1m","   5.77  ","    0.56  "
"Very low","ysi_DO_mgL_se_1m","   0.029 ","    0.01  "
"Very low","ysi_DO_se_1m","   0.56  ","    0.084 "
"Very low","ysi_pH_mean_1m","   8.03  ","    0.056 "
"Very low","ysi_pH_se_1m","   0.0041","    0.0014"
"Very low","ysi_salinity_mean_1m","  34.97  ","    0.024 "
"Very low","ysi_salinity_se_1m","   0.0067","    0.0047"
"Very low","ysi_temp_mean_1m","  29.17  ","    0.31  "
"Very low","ysi_temp_se_1m","   0     ","    0     "
