"fpressure","variable","mean","sd"
"Medium","ysi_temp_mean_1m","  28.55  "," 0.92   "
"Medium","ysi_temp_se_1m","   0.014 "," 0.022  "
"Very high","lat","   2.01  "," 0.017  "
"Very high","long","-157.49  "," 0.0065 "
"Very high","nitrate_plus_nitrite_uM_mean","   2.29  "," 1.2    "
"Very high","nitrate_plus_nitrite_uM_se","   0.04  "," 0.018  "
"Very high","npp_interann_sd_sat","  53.13  "," 4.84   "
"Very high","npp_max_sat","1122.31  ","26.2    "
"Very high","npp_mean_sat"," 907.91  ","17.93   "
"Very high","npp_min_sat"," 763.62  ","18.35   "
"Very high","npp_sd_sat","  65.61  "," 2.95   "
"Very high","phosphate_uM_mean","   0.46  "," 0.16   "
"Very high","phosphate_uM_se","   0.048 "," 0.034  "
"Very high","prod_mean_aq","   8.36  "," 4.62   "
"Very high","prod_mean_f","   0.48  "," 0.36   "
"Very high","prod_se_aq","   0.94  "," 0.68   "
"Very high","prod_se_f","   0.034 "," 0.034  "
"Very high","silicate_uM_mean","   7.6   "," 4.06   "
"Very high","silicate_uM_se","   0.95  "," 0.27   "
"Very high","turb_mean_aq","  -0.056 "," 1.04   "
"Very high","turb_se_aq","   0.22  "," 0.22   "
"Very high","visibility_m","  14.9   "," 7.59   "
"Very high","wave_interann_sd_sat","   0.85  "," 1.23   "
"Very high","wave_mean_sat","   8.14  ","11.82   "
"Very high","wave_sd_sat","   2.26  "," 3.28   "
"Very high","ysi_DO_mean_1m","  86.64  "," 6.58   "
"Very high","ysi_DO_mgL_mean_1m","   5.69  "," 0.31   "
"Very high","ysi_DO_mgL_se_1m","   0.042 "," 0.027  "
"Very high","ysi_DO_se_1m","   2.46  "," 5.89   "
"Very high","ysi_pH_mean_1m","   7.97  "," 0.085  "
"Very high","ysi_pH_se_1m","   0.013 "," 0.014  "
"Very high","ysi_salinity_mean_1m","  35.61  "," 0.85   "
"Very high","ysi_salinity_se_1m","   0.015 "," 0.021  "
"Very high","ysi_temp_mean_1m","  28.21  "," 1.22   "
"Very high","ysi_temp_se_1m","   0.051 "," 0.21   "
"Very low","lat","   1.83  "," 0.014  "
"Very low","long","-157.41  "," 0.091  "
"Very low","nitrate_plus_nitrite_uM_mean","   3.54  "," 2.01   "
"Very low","nitrate_plus_nitrite_uM_se"," NaN     ","NA      "
"Very low","npp_interann_sd_sat","  64.93  ","14.91   "
"Very low","npp_max_sat","1018.34  ","16.12   "
"Very low","npp_mean_sat"," 878.78  ","18.43   "
"Very low","npp_min_sat"," 765.35  ","19.77   "
"Very low","npp_sd_sat","  55.43  "," 5.07   "
"Very low","phosphate_uM_mean","   0.44  "," 0.13   "
"Very low","phosphate_uM_se"," NaN     ","NA      "
"Very low","prod_mean_aq","   1.66  "," 1.7    "
"Very low","prod_mean_f","   0.071 "," 0.042  "
"Very low","prod_se_aq","   1.47  "," 0.64   "
"Very low","prod_se_f","   0.013 "," 0.01   "
"Very low","silicate_uM_mean","   5.96  "," 4.01   "
"Very low","silicate_uM_se"," NaN     ","NA      "
"Very low","turb_mean_aq","   1.31  "," 1.53   "
"Very low","turb_se_aq","   0.32  "," 0.2    "
"Very low","visibility_m","  30.88  "," 7.22   "
"Very low","wave_interann_sd_sat","   1.57  "," 1.24   "
"Very low","wave_mean_sat","  15.26  ","12.43   "
"Very low","wave_sd_sat","   3.64  "," 2.92   "
"Very low","ysi_DO_mean_1m","  88.07  "," 6.26   "
"Very low","ysi_DO_mgL_mean_1m","   5.64  "," 0.36   "
"Very low","ysi_DO_mgL_se_1m","   0.051 "," 0.044  "
"Very low","ysi_DO_se_1m","   0.8   "," 0.68   "
"Very low","ysi_pH_mean_1m","   7.96  "," 0.067  "
"Very low","ysi_pH_se_1m","   0.012 "," 0.0099 "
"Very low","ysi_salinity_mean_1m","  35.13  "," 1.4    "
"Very low","ysi_salinity_se_1m","   0.48  "," 1.01   "
"Very low","ysi_temp_mean_1m","  28.19  "," 1.15   "
"Very low","ysi_temp_se_1m","   0.056 "," 0.15   "
