"fpressure","visibility_m_mean","ysi_temp_mean_1m_mean","ysi_salinity_mean_1m_mean","ysi_DO_mean_1m_mean","ysi_pH_mean_1m_mean","npp_mean_sat_mean","npp_max_sat_mean","wave_mean_sat_mean","visibility_m_sd","ysi_temp_mean_1m_sd","ysi_salinity_mean_1m_sd","ysi_DO_mean_1m_sd","ysi_pH_mean_1m_sd","npp_mean_sat_sd","npp_max_sat_sd","wave_mean_sat_sd"
"High",18.75,28.21666666625,35.396770835,89.153125,7.946562499875,909.874055273684,1093.555822,13.3779914561053,5.53921087726918,1.00443461145191,0.447298867633387,3.91725410450002,0.0544606262093368,22.6191356563727,63.3542022284357,12.9778648399788
"Low",14.6427692307692,28.9916666666667,35.221805555,88.87319444,8.00368055566667,880.355617491304,1016.57090104348,25.523848226087,5.68401228819112,0.60371325724196,0.48458117927329,9.28563711639232,0.0908068895207162,10.0636200226183,21.5496889436417,0.189266816138909
"Medium",17.0953488372093,28.5457142857143,35.6206617641176,92.320202020303,7.90926190477143,957.005268152727,1061.90996034182,17.1670065268182,5.78741662444817,0.915229201347436,0.851082762400245,5.87428299006083,0.23086374927509,11.0630933919565,32.5090954017796,11.5449450733322
"Very high",14.898,28.2103448275862,35.6125862068966,86.6373563227586,7.96673333336,907.9050509,1122.3125284,8.1377677718,7.59281285728249,1.21929277790531,0.84867617931756,6.57627168997251,0.0846544309574935,17.9309591525989,26.2033898578033,11.8165886925355
"Very low",30.88025,28.1930952382857,35.1284558826471,88.0747549029412,7.95922222216667,878.776874091489,1018.34033072128,15.2642988374043,7.21943112315198,1.15463064182086,1.39504753449623,6.25983317152536,0.0669998617664079,18.4327587718887,16.1176314519556,12.4320968198168
