"fpressure","ysi_salinity_mean_1m_mean","ysi_DO_mean_1m_mean","ysi_pH_mean_1m_mean","npp_mean_sat_mean","npp_max_sat_mean","wave_mean_sat_mean","ysi_salinity_mean_1m_sd","ysi_DO_mean_1m_sd","ysi_pH_mean_1m_sd","npp_mean_sat_sd","npp_max_sat_sd","wave_mean_sat_sd"
"High",35.412833334,90.631666666,7.9165,933.0807988,1158.555862,0.062983074,0.588605814739607,3.91716486288908,0.043717845326594,0,0,0
"Low",35.221805555,88.87319444,8.00368055566667,880.355617491304,1016.57090104348,25.523848226087,0.48458117927329,9.28563711639232,0.0908068895207162,10.0636200226183,21.5496889436417,0.189266816138909
"Medium",35.6003378375676,91.8509259261111,7.91616228068421,946.541070913846,1057.77854890462,18.4276976765385,0.817988029438854,5.87568158042777,0.222656593626711,26.7380855298887,31.4174114975358,11.0153449020094
"Very high",35.6125862068966,86.6373563227586,7.96673333336,907.9050509,1122.3125284,8.1377677718,0.84867617931756,6.57627168997251,0.0846544309574935,17.9309591525989,26.2033898578033,11.8165886925355
"Very low",35.1284558826471,88.0747549029412,7.95922222216667,878.776874091489,1018.34033072128,15.2642988374043,1.39504753449623,6.25983317152536,0.0669998617664079,18.4327587718887,16.1176314519556,12.4320968198168
