Coral Tag # ,Coral Tag # All,Sample Type,Year,Tube Label,Coral Species,Site,Run
108,108,coral,2014,KI14FSYM108,Favia matthaii,35,Run_5
111,111,coral,2014,KI14FSYM111,Hydnophora microconos,35,Run_5
113,113,coral,2014,KI14FSYM113,Favia matthaii,35,Run_6
113,113,coral,2015 May,KI15bFSYM032,Favia matthaii,35,Run_6
113,113,coral,2015 July,KI15cFSYM235,Favia matthaii,35,Run_6
115,115,coral,2014,KI14FSYM115,Favia matthaii,35,Run_6
115,115,coral,2015 May,KI15bFSYM033,Favia matthaii,35,Run_6
115,115,coral,2015 July,KI15cFSYM238,Favia matthaii,35,Run_6
118,118,coral,2014,KI14FSYM118,Favia matthaii,35,Run_6
118,118,coral,2015 May,KI15bFSYM156,Favia matthaii,35,Run_6
118,118,coral,2015 July,KI15cFSYM240,Favia matthaii,35,Run_6
127,127,coral,2014,KI14FSYM127,Favia sp,30,Run_1
127,127,coral,2015 Jan,KI15aFSYM123,Favia sp,30,Run_1
127,127,coral,2015 May,KI15bFSYM038,Favia sp,30,Run_1
127,127,coral,2015 July,KI15cFSYM317,Favia sp,30,Run_1
127,127,coral,2016 March,KI16aFSYM077,Favia sp,30,Run_1
128,128,coral,2014,KI14FSYM128,Hydnophora microconos,30,Run_3
128,128,coral,2015 Jan,KI15aFSYM124,Hydnophora microconos,30,Run_3
128,128,coral,2015 May,KI15bFSYM039,Hydnophora microconos,30,Run_3
128,128,coral,2015 July,KI15cFSYM318,Hydnophora microconos,30,Run_3
128,128,coral,2016 March,KI16aFSYM078,Hydnophora microconos,30,Run_3
128,128,coral,2016 Nov,KI16bFSYM121,Hydnophora microconos,30,Run_3
128,128,coral,2017,KI17FSYM183,Hydnophora microconos,30,Run_4
128,128_1261,coral,2017,KI17FQ183,Hydnophora microconos,30,Run_4
130,130,coral,2014,KI14FSYM130,Favia matthaii,30,Run_5
138,138,coral,2014,KI14FSYM138,Favia matthaii,30,Run_5
141,141,coral,2014,KI14FSYM141,Favia matthaii,30,Run_5
146,146,coral,2014,KI14FSYM146,Favia matthaii,30,Run_1
146,146,coral,2015 Jan,KI15aFSYM139,Favia matthaii,30,Run_1
146,146,coral,2015 May,KI15bFSYM050,Favia matthaii,30,Run_1
146,146,coral,2015 July,KI15cFSYM328,Favia matthaii,30,Run_1
146,146,coral,2016 March,KI16aFSYM080,Favia matthaii,30,Run_1
146,146_1081,coral,2016 Nov,KI16bFSYM122,Favia sp,30,Run_3
148,148,coral,2014,KI14FSYM148,Platygyra sp,30,Run_1
153,153,coral,2014,KI14FSYM153,Favia matthaii,30,Run_6
153,153,coral,2015 July,KI15cFSYM334,Favia matthaii,30,Run_6
157,157,coral,2014,KI14FSYM157,Platygyra sp,3,Run_1
157,157,coral,2015 July,KI15cFSYM161,Platygyra sp,3,Run_1
157,157,coral,2017,KI17FSYM65,Platygyra sp,3,Run_4
157,157,coral,2017,KI17FQ65,Platygyra sp,3,Run_4
158,158,coral,2014,KI14FSYM158,Favia matthaii,3,Run_5
158,158,coral,2015 July,KI15cFSYM160,Favia matthaii,3,Run_6
161,161,coral,2014,KI14FSYM161,Platygyra sp,3,Run_1
161,161,coral,2015 July,KI15cFSYM159,Platygyra sp,3,Run_1
164,164_1143,coral,2014,KI14FSYM164,Platygyra sp,3,Run_1
164,164_1143,coral,2014,KI14FF109,Platygyra sp,3,Run_5
164,164_1143,coral,2017,KI17FSYM145,Platygyra sp,3,Run_4
173,173_1113,coral,2014,KI14FSYM173,Favia sp,3,Run_6
173,173_1113,coral,2015 July,KI15cFSYM152,Favia sp,3,Run_6
173,173_1113,coral,2017,KI17FSYM68,Favia sp,3,Run_4
173,173_1113,coral,2017,KI17FQ68,Favia sp,3,Run_4
176,176,coral,2014,KI14FSYM176,Favites halicora,3,Run_6
181,181,coral,2014,KI14FSYM181,Favia matthaii,3,Run_6
181,181,coral,2015 July,KI15cFSYM167,Favia matthaii,3,Run_6
187,187,coral,2014,KI14FSYM187,Hydnophora microconos,3,Run_5
187,187,coral,2015 July,KI15cFSYM183,Hydnophora microconos,3,Run_6
190,190_873,coral,2014,KI14FSYM190,Favites halicora,38,Run_6
190,190_873,coral,2015 July,KI15cFSYM222,Favites halicora,38,Run_6
191,191,coral,2014,KI14FSYM191,Hydnophora microconos,38,Run_3
191,191,coral,2015 July,KI15cFSYM198,Hydnophora microconos,38,Run_3
191,191,coral,2016 March,KI16aFSYM192,Hydnophora microconos,38,Run_3
192,192,coral,2014,KI14FSYM192,Favites pentagona,38,Run_1
192,192,coral,2015 July,KI15cFSYM200,Favites pentagona,38,Run_1
195,195,coral,2014,KI14FSYM195,Favia matthaii,38,Run_6
195,195,coral,2015 July,KI15cFSYM202,Favia matthaii,38,Run_6
199,199,coral,2014,KI14FSYM199,Hydnophora microconos,38,Run_5
202,202,coral,2014,KI14FSYM202,Favia matthaii,38,Run_5
202,202,coral,2015 July,KI15cFSYM207,Favia matthaii,38,Run_6
205,205,coral,2014,KI14FSYM205,Favites pentagona,38,Run_1
205,205,coral,2015 July,KI15cFSYM209,Favites pentagona,38,Run_1
205,205,coral,2016 March,KI16aFSYM196,Favites pentagona,38,Run_1
205,205_1258,coral,2017,KI17FSYM349,Favites pentagona,38,Run_4
206,206,coral,2014,KI14FSYM206,Favia matthaii,38,Run_6
206,206,coral,2015 July,KI15cFSYM208,Favia matthaii,38,Run_6
207,207,coral,2014,KI14FSYM207,Hydnophora microconos,38,Run_5
207,207,coral,2015 July,KI15cFSYM210,Hydnophora microconos,38,Run_6
212,212,coral,2014,KI14FSYM212,Hydnophora microconos,38,Run_5
212,212,coral,2015 July,KI15cFSYM220,Hydnophora microconos,38,Run_6
213,213,coral,2014,KI14FSYM213,Favites pentagona,38,Run_1
213,213,coral,2015 July,KI15cFSYM216,Favites pentagona,38,Run_1
213,213,coral,2017,KI17FQ350,Favites pentagona,38,Run_4
213,213,coral,2017,KI17FSYM350,Favites pentagona,38,Run_4
214,214,coral,2014,KI14FSYM214,Favia sp,38,Run_5
223,223,coral,2014,KI14FSYM223,Platygyra sp,3,Run_1
223,223,coral,2015 July,KI15cFSYM171,Platygyra sp,3,Run_1
223,223,coral,2017,KI17FSYM72,Platygyra sp,3,Run_4
224,224_1115,coral,2014,KI14FSYM224,Favia sp,3,Run_6
224,224_1115,coral,2015 July,KI15cFSYM170,Favia sp,3,Run_6
224,224_1115,coral,2017,KI17FSYM71,Favia sp,3,Run_4
224,224_1115,coral,2017,KI17FQ71,Favia sp,3,Run_4
226,226,coral,2014,KI14FSYM226,Hydnophora microconos,3,Run_5
226,226,coral,2015 July,KI15cFSYM174,Hydnophora microconos,3,Run_6
227,227_1145,coral,2014,KI14FSYM227,Favia sp,3,Run_6
227,227_1145,coral,2015 July,KI15cFSYM173,Favia sp,3,Run_6
231,231,coral,2014,KI14FSYM231,Favites pentagona,3,Run_1
231,231,coral,2015 July,KI15cFSYM178,Favites pentagona,3,Run_1
231,231,coral,2017,KI17FQ147,Favites pentagona,3,Run_4
