"","Coral_Tag","Coral_Tag_All","SampleType","Coral_Species","Site","Tube_label.2014","Tube_label.2015Jan","Tube_label.2015May","Tube_label.2015July","Tube_label.2016March","Tube_label.2016Nov","Tube_label.2017","status","before","during","after","recovery"
"402","590","590","coral","Hydnophora microconos",15,NA,"KI15aFSYM039","KI15bFSYM087","KI15cFSYM108","KI16aFSYM157",NA,NA,"alive","Yes","Yes","Yes","No"
"406","592","592","coral","Favites pentagona",15,NA,"KI15aFSYM041","KI15bFSYM088","KI15cFSYM112","KI16aFSYM155","KI16bFSYM110","KI17FSYM311","alive","Yes","Yes","Yes","Yes"
"412","594","594","coral","Platygyra sp",15,NA,"KI15aFSYM043",NA,"KI15cFSYM114","KI16aFSYM158","KI16bFSYM109","KI17FSYM312","alive","Yes","Yes","Yes","Yes"
"417","595","595","coral","Hydnophora microconos",15,NA,"KI15aFSYM044","KI15bFSYM090","KI15cFSYM113",NA,NA,NA,"alive","Yes","Yes","No","No"
"420","597","597","coral","Favites pentagona",15,NA,"KI15aFSYM046","KI15bFSYM092","KI15cFSYM116","KI16aFSYM159","KI16bFSYM108",NA,"alive","Yes","Yes","Yes","Yes"
"426","605","605","coral","Favites pentagona",15,NA,"KI15aFSYM057",NA,"KI15cFSYM125",NA,"KI16bFSYM105","KI17FSYM315","alive","Yes","Yes","No","Yes"
"430","607","607","coral","Hydnophora microconos",15,NA,"KI15aFSYM058",NA,"KI15cFSYM127",NA,NA,NA,"alive","Yes","Yes","No","No"
"432","612","612","coral","Platygyra sp",15,NA,"KI15aFSYM052",NA,"KI15cFSYM126","KI16aFSYM164","KI16bFSYM106","KI17FSYM314","alive","Yes","Yes","Yes","Yes"
"437","618","618","coral","Platygyra sp",15,NA,"KI15aFSYM067",NA,"KI15cFSYM129","KI16aFSYM160","KI16bFSYM104","KI17FSYM316","alive","Yes","Yes","Yes","Yes"
"442","619","619","coral","Hydnophora microconos",15,NA,"KI15aFSYM068",NA,"KI15cFSYM133",NA,"KI16bFSYM103","KI17FSYM317","alive","Yes","Yes","No","Yes"
"447","620","620_1229","coral","Platygyra sp",15,NA,NA,NA,NA,NA,NA,"KI17FSYM295","alive","No","No","No","Yes"
"448","623","623","coral","Favites pentagona",15,NA,"KI15aFSYM072",NA,"KI15cFSYM145",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"450","628","628","coral","Favites pentagona",15,NA,"KI15aFSYM077",NA,"KI15cFSYM142",NA,NA,"KI17FSYM319","gone_after","Yes","Yes","No","Yes"
"453","630","630","coral","Hydnophora microconos",15,NA,"KI15aFSYM079",NA,"KI15cFSYM141","KI16aFSYM167",NA,NA,"alive","Yes","Yes","Yes","No"
"456","631","631","coral","Favia matthaii",15,NA,"KI15aFSYM080",NA,NA,NA,NA,"KI17FSYM320","alive","Yes","No","No","Yes"
"457","631b","631b","coral","Favites pentagona",15,NA,NA,NA,"KI15cFSYM144",NA,NA,NA,"alive","No","Yes","No","No"
"459","637","637","coral","Platygyra sp",35,NA,"KI15aFSYM097","KI15bFSYM020",NA,"KI16aFSYM047",NA,NA,"alive","Yes","No","Yes","No"
"462","656","656","coral","Favites pentagona",19,NA,NA,"KI15bFSYM102","KI15cFSYM025",NA,"KI16bFSYM118",NA,"alive","Yes","Yes","No","Yes"
"465","658","658","coral","Hydnophora microconos",19,NA,NA,"KI15bFSYM104","KI15cFSYM028",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"467","664","664","coral","Hydnophora microconos",19,NA,NA,"KI15bFSYM111","KI15cFSYM034",NA,NA,NA,"UK","Yes","Yes","No","No"
"469","668","668","coral","Hydnophora microconos",19,NA,NA,"KI15bFSYM114","KI15cFSYM038",NA,NA,NA,"UK","Yes","Yes","No","No"
"471","675","675","coral","Hydnophora microconos",19,NA,NA,"KI15bFSYM121","KI15cFSYM044",NA,NA,NA,"UK","Yes","Yes","No","No"
"473","681","681","coral","Hydnophora microconos",19,NA,NA,"KI15bFSYM127","KI15cFSYM049",NA,NA,NA,"UK","Yes","Yes","No","No"
"475","685","685","coral","Favites pentagona",27,NA,NA,"KI15bFSYM147",NA,NA,NA,NA,"UK","Yes","No","No","No"
"476","689","689","coral","Hydnophora microconos",27,NA,NA,"KI15bFSYM151","KI15cFSYM069","KI16aFSYM067",NA,NA,"alive","Yes","Yes","Yes","No"
"479","691","691","coral","Hydnophora microconos",35,NA,NA,"KI15bFSYM153","KI15cFSYM228",NA,NA,NA,"alive","Yes","Yes","No","No"
"481","695","695","coral","Hydnophora microconos",8,NA,NA,"KI15bFSYM169","KI15cFSYM375",NA,NA,NA,"dead","Yes","Yes","No","No"
"486","699","699","coral","Hydnophora microconos",8,NA,NA,"KI15bFSYM162","KI15cFSYM363",NA,NA,NA,"dead","Yes","Yes","No","No"
"488","719","719","coral","Favites pentagona",8,NA,NA,"KI15bFSYM184","KI15cFSYM373",NA,NA,NA,"dead","Yes","Yes","No","No"
"490","722","722","coral","Favites pentagona",27,NA,NA,"KI15bFSYM200","KI15cFSYM077",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"492","726","726","coral","Favites pentagona",27,NA,NA,"KI15bFSYM204","KI15cFSYM082",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"494","727","727","coral","Platygyra sp",27,NA,NA,"KI15bFSYM205","KI15cFSYM083",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"496","729","729","coral","Favites pentagona",27,NA,NA,"KI15bFSYM207","KI15cFSYM094","KI16aFSYM066","KI16bFSYM45","KI17FSYM200","alive","Yes","Yes","Yes","Yes"
"501","735","735","coral","Platygyra sp",27,NA,NA,"KI15bFSYM213","KI15cFSYM065",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"503","736","736","coral","Favites pentagona",27,NA,NA,"KI15bFSYM214","KI15cFSYM063",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"505","741","741","coral","Favia sp",32,NA,NA,"KI15bFSYM218","KI15cFSYM435","KI16aFSYM009","KI16bFSYM29","KI17FSYM218","alive","Yes","Yes","Yes","Yes"
"511","742","742","coral","Platygyra sp",32,NA,NA,"KI15bFSYM219","KI15cFSYM436",NA,NA,NA,"dead","Yes","Yes","No","No"
"513","743","743","coral","Hydnophora microconos",32,NA,NA,"KI15bFSYM220","KI15cFSYM437","KI16aFSYM008",NA,NA,"alive","Yes","Yes","Yes","No"
"516","754","754","coral","Platygyra sp",32,NA,NA,"KI15bFSYM231","KI15cFSYM468","KI16aFSYM017","KI16bFSYM025",NA,"alive","Yes","Yes","Yes","Yes"
"520","762","762","coral","Platygyra sp",32,NA,NA,"KI15bFSYM239","KI15cFSYM474",NA,NA,NA,"dead","Yes","Yes","No","No"
"522","766","766","coral","Platygyra sp",32,NA,NA,"KI15bFSYM243","KI15cFSYM472",NA,NA,NA,"dead","Yes","Yes","No","No"
"524","767","767","coral","Hydnophora microconos",32,NA,NA,"KI15bFSYM244","KI15cFSYM463",NA,NA,NA,"dead","Yes","Yes","No","No"
"526","768","768","coral","Platygyra sp",32,NA,NA,"KI15bFSYM245","KI15cFSYM460",NA,NA,NA,"dead","Yes","Yes","No","No"
"528","770","770","coral","Favites pentagona",32,NA,NA,"KI15bFSYM247","KI15cFSYM461","KI16aFSYM013","KI16bFSYM023",NA,"alive","Yes","Yes","Yes","Yes"
"532","772","772","coral","Favites pentagona",32,NA,NA,"KI15bFSYM249","KI15cFSYM448",NA,NA,NA,"dead","Yes","Yes","No","No"
"534","776","776","coral","Hydnophora microconos",34,NA,NA,"KI15bFSYM272","KI15cFSYM524","KI16aFSYM117","KI16bFSYM186","KI17FSYM233","alive","Yes","Yes","Yes","Yes"
"539","777","777","coral","Favia sp",34,NA,NA,"KI15bFSYM273","KI15cFSYM525",NA,NA,NA,"alive","Yes","Yes","No","No"
"541","779","779","coral","Hydnophora microconos",34,NA,NA,"KI15bFSYM275",NA,NA,NA,NA,"gone_after","Yes","No","No","No"
"542","781","781","coral","Favites pentagona",34,NA,NA,"KI15bFSYM277","KI15cFSYM499",NA,NA,NA,"alive","Yes","Yes","No","No"
"544","783","783","coral","Platygyra sp",34,NA,NA,"KI15bFSYM279","KI15cFSYM501","KI16aFSYM118","KI16bFSYM176","KI17FSYM222","alive","Yes","Yes","Yes","Yes"
"549","786","786","coral","Favites pentagona",34,NA,NA,"KI15bFSYM282","KI15cFSYM502","KI16aFSYM119","KI16bFSYM175","KI17FSYM221","alive","Yes","Yes","Yes","Yes"
"554","787","787","coral","Favia sp",5,NA,NA,"KI15bFSYM283","KI15cFSYM252","KI16aFSYM087","KI16bFSYM030","KI17FSYM16","alive","Yes","Yes","Yes","Yes"
"559","788","788","coral","Platygyra sp",5,NA,NA,"KI15bFSYM284","KI15cFSYM253","KI16aFSYM088","KI16bFSYM031",NA,"alive","Yes","Yes","Yes","Yes"
"563","792","792","coral","Platygyra sp",5,NA,NA,"KI15bFSYM288","KI15cFSYM254","KI16aFSYM089","KI16bFSYM032","KI17FSYM19","alive","Yes","Yes","Yes","Yes"
"568","793","793","coral","Hydnophora microconos",5,NA,NA,"KI15bFSYM289","KI15cFSYM255",NA,NA,NA,"alive","Yes","Yes","No","No"
"570","797","797","coral","Platygyra sp",5,NA,NA,"KI15bFSYM293","KI15cFSYM261","KI16aFSYM091","KI16bFSYM034","KI17FSYM20","alive","Yes","Yes","Yes","Yes"
"575","800","800","coral","Favites pentagona",5,NA,NA,"KI15bFSYM296","KI15cFSYM265",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"577","804","804","coral","Favia matthaii",5,NA,NA,"KI15bFSYM300","KI15cFSYM268",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"579","806","806","coral","Hydnophora microconos",5,NA,NA,"KI15bFSYM302","KI15cFSYM272","KI16aFSYM093",NA,NA,"alive","Yes","Yes","Yes","No"
"582","807","807","coral","Platygyra sp",5,NA,NA,"KI15bFSYM303","KI15cFSYM273","KI16aFSYM104",NA,"KI17FSYM22","alive","Yes","Yes","Yes","Yes"
"586","810","810","coral","Favites pentagona",5,NA,NA,"KI15bFSYM306","KI15cFSYM275",NA,NA,NA,"dead","Yes","Yes","No","No"
"588","810b","810b","coral","Platygyra sp",5,NA,NA,NA,NA,NA,"KI16bFSYM036","KI17FSYM23","alive","No","No","No","Yes"
"590","813","813","coral","Platygyra sp",5,NA,NA,"KI15bFSYM309","KI15cFSYM277","KI16aFSYM095",NA,"KI17FSYM26","alive","Yes","Yes","Yes","Yes"
"594","817","817","coral","Favia sp",5,NA,NA,"KI15bFSYM313","KI15cFSYM276","KI16aFSYM094","KI16bFSYM037","KI17FSYM24","alive","Yes","Yes","Yes","Yes"
"599","820","820","coral","Platygyra sp",5,NA,NA,"KI15bFSYM316","KI15cFSYM278","KI16aFSYM096","KI16bFSYM068","KI17FSYM27","alive","Yes","Yes","Yes","Yes"
"604","824","824","coral","Platygyra sp",5,NA,NA,"KI15bFSYM320","KI15cFSYM283","KI16aFSYM101","KI16bFSYM038","KI17FSYM34","alive","Yes","Yes","Yes","Yes"
"609","826","826","coral","Hydnophora microconos",5,NA,NA,"KI15bFSYM322","KI15cFSYM286",NA,NA,NA,"alive","Yes","Yes","No","No"
"611","829","829","coral","Favia matthaii",5,NA,NA,"KI15bFSYM325","KI15cFSYM290",NA,NA,NA,"alive","Yes","Yes","No","No"
"613","834","834_947","coral","Platygyra sp",5,NA,NA,NA,NA,NA,"KI16bFSYM039",NA,"alive","No","No","No","Yes"
"614","844","844","coral","Favites pentagona",34,NA,NA,"KI15bFSYM340","KI15cFSYM519","KI16aFSYM123","KI16bFSYM185","KI17FSYM235","alive","Yes","Yes","Yes","Yes"
"620","845","845","coral","Favia sp",34,NA,NA,"KI15bFSYM341",NA,NA,NA,NA,"gone_after","Yes","No","No","No"
"621","846","846","coral","Hydnophora microconos",34,NA,NA,"KI15bFSYM342","KI15cFSYM513",NA,NA,NA,"dead","Yes","Yes","No","No"
"623","850","850","coral","Platygyra sp",34,NA,NA,"KI15bFSYM346","KI15cFSYM506","KI16aFSYM120","KI16bFSYM182",NA,"alive","Yes","Yes","Yes","Yes"
"627","851","851","coral","Favia sp",34,NA,NA,"KI15bFSYM347","KI15cFSYM491",NA,NA,NA,"dead","Yes","Yes","No","No"
"629","854","854_1193","coral","Favia matthaii",34,NA,NA,"KI15bFSYM350","KI15cFSYM484",NA,NA,"KI17FSYM226","alive","Yes","Yes","No","Yes"
"632","856","856","coral","Favites pentagona",34,NA,NA,"KI15bFSYM352","KI15cFSYM503",NA,NA,NA,"dead","Yes","Yes","No","No"
"634","857","857","coral","Platygyra sp",34,NA,NA,"KI15bFSYM353","KI15cFSYM504","KI16aFSYM113","KI16bFSYM178","KI17FSYM224","alive","Yes","Yes","Yes","Yes"
"640","900","900","coral","Platygyra sp",32,NA,NA,NA,NA,"KI16aFSYM018",NA,NA,"alive","No","No","Yes","No"
"641","902","902","coral","Favites pentagona",32,NA,NA,NA,NA,"KI16aFSYM020","KI16bFSYM022",NA,"alive","No","No","Yes","Yes"
"643","903","903","coral","Favia sp",32,NA,NA,NA,NA,"KI16aFSYM021","KI16bFSYM026","KI17FSYM210","alive","No","No","Yes","Yes"
"646","904","904_1062","coral","Hydnophora microconos",32,NA,NA,NA,NA,"KI16aFSYM22",NA,NA,"alive","No","No","Yes","No"
"647","906","906","coral","Platygyra sp",8,NA,NA,NA,NA,"KI16aFSYM024","KI16bFSYM160","KI17FSYM104","alive","No","No","Yes","Yes"
"650","907","907","coral","Hydnophora microconos",8,NA,NA,NA,NA,"KI16aFSYM025","KI16bFSYM169","KI17FSYM114","alive","No","No","Yes","Yes"
"653","909","909","coral","Platygyra sp",8,NA,NA,NA,NA,"KI16aFSYM027","KI16bFSYM165","KI17FSYM110","alive","No","No","Yes","Yes"
"656","910","910","coral","Hydnophora microconos",8,NA,NA,NA,NA,"KI16aFSYM028","KI16bFSYM166","KI17FSYM116","alive","No","No","Yes","Yes"
"659","911","911","coral","Favites pentagona",8,NA,NA,NA,NA,"KI16aFSYM029","KI16bFSYM164","KI17FSYM109","alive","No","No","Yes","Yes"
"662","914","914","coral","Platygyra sp",8,NA,NA,NA,NA,"KI16aFSYM033",NA,NA,"alive","No","No","Yes","No"
"663","916","916","coral","Favia sp",8,NA,NA,NA,NA,"KI16aFSYM035","KI16bFSYM155","KI17FSYM103","alive","No","No","Yes","Yes"
"666","919","919","coral","Platygyra sp",8,NA,NA,NA,NA,"KI16aFSYM038","KI16bFSYM156","KI17FSYM121","alive","No","No","Yes","Yes"
"669","920","920","coral","Favia sp",8,NA,NA,NA,NA,"KI16aFSYM039",NA,NA,"alive","No","No","Yes","No"
"670","921","921","coral","Favia sp",8,NA,NA,NA,NA,"KI16aFSYM040","KI16bFSYM163","KI17FSYM107","alive","No","No","Yes","Yes"
"673","925","925","coral","Platygyra sp",35,NA,NA,NA,NA,"KI16aFSYM054","KI16bFSYM003","KI17FSYM8","alive","No","No","Yes","Yes"
"676","926","926","coral","Hydnophora microconos",35,NA,NA,NA,NA,"KI16aFSYM055","KI16bFSYM172",NA,"alive","No","No","Yes","Yes"
"678","927","927","coral","Favia sp",35,NA,NA,NA,NA,"KI16aFSYM056","KI16bFSYM012",NA,"alive","No","No","Yes","Yes"
"680","928","928","coral","Platygyra sp",35,NA,NA,NA,NA,"KI16aFSYM057",NA,NA,"alive","No","No","Yes","No"
"681","929","929","coral","Favites pentagona",35,NA,NA,NA,NA,"KI16aFSYM058",NA,NA,"alive","No","No","Yes","No"
"682","930","930","coral","Favia sp",35,NA,NA,NA,NA,"KI16aFSYM059","KI16bFSYM174",NA,"alive","No","No","Yes","Yes"
"684","932","932","coral","Hydnophora microconos",35,NA,NA,NA,NA,"KI16aFSYM061","KI16bFSYM011","KI17FSYM7","alive","No","No","Yes","Yes"
"687","933","933","coral","Platygyra sp",35,NA,NA,NA,NA,"KI16aFSYM062","KI16bFSYM006","KI17FSYM4","alive","No","No","Yes","Yes"
"690","935","935","coral","Hydnophora microconos",35,NA,NA,NA,NA,"KI16aFSYM64","KI16bFSYM008","KI17FSYM2","alive","No","No","Yes","Yes"
"693","936","936","coral","Platygyra sp",27,NA,NA,NA,NA,"KI16aFSYM069","KI16bFSYM047","KI17FSYM201","alive","No","No","Yes","Yes"
"696","937","937","coral","Favites pentagona",27,NA,NA,NA,NA,"KI16aFSYM070","KI16bFSYM048","KI17FSYM202","alive","No","No","Yes","Yes"
"699","939","939","coral","Platygyra sp",27,NA,NA,NA,NA,"KI16aFSYM072",NA,NA,"alive","No","No","Yes","No"
"700","940","940","coral","Favia sp",27,NA,NA,NA,NA,"KI16aFSYM073",NA,NA,"alive","No","No","Yes","No"
"701","941","941","coral","Platygyra sp",27,NA,NA,NA,NA,"KI16aFSYM074",NA,NA,"alive","No","No","Yes","No"
"702","942","942","coral","Favia sp",27,NA,NA,NA,NA,"KI16aFSYM076","KI16bFSYM046","KI17FSYM199","alive","No","No","Yes","Yes"
"705","1005","1005","coral","Platygyra sp",37,NA,NA,NA,NA,"KI16aFSYM217","KI16bFSYM074","KI17FSYM74","alive","No","No","Yes","Yes"
"708","1008","1008","coral","Platygyra sp",37,NA,NA,NA,NA,"KI16aFSYM220","KI16bFSYM076","KI17FSYM75","alive","No","No","Yes","Yes"
"711","1009","1009","coral","Favites pentagona",37,NA,NA,NA,NA,"KI16aFSYM221","KI16bFSYM078","KI17FSYM77","alive","No","No","Yes","Yes"
"714","1011","1011","coral","Platygyra sp",37,NA,NA,NA,NA,"KI16aFSYM223","KI16bFSYM079","KI17FSYM78","alive","No","No","Yes","Yes"
"717","1013","1013","coral","Platygyra sp",37,NA,NA,NA,NA,"KI16aFSYM225","KI16bFSYM090","KI17FSYM79","alive","No","No","Yes","Yes"
"720","1014","1014","coral","Favia sp",37,NA,NA,NA,NA,"KI16aFSYM226",NA,"KI17FSYM80","alive","No","No","Yes","Yes"
"722","1017","1017","coral","Platygyra sp",37,NA,NA,NA,NA,"KI16aFSYM229","KI16bFSYM086","KI17FSYM84","alive","No","No","Yes","Yes"
"725","1020","1020","coral","Platygyra sp",37,NA,NA,NA,NA,"KI16aFSYM212","KI16bFSYM084","KI17FSYM85","alive","No","No","Yes","Yes"
"728","1022","1022","coral","Platygyra sp",37,NA,NA,NA,NA,"KI16aFSYM214","KI16bFSYM083","KI17FSYM89","alive","No","No","Yes","Yes"
"731","1023","1023","coral","Platygyra sp",37,NA,NA,NA,NA,"KI16aFSYM215","KI16bFSYM080","KI17FSYM87","alive","No","No","Yes","Yes"
"734","1024","1024","coral","Platygyra sp",37,NA,NA,NA,NA,"KI16aFSYM231","KI16bFSYM081","KI17FSYM88","alive","No","No","Yes","Yes"
"737","1026","1026","coral","Favia sp",37,NA,NA,NA,NA,"KI16aFSYM233","KI16bFSYM091","KI17FSYM90","alive","No","No","Yes","Yes"
"740","1028","1028","coral","Platygyra sp",37,NA,NA,NA,NA,"KI16aFSYM235","KI16bFSYM094","KI17FSYM95","alive","No","No","Yes","Yes"
"743","1030","1030","coral","Platygyra sp",37,NA,NA,NA,NA,"KI16aFSYM237",NA,"KI17FSYM98","alive","No","No","Yes","Yes"
"745","1031","1031","coral","Platygyra sp",37,NA,NA,NA,NA,"KI16aFSYM238","KI16bFSYM096","KI17FSYM99","alive","No","No","Yes","Yes"
"748","1032","1032","coral","Favites pentagona",37,NA,NA,NA,NA,"KI16aFSYM239","KI16bFSYM093","KI17FSYM91","alive","No","No","Yes","Yes"
"751","1033","1033","coral","Favites pentagona",40,NA,NA,NA,NA,"KI16aFSYM256","KI16bFSYM148","KI17FSYM278","alive","No","No","Yes","Yes"
"754","1034","1034","coral","Favites pentagona",40,NA,NA,NA,NA,"KI16aFSYM259","KI16bFSYM144","KI17FSYM275","alive","No","No","Yes","Yes"
"757","1035","1035","coral","Platygyra sp",40,NA,NA,NA,NA,"KI16aFSYM260",NA,NA,"alive","No","No","Yes","No"
"758","1036","1036","coral","Platygyra sp",40,NA,NA,NA,NA,"KI16aFSYM261","KI16bFSYM140","KI17FSYM270","alive","No","No","Yes","Yes"
"761","1037","1037","coral","Favites pentagona",40,NA,NA,NA,NA,"KI16aFSYM262","KI16bFSYM141","KI17FSYM286","alive","No","No","Yes","Yes"
"764","1040","1040","coral","Platygyra sp",40,NA,NA,NA,NA,"KI16aFSYM264","KI16bFSYM135","KI17FSYM265","alive","No","No","Yes","Yes"
"767","1049","1049","coral","Platygyra sp",40,NA,NA,NA,NA,"KI16aFSYM265","KI16bFSYM152","KI17FSYM280","alive","No","No","Yes","Yes"
"770","1050","1050","coral","Favites pentagona",40,NA,NA,NA,NA,"KI16aFSYM266","KI16bFSYM138","KI17FSYM268","alive","No","No","Yes","Yes"
"773","1052","1052","coral","Favia sp",40,NA,NA,NA,NA,"KI16aFSYM268",NA,NA,"alive","No","No","Yes","No"
"774","1055","1055","coral","Platygyra sp",40,NA,NA,NA,NA,"KI16aFSYM272","KI16bFSYM131",NA,"alive","No","No","Yes","Yes"
"776","1056","1056","coral","Favites pentagona",40,NA,NA,NA,NA,"KI16aFSYM273","KI16bFSYM133","KI17FSYM262","alive","No","No","Yes","Yes"
"779","1057","1057","coral","Favia sp",40,NA,NA,NA,NA,"KI16aFSYM274","KI16bFSYM139","KI17FSYM266","alive","No","No","Yes","Yes"
"782","583b","583b","coral","Favites pentagona",15,NA,NA,NA,NA,NA,"KI16bFSYM115","KI17FSYM306","alive","No","No","No","Yes"
"784","93b","93b","coral","Favia matthaii",35,NA,"KI15aFSYM024",NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
