"","Coral_Tag","Coral_Tag_All","SampleType","Coral_Species","Site","Tube_label.2014","Tube_label.2015Jan","Tube_label.2015May","Tube_label.2015July","Tube_label.2016March","Tube_label.2016Nov","Tube_label.2017","status","before","during","after","recovery"
"115","158","158","coral","Favia matthaii",3,"KI14FSYM158",NA,NA,"KI15cFSYM160",NA,NA,NA,"UK","Yes","Yes","No","No"
"117","161","161","coral","Platygyra sp",3,"KI14FSYM161",NA,NA,"KI15cFSYM159",NA,NA,NA,"UK","Yes","Yes","No","No"
"119","164","164_1143","coral","Platygyra sp",3,"KI14FSYM164",NA,NA,NA,NA,NA,"KI17FSYM145","alive","Yes","No","No","Yes"
"122","173","173_1113","coral","Favia sp",3,"KI14FSYM173",NA,NA,"KI15cFSYM152",NA,NA,"KI17FSYM68","alive","Yes","Yes","No","Yes"
"126","176","176","coral","Favites halicora",3,"KI14FSYM176",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"127","181","181","coral","Favia matthaii",3,"KI14FSYM181",NA,NA,"KI15cFSYM167",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"129","187","187","coral","Hydnophora microconos",3,"KI14FSYM187",NA,NA,"KI15cFSYM183",NA,NA,NA,"alive","Yes","Yes","No","No"
"131","190","190_873","coral","Favites halicora",38,"KI14FSYM190",NA,NA,"KI15cFSYM222",NA,NA,NA,"dead","Yes","Yes","No","No"
"133","191","191","coral","Hydnophora microconos",38,"KI14FSYM191",NA,NA,"KI15cFSYM198","KI16aFSYM192",NA,NA,"alive","Yes","Yes","Yes","No"
"136","192","192","coral","Favites pentagona",38,"KI14FSYM192",NA,NA,"KI15cFSYM200",NA,NA,NA,"dead","Yes","Yes","No","No"
"138","195","195","coral","Favia matthaii",38,"KI14FSYM195",NA,NA,"KI15cFSYM202",NA,NA,NA,"dead","Yes","Yes","No","No"
"140","199","199","coral","Hydnophora microconos",38,"KI14FSYM199",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"141","202","202","coral","Favia matthaii",38,"KI14FSYM202",NA,NA,"KI15cFSYM207",NA,NA,NA,"UK","Yes","Yes","No","No"
"143","205","205","coral","Favites pentagona",38,"KI14FSYM205",NA,NA,"KI15cFSYM209","KI16aFSYM196",NA,"KI17FSYM349","alive","Yes","Yes","Yes","Yes"
"147","206","206","coral","Favia matthaii",38,"KI14FSYM206",NA,NA,"KI15cFSYM208",NA,NA,NA,"alive","Yes","Yes","No","No"
"149","207","207","coral","Hydnophora microconos",38,"KI14FSYM207",NA,NA,"KI15cFSYM210",NA,NA,NA,"UK","Yes","Yes","No","No"
"151","212","212","coral","Hydnophora microconos",38,"KI14FSYM212",NA,NA,"KI15cFSYM220",NA,NA,NA,"dead","Yes","Yes","No","No"
"153","213","213","coral","Favites pentagona",38,"KI14FSYM213",NA,NA,"KI15cFSYM216",NA,NA,"KI17FQ350","alive","Yes","Yes","No","Yes"
"157","214","214","coral","Favia sp",38,"KI14FSYM214",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"158","223","223","coral","Platygyra sp",3,"KI14FSYM223",NA,NA,"KI15cFSYM171",NA,NA,"KI17FSYM72","alive","Yes","Yes","No","Yes"
"161","224","224_1115","coral","Favia sp",3,"KI14FSYM224",NA,NA,"KI15cFSYM170",NA,NA,"KI17FSYM71","alive","Yes","Yes","No","Yes"
"165","226","226","coral","Hydnophora microconos",3,"KI14FSYM226",NA,NA,"KI15cFSYM174",NA,NA,NA,"dead","Yes","Yes","No","No"
"167","227","227_1145","coral","Favia sp",3,"KI14FSYM227",NA,NA,"KI15cFSYM173",NA,NA,NA,"alive","Yes","Yes","No","No"
"169","231","231","coral","Favites pentagona",3,"KI14FSYM231",NA,NA,"KI15cFSYM178",NA,NA,"KI17FQ147","alive","Yes","Yes","No","Yes"
"173","232","232","coral","Hydnophora microconos",3,"KI14FSYM232",NA,NA,"KI15cFSYM179",NA,NA,NA,"dead","Yes","Yes","No","No"
"175","234","234","coral","Platygyra sp",3,"KI14FSYM234",NA,NA,"KI15cFSYM180",NA,NA,NA,"dead","Yes","Yes","No","No"
"177","237","237","coral","Hydnophora microconos",3,"KI14FSYM237",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"178","240","240","coral","Hydnophora microconos",3,"KI14FSYM240",NA,NA,"KI15cFSYM182",NA,NA,NA,"UK","Yes","Yes","No","No"
"180","242","242","coral","Platygyra sp",8,"KI14FSYM242",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"181","243","243","coral","Favia matthaii",8,"KI14FSYM243",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"182","244","244","coral","Hydnophora microconos",8,"KI14FSYM244",NA,NA,NA,NA,NA,NA,"gone_after","Yes","No","No","No"
"183","245","245","coral","Favites pentagona",8,"KI14FSYM245",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"184","247","247","coral","Hydnophora microconos",8,"KI14FSYM247",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"185","248","248","coral","Platygyra sp",8,"KI14FSYM248",NA,"KI15bFSYM179","KI15cFSYM385","KI16aFSYM004",NA,NA,"alive","Yes","Yes","Yes","No"
"186","249","249","coral","Favites pentagona",8,"KI14FSYM249",NA,"KI15bFSYM178",NA,NA,NA,NA,"gone_after","Yes","No","No","No"
