fill,level,x,y,piece,group,PANEL,colour,size,linetype,alpha
#56B1F7,10.62849236,-157.5772727,1.862875682,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5773551,1.863636364,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5772823,1.868181818,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5772727,1.868251872,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.576686,1.872727273,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5755624,1.877272727,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5739072,1.881818182,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5727273,1.884343931,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.571817,1.886363636,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5694516,1.890909091,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5681818,1.893142497,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5669835,1.895454545,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5645767,1.9,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5636364,1.901786574,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5623447,1.904545455,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5602345,1.909090909,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5590909,1.911541224,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5581717,1.913636364,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5560871,1.918181818,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5545455,1.921245874,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5537608,1.922727273,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5510614,1.927272727,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.55,1.928848151,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5475915,1.931818182,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5454545,1.934159714,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5427562,1.936363636,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5409091,1.937799485,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5363636,1.940341408,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5350143,1.940909091,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5318182,1.942394671,1,-2,1,NA,0.5,1,0.7
#56B1F7,10.62849236,-157.5272727,1.944631925,1,-2,1,NA,0.5,1,0.7
